participant_id,participant_group,dataset,oracle,search,task,accuracy
pro10,professional,birdstrikes,dziban,dfs,1. Find Extremum,1
pro11,professional,birdstrikes,compassql,dfs,1. Find Extremum,1
pro12,professional,birdstrikes,dziban,dfs,1. Find Extremum,1
pro13,professional,movies,compassql,bfs,1. Find Extremum,1
pro14,professional,birdstrikes,dziban,dfs,1. Find Extremum,1
pro15,professional,movies,dziban,bfs,1. Find Extremum,1
pro16,professional,birdstrikes,compassql,bfs,1. Find Extremum,1
pro17,professional,movies,compassql,bfs,1. Find Extremum,1
pro18,professional,movies,dziban,dfs,1. Find Extremum,0
pro19,professional,birdstrikes,compassql,dfs,1. Find Extremum,1
pro1,professional,birdstrikes,compassql,dfs,1. Find Extremum,1
pro20,professional,movies,dziban,bfs,1. Find Extremum,1
pro21,professional,movies,dziban,bfs,1. Find Extremum,1
pro22,professional,movies,dziban,bfs,1. Find Extremum,1
pro23,professional,movies,compassql,dfs,1. Find Extremum,1
pro24,professional,movies,dziban,dfs,1. Find Extremum,1
pro25,professional,movies,compassql,dfs,1. Find Extremum,1
pro26,professional,birdstrikes,dziban,bfs,1. Find Extremum,1
pro27,professional,birdstrikes,compassql,dfs,1. Find Extremum,1
pro28,professional,birdstrikes,compassql,bfs,1. Find Extremum,1
pro29,professional,movies,compassql,bfs,1. Find Extremum,1
pro2,professional,birdstrikes,compassql,bfs,1. Find Extremum,1
pro30,professional,birdstrikes,dziban,bfs,1. Find Extremum,1
pro31,professional,movies,dziban,dfs,1. Find Extremum,1
pro32,professional,birdstrikes,dziban,dfs,1. Find Extremum,1
pro3,professional,movies,compassql,bfs,1. Find Extremum,1
pro4,professional,birdstrikes,compassql,bfs,1. Find Extremum,1
pro5,professional,movies,dziban,dfs,1. Find Extremum,1
pro6,professional,birdstrikes,dziban,bfs,1. Find Extremum,1
pro7,professional,birdstrikes,dziban,bfs,1. Find Extremum,1
pro8,professional,movies,compassql,dfs,1. Find Extremum,1
pro9,professional,movies,compassql,dfs,1. Find Extremum,1
stu10,student,movies,compassql,dfs,1. Find Extremum,1
stu11,student,movies,dziban,dfs,1. Find Extremum,1
stu12,student,birdstrikes,dziban,dfs,1. Find Extremum,1
stu13,student,movies,compassql,dfs,1. Find Extremum,1
stu14,student,birdstrikes,compassql,dfs,1. Find Extremum,1
