participant_id,participant_group,dataset,oracle,search,task,completion_time
pro10,professional,birdstrikes,dziban,dfs,1. Find Extremum,86.738
pro10,professional,birdstrikes,dziban,dfs,2. Retrieve Value,190.595
pro10,professional,birdstrikes,dziban,dfs,3. Prediction,927.51
pro10,professional,birdstrikes,dziban,dfs,4. Exploration,898.077
pro11,professional,birdstrikes,compassql,dfs,1. Find Extremum,405.433
pro11,professional,birdstrikes,compassql,dfs,2. Retrieve Value,170.561
pro11,professional,birdstrikes,compassql,dfs,3. Prediction,286.541
pro11,professional,birdstrikes,compassql,dfs,4. Exploration,705.415
pro12,professional,birdstrikes,dziban,dfs,1. Find Extremum,333.432
pro12,professional,birdstrikes,dziban,dfs,2. Retrieve Value,411.033
pro12,professional,birdstrikes,dziban,dfs,3. Prediction,315.998
pro12,professional,birdstrikes,dziban,dfs,4. Exploration,744.383
pro13,professional,movies,compassql,bfs,1. Find Extremum,118.083
pro13,professional,movies,compassql,bfs,2. Retrieve Value,125.868
pro13,professional,movies,compassql,bfs,3. Prediction,581.608
pro13,professional,movies,compassql,bfs,4. Exploration,541.348
pro14,professional,birdstrikes,dziban,dfs,1. Find Extremum,229.329
pro14,professional,birdstrikes,dziban,dfs,2. Retrieve Value,354.573
pro14,professional,birdstrikes,dziban,dfs,3. Prediction,476.703
pro14,professional,birdstrikes,dziban,dfs,4. Exploration,729.704
pro15,professional,movies,dziban,bfs,1. Find Extremum,261.083
pro15,professional,movies,dziban,bfs,2. Retrieve Value,161.761
pro15,professional,movies,dziban,bfs,3. Prediction,333.522
pro15,professional,movies,dziban,bfs,4. Exploration,340.927
pro16,professional,birdstrikes,compassql,bfs,1. Find Extremum,180.459
pro16,professional,birdstrikes,compassql,bfs,2. Retrieve Value,238.401
pro16,professional,birdstrikes,compassql,bfs,3. Prediction,617.546
pro16,professional,birdstrikes,compassql,bfs,4. Exploration,622.002
pro17,professional,movies,compassql,bfs,1. Find Extremum,243.796
pro17,professional,movies,compassql,bfs,2. Retrieve Value,246.99
pro17,professional,movies,compassql,bfs,3. Prediction,529.649
pro17,professional,movies,compassql,bfs,4. Exploration,985.296
pro18,professional,movies,dziban,dfs,1. Find Extremum,129.046
pro18,professional,movies,dziban,dfs,2. Retrieve Value,85.47
pro18,professional,movies,dziban,dfs,3. Prediction,377.597
pro18,professional,movies,dziban,dfs,4. Exploration,722.775
pro19,professional,birdstrikes,compassql,dfs,1. Find Extremum,176.562
pro19,professional,birdstrikes,compassql,dfs,2. Retrieve Value,177.032
pro19,professional,birdstrikes,compassql,dfs,3. Prediction,1445.67
pro19,professional,birdstrikes,compassql,dfs,4. Exploration,850.893
pro1,professional,birdstrikes,compassql,dfs,1. Find Extremum,221.764
pro1,professional,birdstrikes,compassql,dfs,2. Retrieve Value,125.308
pro1,professional,birdstrikes,compassql,dfs,3. Prediction,849.056
pro1,professional,birdstrikes,compassql,dfs,4. Exploration,592.364
pro20,professional,movies,dziban,bfs,1. Find Extremum,171.549
pro20,professional,movies,dziban,bfs,2. Retrieve Value,196.112
pro20,professional,movies,dziban,bfs,3. Prediction,732.332
pro20,professional,movies,dziban,bfs,4. Exploration,668.223
pro21,professional,movies,dziban,bfs,1. Find Extremum,232.085
pro21,professional,movies,dziban,bfs,2. Retrieve Value,239.045
pro21,professional,movies,dziban,bfs,3. Prediction,785.329
pro21,professional,movies,dziban,bfs,4. Exploration,895.906
pro22,professional,movies,dziban,bfs,1. Find Extremum,378.562
pro22,professional,movies,dziban,bfs,2. Retrieve Value,308.046
pro22,professional,movies,dziban,bfs,3. Prediction,847.375
pro22,professional,movies,dziban,bfs,4. Exploration,807.027
pro23,professional,movies,compassql,dfs,1. Find Extremum,169.317
pro23,professional,movies,compassql,dfs,2. Retrieve Value,352.708
pro23,professional,movies,compassql,dfs,3. Prediction,730.911
pro23,professional,movies,compassql,dfs,4. Exploration,434.847
pro24,professional,movies,dziban,dfs,1. Find Extremum,146.532
pro24,professional,movies,dziban,dfs,2. Retrieve Value,170.892
pro24,professional,movies,dziban,dfs,3. Prediction,348.954
pro24,professional,movies,dziban,dfs,4. Exploration,440.702
pro25,professional,movies,compassql,dfs,1. Find Extremum,63.3
pro25,professional,movies,compassql,dfs,2. Retrieve Value,112.813
pro25,professional,movies,compassql,dfs,3. Prediction,529.69
pro25,professional,movies,compassql,dfs,4. Exploration,660.211
pro26,professional,birdstrikes,dziban,bfs,1. Find Extremum,311.761
pro26,professional,birdstrikes,dziban,bfs,2. Retrieve Value,199.194
