participant_id,dataset,oracle,search,task,num_exposed_visual_design
41,movies,dziban,bfs,3. Prediction,113
36,birdstrikes,compassql,dfs,3. Prediction,79
56,movies,dziban,dfs,3. Prediction,92
6,birdstrikes,compassql,dfs,3. Prediction,51
57,birdstrikes,dziban,dfs,3. Prediction,107
7,movies,compassql,dfs,3. Prediction,53
8,movies,dziban,dfs,3. Prediction,78
18,birdstrikes,dziban,dfs,3. Prediction,105
1,birdstrikes,compassql,bfs,3. Prediction,92
19,movies,compassql,dfs,3. Prediction,50
46,movies,dziban,dfs,3. Prediction,71
10,birdstrikes,compassql,bfs,3. Prediction,51
12,movies,compassql,dfs,3. Prediction,55
24,movies,compassql,bfs,3. Prediction,91
17,movies,compassql,dfs,3. Prediction,64
35,movies,compassql,bfs,3. Prediction,74
23,birdstrikes,compassql,dfs,3. Prediction,53
5,movies,dziban,bfs,3. Prediction,62
53,movies,dziban,dfs,3. Prediction,119
44,movies,dziban,bfs,3. Prediction,85
16,birdstrikes,dziban,dfs,3. Prediction,38
60,birdstrikes,compassql,bfs,3. Prediction,78
33,birdstrikes,dziban,bfs,3. Prediction,74
20,birdstrikes,compassql,dfs,3. Prediction,43
29,movies,compassql,bfs,3. Prediction,67
28,birdstrikes,compassql,bfs,3. Prediction,86
9,movies,dziban,bfs,3. Prediction,89
14,movies,compassql,dfs,3. Prediction,48
27,birdstrikes,dziban,bfs,3. Prediction,34
54,movies,dziban,dfs,3. Prediction,128
43,movies,dziban,bfs,3. Prediction,104
42,birdstrikes,dziban,bfs,3. Prediction,85
22,movies,dziban,bfs,3. Prediction,77
47,movies,dziban,bfs,3. Prediction,142
34,birdstrikes,dziban,dfs,3. Prediction,48
11,birdstrikes,compassql,dfs,3. Prediction,51
39,movies,compassql,bfs,3. Prediction,50
49,birdstrikes,compassql,bfs,3. Prediction,50
32,movies,compassql,bfs,3. Prediction,54
3,birdstrikes,compassql,bfs,3. Prediction,46
52,birdstrikes,dziban,bfs,3. Prediction,25
13,birdstrikes,dziban,bfs,3. Prediction,25
25,birdstrikes,dziban,dfs,3. Prediction,24
21,birdstrikes,compassql,dfs,3. Prediction,61
40,birdstrikes,dziban,dfs,3. Prediction,136
45,movies,compassql,dfs,3. Prediction,58
