participant_id,dataset,oracle,search,task,task_type,time
pilot3,movies,compassql,dfs,1. Find Extremum,Focused,163058
pilot3,movies,compassql,dfs,2. Retrieve Value,Focused,407044
pilot3,movies,compassql,dfs,3. Prediction,Open-Ended,636623
pilot3,movies,compassql,dfs,4. Exploration,Open-Ended,387846
pilot4,movies,dziban,dfs,1. Find Extremum,Focused,110347
pilot4,movies,dziban,dfs,2. Retrieve Value,Focused,301887
pilot4,movies,dziban,dfs,3. Prediction,Open-Ended,847152
pilot4,movies,dziban,dfs,4. Exploration,Open-Ended,543307
pilot5,birdstrikes,dziban,bfs,1. Find Extremum,Focused,297622
pilot5,birdstrikes,dziban,bfs,2. Retrieve Value,Focused,231168
pilot5,birdstrikes,dziban,bfs,3. Prediction,Open-Ended,83174
pilot5,birdstrikes,dziban,bfs,4. Exploration,Open-Ended,316487
