participant_id,dataset,oracle,search,task,accuracy
10,birdstrikes,compassql,bfs,1. Find Extremum,1
11,birdstrikes,compassql,dfs,1. Find Extremum,1
12,movies,compassql,dfs,1. Find Extremum,1
13,birdstrikes,dziban,bfs,1. Find Extremum,1
14,movies,compassql,dfs,1. Find Extremum,1
15,movies,dziban,dfs,1. Find Extremum,1
16,birdstrikes,dziban,dfs,1. Find Extremum,1
17,movies,compassql,dfs,1. Find Extremum,1
18,birdstrikes,dziban,dfs,1. Find Extremum,1
19,movies,compassql,dfs,1. Find Extremum,1
1,birdstrikes,compassql,bfs,1. Find Extremum,1
20,birdstrikes,compassql,dfs,1. Find Extremum,1
21,birdstrikes,compassql,dfs,1. Find Extremum,1
22,movies,dziban,bfs,1. Find Extremum,1
23,birdstrikes,compassql,dfs,1. Find Extremum,0
24,movies,compassql,bfs,1. Find Extremum,1
25,birdstrikes,dziban,dfs,1. Find Extremum,1
26,birdstrikes,dziban,bfs,1. Find Extremum,1
27,birdstrikes,dziban,bfs,1. Find Extremum,1
28,birdstrikes,compassql,bfs,1. Find Extremum,1
29,movies,compassql,bfs,1. Find Extremum,1
2,birdstrikes,compassql,bfs,1. Find Extremum,1
30,movies,dziban,dfs,1. Find Extremum,0
31,birdstrikes,dziban,dfs,1. Find Extremum,0
32,movies,compassql,bfs,1. Find Extremum,1
33,birdstrikes,dziban,bfs,1. Find Extremum,1
34,birdstrikes,dziban,dfs,1. Find Extremum,1
35,movies,compassql,bfs,1. Find Extremum,1
36,birdstrikes,compassql,dfs,1. Find Extremum,1
37,movies,dziban,bfs,1. Find Extremum,1
38,movies,compassql,bfs,1. Find Extremum,0
39,movies,compassql,bfs,1. Find Extremum,1
3,birdstrikes,compassql,bfs,1. Find Extremum,1
40,birdstrikes,dziban,dfs,1. Find Extremum,1
41,movies,dziban,bfs,1. Find Extremum,1
42,birdstrikes,dziban,bfs,1. Find Extremum,1
43,movies,dziban,bfs,1. Find Extremum,1
44,movies,dziban,bfs,1. Find Extremum,1
45,movies,compassql,dfs,1. Find Extremum,1
46,movies,dziban,dfs,1. Find Extremum,1
47,movies,dziban,bfs,1. Find Extremum,1
48,birdstrikes,compassql,bfs,1. Find Extremum,1
49,birdstrikes,compassql,bfs,1. Find Extremum,0
4,movies,compassql,dfs,1. Find Extremum,1
50,birdstrikes,compassql,dfs,1. Find Extremum,1
51,movies,dziban,dfs,1. Find Extremum,1
52,birdstrikes,dziban,bfs,1. Find Extremum,1
53,movies,dziban,dfs,1. Find Extremum,1
54,movies,dziban,dfs,1. Find Extremum,1
55,movies,compassql,dfs,1. Find Extremum,1
56,movies,dziban,dfs,1. Find Extremum,1
