participant_id,dataset,oracle,search,condition,task,task_type,time
partcipant41,movies,dziban,bfs,dziban_bfs,3. Prediction,Open-Ended,785329
partcipant5,movies,dziban,bfs,dziban_bfs,4. Exploration,Open-Ended,595646
partcipant36,birdstrikes,compassql,dfs,compassql_dfs,3. Prediction,Open-Ended,1445670
partcipant17,movies,compassql,dfs,compassql_dfs,2. Retrieve Value,Focused,103418
partcipant56,movies,dziban,dfs,dziban_dfs,3. Prediction,Open-Ended,665856
partcipant6,birdstrikes,compassql,dfs,compassql_dfs,3. Prediction,Open-Ended,591527
partcipant29,movies,compassql,bfs,compassql_bfs,1. Find Extremum,Focused,243796
partcipant57,birdstrikes,dziban,dfs,dziban_dfs,3. Prediction,Open-Ended,689810
partcipant7,movies,compassql,dfs,compassql_dfs,3. Prediction,Open-Ended,537480
partcipant28,birdstrikes,compassql,bfs,compassql_bfs,1. Find Extremum,Focused,180459
partcipant33,birdstrikes,dziban,bfs,dziban_bfs,1. Find Extremum,Focused,316352
partcipant20,birdstrikes,compassql,dfs,compassql_dfs,1. Find Extremum,Focused,405433
partcipant27,birdstrikes,dziban,bfs,dziban_bfs,1. Find Extremum,Focused,186400
partcipant8,movies,dziban,dfs,dziban_dfs,3. Prediction,Open-Ended,498083
partcipant54,movies,dziban,dfs,dziban_dfs,1. Find Extremum,Focused,131425
partcipant23,birdstrikes,compassql,dfs,compassql_dfs,2. Retrieve Value,Focused,354845
partcipant35,movies,compassql,bfs,compassql_bfs,2. Retrieve Value,Focused,91089
partcipant43,movies,dziban,bfs,dziban_bfs,1. Find Extremum,Focused,76532
partcipant16,birdstrikes,dziban,dfs,dziban_dfs,4. Exploration,Open-Ended,1291678
partcipant42,birdstrikes,dziban,bfs,dziban_bfs,1. Find Extremum,Focused,185373
partcipant14,movies,compassql,dfs,compassql_dfs,1. Find Extremum,Focused,365158
partcipant9,movies,dziban,bfs,dziban_bfs,1. Find Extremum,Focused,399447
partcipant44,movies,dziban,bfs,dziban_bfs,4. Exploration,Open-Ended,807027
partcipant18,birdstrikes,dziban,dfs,dziban_dfs,3. Prediction,Open-Ended,927510
partcipant53,movies,dziban,dfs,dziban_dfs,4. Exploration,Open-Ended,641783
partcipant1,birdstrikes,compassql,bfs,compassql_bfs,3. Prediction,Open-Ended,529136
partcipant19,movies,compassql,dfs,compassql_dfs,3. Prediction,Open-Ended,842218
partcipant11,birdstrikes,compassql,dfs,compassql_dfs,1. Find Extremum,Focused,88641
partcipant46,movies,dziban,dfs,dziban_dfs,3. Prediction,Open-Ended,595914
partcipant39,movies,compassql,bfs,compassql_bfs,1. Find Extremum,Focused,223658
partcipant10,birdstrikes,compassql,bfs,compassql_bfs,3. Prediction,Open-Ended,712305
partcipant22,movies,dziban,bfs,dziban_bfs,1. Find Extremum,Focused,149612
