participant_id,dataset,oracle,search,task,completion_time
10,birdstrikes,compassql,bfs,1. Find Extremum,80.865
10,birdstrikes,compassql,bfs,2. Retrieve Value,366.251
10,birdstrikes,compassql,bfs,3. Prediction,712.305
10,birdstrikes,compassql,bfs,4. Exploration,914.374
11,birdstrikes,compassql,dfs,1. Find Extremum,88.641
11,birdstrikes,compassql,dfs,2. Retrieve Value,127.336
11,birdstrikes,compassql,dfs,3. Prediction,778.919
11,birdstrikes,compassql,dfs,4. Exploration,878.045
12,movies,compassql,dfs,1. Find Extremum,774.624
12,movies,compassql,dfs,2. Retrieve Value,286.29
12,movies,compassql,dfs,3. Prediction,977.202
12,movies,compassql,dfs,4. Exploration,908.271
13,birdstrikes,dziban,bfs,1. Find Extremum,123.751
13,birdstrikes,dziban,bfs,2. Retrieve Value,181.251
13,birdstrikes,dziban,bfs,3. Prediction,382.749
13,birdstrikes,dziban,bfs,4. Exploration,722.972
14,movies,compassql,dfs,1. Find Extremum,365.158
14,movies,compassql,dfs,2. Retrieve Value,432.948
14,movies,compassql,dfs,3. Prediction,671.747
14,movies,compassql,dfs,4. Exploration,630.24
15,movies,dziban,dfs,1. Find Extremum,124.763
15,movies,dziban,dfs,2. Retrieve Value,175.713
15,movies,dziban,dfs,3. Prediction,804.142
15,movies,dziban,dfs,4. Exploration,860.832
16,birdstrikes,dziban,dfs,1. Find Extremum,226.503
16,birdstrikes,dziban,dfs,2. Retrieve Value,152.353
16,birdstrikes,dziban,dfs,3. Prediction,413.259
16,birdstrikes,dziban,dfs,4. Exploration,1291.678
17,movies,compassql,dfs,1. Find Extremum,158.68
17,movies,compassql,dfs,2. Retrieve Value,103.418
17,movies,compassql,dfs,3. Prediction,1025.924
17,movies,compassql,dfs,4. Exploration,644.776
18,birdstrikes,dziban,dfs,1. Find Extremum,86.738
18,birdstrikes,dziban,dfs,2. Retrieve Value,190.595
18,birdstrikes,dziban,dfs,3. Prediction,927.51
18,birdstrikes,dziban,dfs,4. Exploration,898.077
19,movies,compassql,dfs,1. Find Extremum,102.94
19,movies,compassql,dfs,2. Retrieve Value,196.136
19,movies,compassql,dfs,3. Prediction,842.218
19,movies,compassql,dfs,4. Exploration,595.448
1,birdstrikes,compassql,bfs,1. Find Extremum,419.898
1,birdstrikes,compassql,bfs,2. Retrieve Value,130.713
1,birdstrikes,compassql,bfs,3. Prediction,529.136
1,birdstrikes,compassql,bfs,4. Exploration,764.832
20,birdstrikes,compassql,dfs,1. Find Extremum,405.433
20,birdstrikes,compassql,dfs,2. Retrieve Value,170.561
20,birdstrikes,compassql,dfs,3. Prediction,286.541
20,birdstrikes,compassql,dfs,4. Exploration,705.415
21,birdstrikes,compassql,dfs,1. Find Extremum,242.337
21,birdstrikes,compassql,dfs,2. Retrieve Value,386.503
21,birdstrikes,compassql,dfs,3. Prediction,1229.062
21,birdstrikes,compassql,dfs,4. Exploration,886.577
22,movies,dziban,bfs,1. Find Extremum,149.612
22,movies,dziban,bfs,2. Retrieve Value,443.844
22,movies,dziban,bfs,3. Prediction,754.89
22,movies,dziban,bfs,4. Exploration,956.825
23,birdstrikes,compassql,dfs,1. Find Extremum,776.278
23,birdstrikes,compassql,dfs,2. Retrieve Value,354.845
23,birdstrikes,compassql,dfs,3. Prediction,993.777
23,birdstrikes,compassql,dfs,4. Exploration,962.746
24,movies,compassql,bfs,1. Find Extremum,212.961
24,movies,compassql,bfs,2. Retrieve Value,243.659
24,movies,compassql,bfs,3. Prediction,739.454
24,movies,compassql,bfs,4. Exploration,902.994
25,birdstrikes,dziban,dfs,1. Find Extremum,229.329
25,birdstrikes,dziban,dfs,2. Retrieve Value,354.573
25,birdstrikes,dziban,dfs,3. Prediction,476.703
25,birdstrikes,dziban,dfs,4. Exploration,729.704
26,birdstrikes,dziban,bfs,1. Find Extremum,210.051
26,birdstrikes,dziban,bfs,2. Retrieve Value,277.825
26,birdstrikes,dziban,bfs,3. Prediction,355.453
26,birdstrikes,dziban,bfs,4. Exploration,568.648
27,birdstrikes,dziban,bfs,1. Find Extremum,186.4
27,birdstrikes,dziban,bfs,2. Retrieve Value,155.633
27,birdstrikes,dziban,bfs,3. Prediction,284.909
27,birdstrikes,dziban,bfs,4. Exploration,1045.948
28,birdstrikes,compassql,bfs,1. Find Extremum,180.459
28,birdstrikes,compassql,bfs,2. Retrieve Value,238.401
28,birdstrikes,compassql,bfs,3. Prediction,617.546
28,birdstrikes,compassql,bfs,4. Exploration,622.002
29,movies,compassql,bfs,1. Find Extremum,243.796
29,movies,compassql,bfs,2. Retrieve Value,246.99
29,movies,compassql,bfs,3. Prediction,529.649
29,movies,compassql,bfs,4. Exploration,985.296
2,birdstrikes,compassql,bfs,1. Find Extremum,365.038
2,birdstrikes,compassql,bfs,2. Retrieve Value,182.05
2,birdstrikes,compassql,bfs,3. Prediction,558.253
2,birdstrikes,compassql,bfs,4. Exploration,682.492
30,movies,dziban,dfs,1. Find Extremum,129.046
30,movies,dziban,dfs,2. Retrieve Value,85.47
30,movies,dziban,dfs,3. Prediction,377.597
30,movies,dziban,dfs,4. Exploration,722.775
31,birdstrikes,dziban,dfs,1. Find Extremum,169.197
