participant_id,participant_group,dataset,oracle,search,task,completion_time
stu14,student,birdstrikes,compassql,dfs,3. Prediction,1229.062
stu11,student,movies,dziban,dfs,3. Prediction,804.142
stu19,student,birdstrikes,dziban,bfs,2. Retrieve Value,155.633
pro23,professional,movies,compassql,dfs,3. Prediction,730.911
stu27,student,birdstrikes,dziban,dfs,1. Find Extremum,235.069
pro21,professional,movies,dziban,bfs,4. Exploration,895.906
pro2,professional,birdstrikes,compassql,bfs,2. Retrieve Value,130.713
stu34,student,birdstrikes,compassql,dfs,2. Retrieve Value,172.199
stu29,student,movies,dziban,bfs,4. Exploration,493.578
stu31,student,movies,dziban,bfs,1. Find Extremum,287.882
pro6,professional,birdstrikes,dziban,bfs,2. Retrieve Value,181.251
pro3,professional,movies,compassql,bfs,2. Retrieve Value,189.975
stu28,student,birdstrikes,dziban,bfs,4. Exploration,749.451
stu8,student,birdstrikes,compassql,bfs,2. Retrieve Value,366.251
stu18,student,birdstrikes,dziban,bfs,3. Prediction,355.453
stu33,student,birdstrikes,compassql,bfs,4. Exploration,617.956
pro18,professional,movies,dziban,dfs,2. Retrieve Value,85.47
pro7,professional,birdstrikes,dziban,bfs,3. Prediction,807.478
stu20,student,birdstrikes,dziban,dfs,4. Exploration,376.334
stu39,student,movies,dziban,dfs,1. Find Extremum,173.295
stu30,student,movies,dziban,dfs,3. Prediction,595.914
pro5,professional,movies,dziban,dfs,3. Prediction,498.083
stu40,student,birdstrikes,dziban,dfs,3. Prediction,689.81
pro8,professional,movies,compassql,dfs,1. Find Extremum,365.158
stu26,student,movies,compassql,bfs,4. Exploration,907.191
stu16,student,birdstrikes,compassql,dfs,1. Find Extremum,776.278
stu2,student,birdstrikes,compassql,bfs,3. Prediction,555.236
stu17,student,movies,compassql,bfs,2. Retrieve Value,243.659
stu7,student,movies,dziban,bfs,3. Prediction,1139.979
stu12,student,birdstrikes,dziban,dfs,1. Find Extremum,226.503
stu10,student,movies,compassql,dfs,4. Exploration,908.271
pro1,professional,birdstrikes,compassql,dfs,2. Retrieve Value,125.308
pro19,professional,birdstrikes,compassql,dfs,4. Exploration,850.893
stu21,student,movies,compassql,bfs,1. Find Extremum,210.676
pro12,professional,birdstrikes,dziban,dfs,2. Retrieve Value,411.033
pro17,professional,movies,compassql,bfs,1. Find Extremum,243.796
pro16,professional,birdstrikes,compassql,bfs,1. Find Extremum,180.459
pro18,professional,movies,dziban,dfs,4. Exploration,722.775
stu33,student,birdstrikes,compassql,bfs,2. Retrieve Value,193.396
stu36,student,movies,dziban,dfs,1. Find Extremum,131.91
stu8,student,birdstrikes,compassql,bfs,4. Exploration,914.374
stu6,student,movies,compassql,dfs,1. Find Extremum,97.353
pro20,professional,movies,dziban,bfs,3. Prediction,732.332
stu25,student,movies,compassql,bfs,1. Find Extremum,289.185
pro13,professional,movies,compassql,bfs,1. Find Extremum,118.083
stu20,student,birdstrikes,dziban,dfs,2. Retrieve Value,150.188
stu19,student,birdstrikes,dziban,bfs,4. Exploration,1045.948
stu32,student,birdstrikes,compassql,bfs,3. Prediction,614.957
pro6,professional,birdstrikes,dziban,bfs,4. Exploration,722.972
stu28,student,birdstrikes,dziban,bfs,2. Retrieve Value,212.966
pro25,professional,movies,compassql,dfs,1. Find Extremum,63.3
pro3,professional,movies,compassql,bfs,4. Exploration,459.426
stu13,student,movies,compassql,dfs,1. Find Extremum,102.94
stu29,student,movies,dziban,bfs,2. Retrieve Value,88.999
stu34,student,birdstrikes,compassql,dfs,4. Exploration,523.348
pro2,professional,birdstrikes,compassql,bfs,4. Exploration,764.832
pro21,professional,movies,dziban,bfs,2. Retrieve Value,239.045
pro1,professional,birdstrikes,compassql,dfs,4. Exploration,592.364
pro15,professional,movies,dziban,bfs,3. Prediction,333.522
pro22,professional,movies,dziban,bfs,1. Find Extremum,378.562
pro19,professional,birdstrikes,compassql,dfs,2. Retrieve Value,177.032
stu5,student,birdstrikes,compassql,dfs,3. Prediction,591.527
stu10,student,movies,compassql,dfs,2. Retrieve Value,286.29
stu22,student,birdstrikes,dziban,bfs,3. Prediction,610.181
pro12,professional,birdstrikes,dziban,dfs,4. Exploration,744.383
stu23,student,birdstrikes,dziban,dfs,1. Find Extremum,274.496
stu26,student,movies,compassql,bfs,2. Retrieve Value,158.165
pro11,professional,birdstrikes,compassql,dfs,1. Find Extremum,405.433
stu17,student,movies,compassql,bfs,4. Exploration,902.994
pro2,professional,birdstrikes,compassql,bfs,3. Prediction,529.136
stu34,student,birdstrikes,compassql,dfs,3. Prediction,732.418
pro6,professional,birdstrikes,dziban,bfs,3. Prediction,382.749
pro3,professional,movies,compassql,bfs,3. Prediction,312.078
stu14,student,birdstrikes,compassql,dfs,2. Retrieve Value,386.503
stu32,student,birdstrikes,compassql,bfs,4. Exploration,560.507
stu11,student,movies,dziban,dfs,2. Retrieve Value,175.713
stu19,student,birdstrikes,dziban,bfs,3. Prediction,284.909
pro23,professional,movies,compassql,dfs,2. Retrieve Value,352.708
pro26,professional,birdstrikes,dziban,bfs,1. Find Extremum,311.761
stu9,student,birdstrikes,compassql,dfs,1. Find Extremum,88.641
pro7,professional,birdstrikes,dziban,bfs,2. Retrieve Value,241.958
stu30,student,movies,dziban,dfs,2. Retrieve Value,87.353
pro20,professional,movies,dziban,bfs,4. Exploration,668.223
stu18,student,birdstrikes,dziban,bfs,2. Retrieve Value,277.825
stu8,student,birdstrikes,compassql,bfs,3. Prediction,712.305
stu1,student,birdstrikes,compassql,bfs,1. Find Extremum,365.038
pro10,professional,birdstrikes,dziban,dfs,1. Find Extremum,86.738
stu4,student,movies,dziban,bfs,1. Find Extremum,229.185
pro18,professional,movies,dziban,dfs,3. Prediction,377.597
