participant_id,participant_group,dataset,oracle,search,task,num_exposed_variable_set
stu14,student,birdstrikes,compassql,dfs,3. Prediction,61
stu11,student,movies,dziban,dfs,3. Prediction,91
pro23,professional,movies,compassql,dfs,3. Prediction,58
stu18,student,birdstrikes,dziban,bfs,3. Prediction,41
pro7,professional,birdstrikes,dziban,bfs,3. Prediction,47
stu30,student,movies,dziban,dfs,3. Prediction,58
pro5,professional,movies,dziban,dfs,3. Prediction,62
stu40,student,birdstrikes,dziban,dfs,3. Prediction,82
stu2,student,birdstrikes,compassql,bfs,3. Prediction,44
stu7,student,movies,dziban,bfs,3. Prediction,74
pro20,professional,movies,dziban,bfs,3. Prediction,105
stu32,student,birdstrikes,compassql,bfs,3. Prediction,70
pro15,professional,movies,dziban,bfs,3. Prediction,64
stu5,student,birdstrikes,compassql,dfs,3. Prediction,51
stu22,student,birdstrikes,dziban,bfs,3. Prediction,68
pro2,professional,birdstrikes,compassql,bfs,3. Prediction,83
stu34,student,birdstrikes,compassql,dfs,3. Prediction,62
pro6,professional,birdstrikes,dziban,bfs,3. Prediction,25
pro3,professional,movies,compassql,bfs,3. Prediction,52
stu19,student,birdstrikes,dziban,bfs,3. Prediction,33
stu8,student,birdstrikes,compassql,bfs,3. Prediction,47
pro18,professional,movies,dziban,dfs,3. Prediction,68
stu17,student,movies,compassql,bfs,3. Prediction,83
pro12,professional,birdstrikes,dziban,dfs,3. Prediction,44
pro1,professional,birdstrikes,compassql,dfs,3. Prediction,74
stu20,student,birdstrikes,dziban,dfs,3. Prediction,25
stu33,student,birdstrikes,compassql,bfs,3. Prediction,48
stu28,student,birdstrikes,dziban,bfs,3. Prediction,73
pro21,professional,movies,dziban,bfs,3. Prediction,88
stu29,student,movies,dziban,bfs,3. Prediction,84
pro19,professional,birdstrikes,compassql,dfs,3. Prediction,79
stu10,student,movies,compassql,dfs,3. Prediction,55
stu26,student,movies,compassql,bfs,3. Prediction,50
stu39,student,movies,dziban,dfs,3. Prediction,78
stu27,student,birdstrikes,dziban,dfs,3. Prediction,93
stu31,student,movies,dziban,bfs,3. Prediction,124
stu21,student,movies,compassql,bfs,3. Prediction,51
pro17,professional,movies,compassql,bfs,3. Prediction,62
pro16,professional,birdstrikes,compassql,bfs,3. Prediction,76
pro8,professional,movies,compassql,dfs,3. Prediction,48
stu16,student,birdstrikes,compassql,dfs,3. Prediction,53
stu12,student,birdstrikes,dziban,dfs,3. Prediction,37
pro25,professional,movies,compassql,dfs,3. Prediction,48
stu13,student,movies,compassql,dfs,3. Prediction,50
stu36,student,movies,dziban,dfs,3. Prediction,109
stu6,student,movies,compassql,dfs,3. Prediction,53
stu25,student,movies,compassql,bfs,3. Prediction,38
pro13,professional,movies,compassql,bfs,3. Prediction,66
stu23,student,birdstrikes,dziban,dfs,3. Prediction,43
pro11,professional,birdstrikes,compassql,dfs,3. Prediction,43
pro22,professional,movies,dziban,bfs,3. Prediction,75
pro10,professional,birdstrikes,dziban,dfs,3. Prediction,84
stu4,student,movies,dziban,bfs,3. Prediction,55
stu1,student,birdstrikes,compassql,bfs,3. Prediction,53
stu9,student,birdstrikes,compassql,dfs,3. Prediction,51
pro26,professional,birdstrikes,dziban,bfs,3. Prediction,64
pro24,professional,movies,dziban,dfs,3. Prediction,41
pro9,professional,movies,compassql,dfs,3. Prediction,64
stu3,student,movies,compassql,dfs,3. Prediction,76
stu24,student,movies,compassql,bfs,3. Prediction,70
stu37,student,movies,dziban,dfs,3. Prediction,117
pro4,professional,birdstrikes,compassql,bfs,3. Prediction,72
stu38,student,movies,compassql,dfs,3. Prediction,75
stu15,student,movies,dziban,bfs,3. Prediction,62
stu35,student,birdstrikes,dziban,bfs,3. Prediction,25
pro14,professional,birdstrikes,dziban,dfs,3. Prediction,24
pro21,professional,movies,dziban,bfs,4. Exploration,89
stu29,student,movies,dziban,bfs,4. Exploration,130
stu28,student,birdstrikes,dziban,bfs,4. Exploration,97
stu33,student,birdstrikes,compassql,bfs,4. Exploration,79
stu20,student,birdstrikes,dziban,dfs,4. Exploration,14
stu26,student,movies,compassql,bfs,4. Exploration,168
stu10,student,movies,compassql,dfs,4. Exploration,40
pro19,professional,birdstrikes,compassql,dfs,4. Exploration,50
pro18,professional,movies,dziban,dfs,4. Exploration,16
stu8,student,birdstrikes,compassql,bfs,4. Exploration,89
stu19,student,birdstrikes,dziban,bfs,4. Exploration,101
pro6,professional,birdstrikes,dziban,bfs,4. Exploration,87
pro3,professional,movies,compassql,bfs,4. Exploration,89
stu34,student,birdstrikes,compassql,dfs,4. Exploration,36
pro2,professional,birdstrikes,compassql,bfs,4. Exploration,99
pro1,professional,birdstrikes,compassql,dfs,4. Exploration,36
pro12,professional,birdstrikes,dziban,dfs,4. Exploration,60
stu17,student,movies,compassql,bfs,4. Exploration,79
stu32,student,birdstrikes,compassql,bfs,4. Exploration,84
pro20,professional,movies,dziban,bfs,4. Exploration,92
stu5,student,birdstrikes,compassql,dfs,4. Exploration,31
stu22,student,birdstrikes,dziban,bfs,4. Exploration,68
pro15,professional,movies,dziban,bfs,4. Exploration,95
stu30,student,movies,dziban,dfs,4. Exploration,105
pro7,professional,birdstrikes,dziban,bfs,4. Exploration,48
stu18,student,birdstrikes,dziban,bfs,4. Exploration,72
pro23,professional,movies,compassql,dfs,4. Exploration,40
stu14,student,birdstrikes,compassql,dfs,4. Exploration,39
stu11,student,movies,dziban,dfs,4. Exploration,110
stu2,student,birdstrikes,compassql,bfs,4. Exploration,130
stu7,student,movies,dziban,bfs,4. Exploration,59
pro5,professional,movies,dziban,dfs,4. Exploration,83
stu40,student,birdstrikes,dziban,dfs,4. Exploration,55
stu37,student,movies,dziban,dfs,4. Exploration,136
pro4,professional,birdstrikes,compassql,bfs,4. Exploration,58
stu24,student,movies,compassql,bfs,4. Exploration,109
pro14,professional,birdstrikes,dziban,dfs,4. Exploration,63
stu35,student,birdstrikes,dziban,bfs,4. Exploration,65
stu15,student,movies,dziban,bfs,4. Exploration,140
stu38,student,movies,compassql,dfs,4. Exploration,46
stu9,student,birdstrikes,compassql,dfs,4. Exploration,52
pro26,professional,birdstrikes,dziban,bfs,4. Exploration,117
pro10,professional,birdstrikes,dziban,dfs,4. Exploration,121
stu4,student,movies,dziban,bfs,4. Exploration,48
stu1,student,birdstrikes,compassql,bfs,4. Exploration,96
stu3,student,movies,compassql,dfs,4. Exploration,41
pro9,professional,movies,compassql,dfs,4. Exploration,63
pro24,professional,movies,dziban,dfs,4. Exploration,78
stu25,student,movies,compassql,bfs,4. Exploration,82
pro13,professional,movies,compassql,bfs,4. Exploration,94
stu6,student,movies,compassql,dfs,4. Exploration,64
stu36,student,movies,dziban,dfs,4. Exploration,135
pro25,professional,movies,compassql,dfs,4. Exploration,52
stu13,student,movies,compassql,dfs,4. Exploration,49
pro22,professional,movies,dziban,bfs,4. Exploration,43
pro11,professional,birdstrikes,compassql,dfs,4. Exploration,26
stu23,student,birdstrikes,dziban,dfs,4. Exploration,55
stu31,student,movies,dziban,bfs,4. Exploration,145
stu27,student,birdstrikes,dziban,dfs,4. Exploration,96
stu39,student,movies,dziban,dfs,4. Exploration,93
stu12,student,birdstrikes,dziban,dfs,4. Exploration,94
stu16,student,birdstrikes,compassql,dfs,4. Exploration,28
pro8,professional,movies,compassql,dfs,4. Exploration,31
pro16,professional,birdstrikes,compassql,bfs,4. Exploration,72
stu21,student,movies,compassql,bfs,4. Exploration,21
pro17,professional,movies,compassql,bfs,4. Exploration,108
