participant_id,participant_group,dataset,oracle,search,task,num_exposed_visual_design
pro10,professional,birdstrikes,dziban,dfs,3. Prediction,105
pro11,professional,birdstrikes,compassql,dfs,3. Prediction,43
pro12,professional,birdstrikes,dziban,dfs,3. Prediction,49
pro13,professional,movies,compassql,bfs,3. Prediction,72
pro14,professional,birdstrikes,dziban,dfs,3. Prediction,24
pro15,professional,movies,dziban,bfs,3. Prediction,79
pro16,professional,birdstrikes,compassql,bfs,3. Prediction,86
pro17,professional,movies,compassql,bfs,3. Prediction,67
pro18,professional,movies,dziban,dfs,3. Prediction,80
pro19,professional,birdstrikes,compassql,dfs,3. Prediction,79
pro1,professional,birdstrikes,compassql,dfs,3. Prediction,74
pro20,professional,movies,dziban,bfs,3. Prediction,115
pro21,professional,movies,dziban,bfs,3. Prediction,113
pro22,professional,movies,dziban,bfs,3. Prediction,85
pro23,professional,movies,compassql,dfs,3. Prediction,58
pro24,professional,movies,dziban,dfs,3. Prediction,41
pro25,professional,movies,compassql,dfs,3. Prediction,48
pro26,professional,birdstrikes,dziban,bfs,3. Prediction,78
pro27,professional,birdstrikes,compassql,dfs,3. Prediction,45
pro28,professional,birdstrikes,compassql,bfs,3. Prediction,89
pro29,professional,movies,compassql,bfs,3. Prediction,48
pro2,professional,birdstrikes,compassql,bfs,3. Prediction,92
pro30,professional,birdstrikes,dziban,bfs,3. Prediction,35
pro31,professional,movies,dziban,dfs,3. Prediction,36
pro32,professional,birdstrikes,dziban,dfs,3. Prediction,24
pro3,professional,movies,compassql,bfs,3. Prediction,53
pro4,professional,birdstrikes,compassql,bfs,3. Prediction,78
pro5,professional,movies,dziban,dfs,3. Prediction,78
pro6,professional,birdstrikes,dziban,bfs,3. Prediction,25
pro7,professional,birdstrikes,dziban,bfs,3. Prediction,50
pro8,professional,movies,compassql,dfs,3. Prediction,48
pro9,professional,movies,compassql,dfs,3. Prediction,64
stu10,student,movies,compassql,dfs,3. Prediction,55
stu11,student,movies,dziban,dfs,3. Prediction,114
stu12,student,birdstrikes,dziban,dfs,3. Prediction,38
stu13,student,movies,compassql,dfs,3. Prediction,50
stu14,student,birdstrikes,compassql,dfs,3. Prediction,61
