"oracle","dataset","task","difference",".lower",".upper",".width",".point",".interval"
"dziban - compassql","birdstrikes","1. Find Extremum",-6.99216952044774,-37.3457805171344,21.593223809824,0.95,"mean","qi"
"dziban - compassql","birdstrikes","2. Retrieve Value",-7.02357968468025,-38.2600433034999,22.2702274994785,0.95,"mean","qi"
"dziban - compassql","birdstrikes","3. Prediction",-21.3186159026383,-114.752892178229,66.2843434731375,0.95,"mean","qi"
"dziban - compassql","birdstrikes","4. Exploration",-23.6248990811788,-127.105003476792,74.6638778617041,0.95,"mean","qi"
"dziban - compassql","movies","1. Find Extremum",-6.40924453940308,-34.3766159389624,20.0708631892259,0.95,"mean","qi"
"dziban - compassql","movies","2. Retrieve Value",-6.44051805904738,-34.767917346214,20.287446352654,0.95,"mean","qi"
"dziban - compassql","movies","3. Prediction",-19.5489923024555,-105.869614025325,61.9173234463091,0.95,"mean","qi"
"dziban - compassql","movies","4. Exploration",-21.6623252802659,-113.90907432481,69.4156052917197,0.95,"mean","qi"
"dziban - compassql","birdstrikes","1. Find Extremum",-6.99216952044774,-16.9986043741298,3.04887141035425,0.5,"mean","qi"
"dziban - compassql","birdstrikes","2. Retrieve Value",-7.02357968468025,-17.1671541969083,3.13413304333324,0.5,"mean","qi"
"dziban - compassql","birdstrikes","3. Prediction",-21.3186159026383,-51.6352047734601,9.59881390273753,0.5,"mean","qi"
"dziban - compassql","birdstrikes","4. Exploration",-23.6248990811788,-57.6179515382627,10.5788169932918,0.5,"mean","qi"
"dziban - compassql","movies","1. Find Extremum",-6.40924453940308,-15.5795761175455,2.86970538979968,0.5,"mean","qi"
"dziban - compassql","movies","2. Retrieve Value",-6.44051805904738,-15.7102972105587,2.82418608642419,0.5,"mean","qi"
"dziban - compassql","movies","3. Prediction",-19.5489923024555,-47.3065730384365,8.88859925627202,0.5,"mean","qi"
"dziban - compassql","movies","4. Exploration",-21.6623252802659,-53.094153077318,9.57242571127759,0.5,"mean","qi"
