"search","dataset","task","difference",".lower",".upper",".width",".point",".interval"
"bfs - dfs","birdstrikes","1. Find Extremum",-13.0970547144799,-60.4430609345387,34.924000078712,0.95,"mean","qi"
"bfs - dfs","birdstrikes","2. Retrieve Value",-13.7042371542501,-62.5776292457604,36.2603645631826,0.95,"mean","qi"
"bfs - dfs","birdstrikes","3. Prediction",-39.967750722295,-181.772892072439,103.222114322982,0.95,"mean","qi"
"bfs - dfs","birdstrikes","4. Exploration",-43.8470705352657,-199.015854162104,113.19071807319,0.95,"mean","qi"
"bfs - dfs","movies","1. Find Extremum",3.65200050032673,-37.8494485713992,45.322063235333,0.95,"mean","qi"
"bfs - dfs","movies","2. Retrieve Value",3.83647074194569,-39.6357604108247,47.6477290987572,0.95,"mean","qi"
"bfs - dfs","movies","3. Prediction",11.0104698597739,-118.339340251072,138.282194265618,0.95,"mean","qi"
"bfs - dfs","movies","4. Exploration",12.2402018702869,-129.991621178228,154.704116991247,0.95,"mean","qi"
"bfs - dfs","birdstrikes","1. Find Extremum",-13.0970547144799,-29.4331590806209,2.58198767588109,0.5,"mean","qi"
"bfs - dfs","birdstrikes","2. Retrieve Value",-13.7042371542501,-30.6564748569612,2.6441640901824,0.5,"mean","qi"
"bfs - dfs","birdstrikes","3. Prediction",-39.967750722295,-89.5030374110427,7.77429830873439,0.5,"mean","qi"
"bfs - dfs","birdstrikes","4. Exploration",-43.8470705352657,-98.3028894401928,8.71161234693216,0.5,"mean","qi"
"bfs - dfs","movies","1. Find Extremum",3.65200050032673,-10.962549557703,18.1611231786829,0.5,"mean","qi"
"bfs - dfs","movies","2. Retrieve Value",3.83647074194569,-11.3797517426822,19.031090101818,0.5,"mean","qi"
"bfs - dfs","movies","3. Prediction",11.0104698597739,-33.2695040052085,55.3530255255663,0.5,"mean","qi"
"bfs - dfs","movies","4. Exploration",12.2402018702869,-36.5283924836151,60.0633110889357,0.5,"mean","qi"
