"oracle","metric","dataset","diff_in_time",".lower",".upper",".width",".point",".interval"
"dziban - compassql","4. Exploration","birdstrikes",-30.9987936773984,-186.180506858513,117.544911844675,0.95,"mean","qi"
"dziban - compassql","4. Exploration","movies",38.7484700040746,-100.413419823788,177.065870817485,0.95,"mean","qi"
"dziban - compassql","3. Prediction","birdstrikes",-84.9440759544416,-272.550321311435,93.1147707432971,0.95,"mean","qi"
"dziban - compassql","3. Prediction","movies",-52.7155033117018,-250.083710633759,143.309009381923,0.95,"mean","qi"
"dziban - compassql","2. Retrieve Value","birdstrikes",26.1179914777783,-48.3461881638431,101.928696130026,0.95,"mean","qi"
"dziban - compassql","2. Retrieve Value","movies",-1.23925545946695,-71.4848471338199,67.6125197957379,0.95,"mean","qi"
"dziban - compassql","1. Find Extremum","birdstrikes",-40.781264166016,-134.471863856721,52.5306617389909,0.95,"mean","qi"
"dziban - compassql","1. Find Extremum","movies",-1.26700719408529,-75.1331611897991,71.0505961176551,0.95,"mean","qi"
"dziban - compassql","4. Exploration","birdstrikes",-30.9987936773984,-79.7499501321332,20.0018531495905,0.5,"mean","qi"
"dziban - compassql","4. Exploration","movies",38.7484700040746,-8.00325372372842,86.4754246084136,0.5,"mean","qi"
"dziban - compassql","3. Prediction","birdstrikes",-84.9440759544416,-146.701830548877,-23.2073401661497,0.5,"mean","qi"
"dziban - compassql","3. Prediction","movies",-52.7155033117018,-117.967558209957,12.1183057555687,0.5,"mean","qi"
"dziban - compassql","2. Retrieve Value","birdstrikes",26.1179914777783,0.774016873932283,51.372487279927,0.5,"mean","qi"
"dziban - compassql","2. Retrieve Value","movies",-1.23925545946695,-23.8089528272905,23.0402723723193,0.5,"mean","qi"
"dziban - compassql","1. Find Extremum","birdstrikes",-40.781264166016,-70.9331918089972,-9.78610374908507,0.5,"mean","qi"
"dziban - compassql","1. Find Extremum","movies",-1.26700719408529,-25.6541625850998,23.1349966334441,0.5,"mean","qi"
