"alg","metric","difference",".lower",".upper",".width",".point",".interval"
"dfs compassql - bfs dziban","confidence.ans",-0.0756764705882353,-0.5,0.338235294117647,0.95,"mean","qi"
"dfs compassql - bfs dziban","confidence.udata",-0.241975490196078,-0.720588235294117,0.235294117647059,0.95,"mean","qi"
"dfs compassql - bfs dziban","confidence.ans",-0.0756764705882353,-0.209558823529412,0.0588235294117654,0.5,"mean","qi"
"dfs compassql - bfs dziban","confidence.udata",-0.241975490196078,-0.397058823529412,-0.0882352941176472,0.5,"mean","qi"
"dfs compassql - bfs dziban","overall",-0.546019607843137,-1.22058823529412,0.132352941176471,0.95,"mean","qi"
"dfs compassql - bfs dziban","utility",-0.820279411764706,-1.52977941176471,-0.0588235294117645,0.95,"mean","qi"
"dfs compassql - bfs dziban","ease.of.use",-0.647696078431373,-1.27941176470588,-0.0294117647058827,0.95,"mean","qi"
"dfs compassql - bfs dziban","efficiency",-0.903147058823529,-1.67683823529412,-0.0731617647058808,0.95,"mean","qi"
"dfs compassql - bfs dziban","overall",-0.546019607843137,-0.779411764705882,-0.308823529411765,0.5,"mean","qi"
"dfs compassql - bfs dziban","utility",-0.820279411764706,-1.07352941176471,-0.573529411764706,0.5,"mean","qi"
"dfs compassql - bfs dziban","ease.of.use",-0.647696078431373,-0.867647058823529,-0.426470588235294,0.5,"mean","qi"
"dfs compassql - bfs dziban","efficiency",-0.903147058823529,-1.19117647058824,-0.632352941176471,0.5,"mean","qi"
