"oracle","metric","difference",".lower",".upper",".width",".point",".interval"
"Dziban - CompassQL","Answer",0.137015151515152,-0.272727272727272,0.575757575757575,0.95,"mean","qi"
"Dziban - CompassQL","Understanding Data",0.205909090909091,-0.181818181818182,0.606060606060606,0.95,"mean","qi"
"Dziban - CompassQL","Answer",0.137015151515152,0,0.272727272727272,0.5,"mean","qi"
"Dziban - CompassQL","Understanding Data",0.205909090909091,0.0606060606060606,0.333333333333333,0.5,"mean","qi"
"Dziban - CompassQL","Overall",0.207732323232323,-0.363636363636363,0.757575757575758,0.95,"mean","qi"
"Dziban - CompassQL","Utility",0.29024494949495,-0.363636363636364,0.939393939393939,0.95,"mean","qi"
"Dziban - CompassQL","Ease of Use",0.0901161616161616,-0.424242424242424,0.636363636363636,0.95,"mean","qi"
"Dziban - CompassQL","Efficiency",0.267646464646465,-0.393939393939394,0.909090909090909,0.95,"mean","qi"
"Dziban - CompassQL","Overall",0.207732323232323,0.0303030303030303,0.393939393939394,0.5,"mean","qi"
"Dziban - CompassQL","Utility",0.29024494949495,0.0606060606060606,0.515151515151515,0.5,"mean","qi"
"Dziban - CompassQL","Ease of Use",0.0901161616161616,-0.0909090909090908,0.272727272727273,0.5,"mean","qi"
"Dziban - CompassQL","Efficiency",0.267646464646465,0.0606060606060606,0.484848484848485,0.5,"mean","qi"
