"participant_group","metric","difference",".lower",".upper",".width",".point",".interval"
"student - professional","confidence.ans",0.00390224358974358,-0.163461538461538,0.172163461538461,0.95,"mean","qi"
"student - professional","confidence.udata",0.00480977564102564,-0.138942307692307,0.150480769230769,0.95,"mean","qi"
"student - professional","confidence.ans",0.00390224358974358,-0.0538461538461545,0.0610576923076929,0.5,"mean","qi"
"student - professional","confidence.udata",0.00480977564102564,-0.0447115384615384,0.0533653846153848,0.5,"mean","qi"
"student - professional","overall",0.00820512820512821,-0.155300480769231,0.181730769230769,0.95,"mean","qi"
"student - professional","utility",-0.00241714743589744,-0.242319711538462,0.237992788461538,0.95,"mean","qi"
"student - professional","ease.of.use",0.000685416666666667,-0.188954326923077,0.198088942307692,0.95,"mean","qi"
"student - professional","efficiency",0.00464567307692308,-0.212512019230769,0.2365625,0.95,"mean","qi"
"student - professional","overall",0.00820512820512821,-0.0504807692307692,0.0649038461538463,0.5,"mean","qi"
"student - professional","utility",-0.00241714743589744,-0.0841346153846154,0.0780048076923077,0.5,"mean","qi"
"student - professional","ease.of.use",0.000685416666666667,-0.0658653846153845,0.0664663461538461,0.5,"mean","qi"
"student - professional","efficiency",0.00464567307692308,-0.0701923076923077,0.0798076923076927,0.5,"mean","qi"
