"x1","x2","x3",".row",".value",".lower",".upper",".width",".point",".interval"
"birdstrikes","compassql_bfs","1. Find Extremum",1,1.25611896858089,0.857656458755587,1.65572863978883,0.95,"mean","qi"
"birdstrikes","compassql_bfs","2. Retrieve Value",2,1.40590658907828,0.944047298475729,1.87934425050311,0.95,"mean","qi"
"birdstrikes","compassql_bfs","3. Prediction",3,0.599215921135913,0.13276855348791,1.06450315013957,0.95,"mean","qi"
"birdstrikes","compassql_bfs","4. Exploration",4,0.988843633212774,0.526380565566171,1.45455725631524,0.95,"mean","qi"
"birdstrikes","compassql_dfs","1. Find Extremum",5,1.32519015242194,0.846917548674017,1.81967430134211,0.95,"mean","qi"
"birdstrikes","compassql_dfs","2. Retrieve Value",6,1.52278356395776,0.971762185469707,2.06310957124142,0.95,"mean","qi"
"birdstrikes","compassql_dfs","3. Prediction",7,0.834187186300235,0.290131669925426,1.38199135498038,0.95,"mean","qi"
"birdstrikes","compassql_dfs","4. Exploration",8,0.894968804440773,0.361385436122807,1.41779936986006,0.95,"mean","qi"
"birdstrikes","dziban_bfs","1. Find Extremum",9,1.62648369421864,1.15704345786282,2.09212083482894,0.95,"mean","qi"
"birdstrikes","dziban_bfs","2. Retrieve Value",10,1.57023146407445,1.04376145895253,2.08788953344806,0.95,"mean","qi"
"birdstrikes","dziban_bfs","3. Prediction",11,1.08972157703565,0.561494902925112,1.62346041684067,0.95,"mean","qi"
"birdstrikes","dziban_bfs","4. Exploration",12,1.39663501364912,0.864609944679313,1.93881230709487,0.95,"mean","qi"
"birdstrikes","dziban_dfs","1. Find Extremum",13,1.14781240462065,0.66037052211871,1.62095303063003,0.95,"mean","qi"
"birdstrikes","dziban_dfs","2. Retrieve Value",14,1.05569137494699,0.512876682096353,1.59150263218672,0.95,"mean","qi"
"birdstrikes","dziban_dfs","3. Prediction",15,0.954638398147304,0.434826453741913,1.47573322725707,0.95,"mean","qi"
"birdstrikes","dziban_dfs","4. Exploration",16,1.00137114197928,0.459141249273041,1.55260510121047,0.95,"mean","qi"
"movies","compassql_bfs","1. Find Extremum",17,1.1182226013749,0.675467806245682,1.5535490586362,0.95,"mean","qi"
"movies","compassql_bfs","2. Retrieve Value",18,1.11609893873521,0.593947409962703,1.62901043081164,0.95,"mean","qi"
"movies","compassql_bfs","3. Prediction",19,0.50540464004427,-0.010936952969511,1.02604057533831,0.95,"mean","qi"
"movies","compassql_bfs","4. Exploration",20,0.739191231338486,0.222064662423925,1.26538781428142,0.95,"mean","qi"
"movies","compassql_dfs","1. Find Extremum",21,1.33537766107453,0.836308985163863,1.82474967292579,0.95,"mean","qi"
"movies","compassql_dfs","2. Retrieve Value",22,0.794102450479558,0.2927496530188,1.30829303753699,0.95,"mean","qi"
"movies","compassql_dfs","3. Prediction",23,0.760834027864175,0.259021089681339,1.28530652975534,0.95,"mean","qi"
"movies","compassql_dfs","4. Exploration",24,1.1028330868391,0.578969222349262,1.6128076329893,0.95,"mean","qi"
"movies","dziban_bfs","1. Find Extremum",25,1.54620379924439,1.04963920230751,2.04248597006305,0.95,"mean","qi"
"movies","dziban_bfs","2. Retrieve Value",26,1.13775496516443,0.609282069268162,1.66707206014331,0.95,"mean","qi"
"movies","dziban_bfs","3. Prediction",27,0.537026270795085,0.0105584261149659,1.05008835498365,0.95,"mean","qi"
"movies","dziban_bfs","4. Exploration",28,0.897568153644871,0.380008844839411,1.42501697685479,0.95,"mean","qi"
"movies","dziban_dfs","1. Find Extremum",29,1.38902776329744,0.925360953537778,1.87736132444005,0.95,"mean","qi"
"movies","dziban_dfs","2. Retrieve Value",30,1.4750901377281,0.941470477492495,1.99825682392592,0.95,"mean","qi"
"movies","dziban_dfs","3. Prediction",31,1.23839345950162,0.712587028141313,1.76994729608271,0.95,"mean","qi"
"movies","dziban_dfs","4. Exploration",32,1.353261590617,0.822632056854548,1.86590955413953,0.95,"mean","qi"
