"x1","x2","x3",".value",".lower",".upper",".width",".point",".interval"
"Focused","compassql","bfs",0.893876858894547,0.637035410848881,1.15918944442236,0.95,"mean","qi"
"Focused","compassql","dfs",0.703714635061596,0.448663745684191,0.959747798062587,0.95,"mean","qi"
"Focused","dziban","bfs",1.09370712828643,0.841060953438641,1.34320464575702,0.95,"mean","qi"
"Focused","dziban","dfs",0.998852530974741,0.733826347964802,1.26515706709638,0.95,"mean","qi"
"Open-Ended","compassql","bfs",0.989094153789179,0.730733671273268,1.25586091471684,0.95,"mean","qi"
"Open-Ended","compassql","dfs",0.933652523209444,0.681249444721351,1.19087998483294,0.95,"mean","qi"
"Open-Ended","dziban","bfs",1.07075609039504,0.8057594453742,1.3374998467046,0.95,"mean","qi"
"Open-Ended","dziban","dfs",1.29438176994148,1.03177867058761,1.55936721974491,0.95,"mean","qi"
"Focused","compassql","bfs",0.893876858894547,0.804523085165119,0.983283994764421,0.5,"mean","qi"
"Focused","compassql","dfs",0.703714635061596,0.616454932235079,0.78902969002166,0.5,"mean","qi"
"Focused","dziban","bfs",1.09370712828643,1.00788117247325,1.18115877250068,0.5,"mean","qi"
"Focused","dziban","dfs",0.998852530974741,0.908626018556011,1.08763851283625,0.5,"mean","qi"
"Open-Ended","compassql","bfs",0.989094153789179,0.896418322472165,1.08086954442121,0.5,"mean","qi"
"Open-Ended","compassql","dfs",0.933652523209444,0.848292051869483,1.01884507903432,0.5,"mean","qi"
"Open-Ended","dziban","bfs",1.07075609039504,0.979963462336966,1.16318886625108,0.5,"mean","qi"
"Open-Ended","dziban","dfs",1.29438176994148,1.20606001667899,1.38290053959774,0.5,"mean","qi"
