"x1","x2","x3",".value",".lower",".upper",".width",".point",".interval"
"Focused","compassql","bfs",0.894432018570886,0.645639404075322,1.14382303084676,0.95,"mean","qi"
"Focused","compassql","dfs",0.700865294354231,0.442593963380792,0.954138550579583,0.95,"mean","qi"
"Focused","dziban","bfs",1.09187884078455,0.830658157579508,1.34266583304935,0.95,"mean","qi"
"Focused","dziban","dfs",0.9984796379855,0.737989378073964,1.25433642429959,0.95,"mean","qi"
"Open-Ended","compassql","bfs",0.99338096558621,0.732822002047627,1.24681259234804,0.95,"mean","qi"
"Open-Ended","compassql","dfs",0.931410032104065,0.661886289145607,1.1984256027024,0.95,"mean","qi"
"Open-Ended","dziban","bfs",1.06840853658569,0.816189828117313,1.31974442339667,0.95,"mean","qi"
"Open-Ended","dziban","dfs",1.29445571925314,1.03966671275847,1.55552404127986,0.95,"mean","qi"
"Focused","compassql","bfs",0.894432018570886,0.808886995386554,0.980126373029118,0.5,"mean","qi"
"Focused","compassql","dfs",0.700865294354231,0.612288840874916,0.788974136094114,0.5,"mean","qi"
"Focused","dziban","bfs",1.09187884078455,1.0009847229708,1.18111708877518,0.5,"mean","qi"
"Focused","dziban","dfs",0.9984796379855,0.910537635520839,1.08763962820465,0.5,"mean","qi"
"Open-Ended","compassql","bfs",0.99338096558621,0.905928884561141,1.08348856475906,0.5,"mean","qi"
"Open-Ended","compassql","dfs",0.931410032104065,0.839770113840349,1.02319978620837,0.5,"mean","qi"
"Open-Ended","dziban","bfs",1.06840853658569,0.980736126219524,1.15437260693568,0.5,"mean","qi"
"Open-Ended","dziban","dfs",1.29445571925314,1.20208182759679,1.38448630587236,0.5,"mean","qi"
