"x1","x2","x3",".row",".value",".lower",".upper",".width",".point",".interval"
"birdstrikes","compassql_bfs","1. Find Extremum",1,0.65626272533852,0.18373814497823,1.11124654840902,0.95,"mean","qi"
"birdstrikes","compassql_bfs","2. Retrieve Value",2,1.05235851574909,0.460967827170171,1.6341240625982,0.95,"mean","qi"
"birdstrikes","compassql_bfs","3. Prediction",3,0.970573500034412,0.404759754890859,1.5471097192676,0.95,"mean","qi"
"birdstrikes","compassql_bfs","4. Exploration",4,1.06318903689281,0.494319050787585,1.63854252691592,0.95,"mean","qi"
"birdstrikes","compassql_dfs","1. Find Extremum",5,-0.367241821114237,-0.935901458669804,0.220126136226509,0.95,"mean","qi"
"birdstrikes","compassql_dfs","2. Retrieve Value",6,0.317098555872664,-0.358143463342515,0.983195400361668,0.95,"mean","qi"
"birdstrikes","compassql_dfs","3. Prediction",7,-0.219549578729417,-0.878026000297338,0.455559680162513,0.95,"mean","qi"
"birdstrikes","compassql_dfs","4. Exploration",8,-0.0957667364766118,-0.773137859896924,0.554417269878655,0.95,"mean","qi"
"birdstrikes","dziban_bfs","1. Find Extremum",9,0.629880123265432,0.0711385597955245,1.18957887613516,0.95,"mean","qi"
"birdstrikes","dziban_bfs","2. Retrieve Value",10,0.504176527467925,-0.127021924481188,1.15758750886348,0.95,"mean","qi"
"birdstrikes","dziban_bfs","3. Prediction",11,1.04665197569378,0.35177647665304,1.70104294242177,0.95,"mean","qi"
"birdstrikes","dziban_bfs","4. Exploration",12,0.847087565395912,0.169470450627374,1.51542054115135,0.95,"mean","qi"
"birdstrikes","dziban_dfs","1. Find Extremum",13,0.0669728139502458,-0.509289685142884,0.637787477002137,0.95,"mean","qi"
"birdstrikes","dziban_dfs","2. Retrieve Value",14,0.066430906113904,-0.59498265604021,0.740656534603335,0.95,"mean","qi"
"birdstrikes","dziban_dfs","3. Prediction",15,0.310257093443257,-0.345662482576292,0.964638447091789,0.95,"mean","qi"
"birdstrikes","dziban_dfs","4. Exploration",16,0.259917964364302,-0.401016010470376,0.908717325675865,0.95,"mean","qi"
"movies","compassql_bfs","1. Find Extremum",17,0.585324909300658,0.0557509980858881,1.11198851351599,0.95,"mean","qi"
"movies","compassql_bfs","2. Retrieve Value",18,0.955634053043127,0.315874658808814,1.59012850222679,0.95,"mean","qi"
"movies","compassql_bfs","3. Prediction",19,0.975145196873644,0.355724797190255,1.60055766772505,0.95,"mean","qi"
"movies","compassql_bfs","4. Exploration",20,0.941061198468573,0.323393841163177,1.56861220961733,0.95,"mean","qi"
"movies","compassql_dfs","1. Find Extremum",21,0.0606155415092129,-0.525386360168418,0.642980770867341,0.95,"mean","qi"
"movies","compassql_dfs","2. Retrieve Value",22,0.195271766314705,-0.440824967002027,0.838556125518218,0.95,"mean","qi"
"movies","compassql_dfs","3. Prediction",23,0.595107624632045,-0.057306975501143,1.24495911972637,0.95,"mean","qi"
"movies","compassql_dfs","4. Exploration",24,0.468069671498813,-0.150800704186907,1.11157996788621,0.95,"mean","qi"
"movies","dziban_bfs","1. Find Extremum",25,0.863995637770707,0.253835483127203,1.46552999746102,0.95,"mean","qi"
"movies","dziban_bfs","2. Retrieve Value",26,0.737371921366492,0.081768696955715,1.39914187419514,0.95,"mean","qi"
"movies","dziban_bfs","3. Prediction",27,0.810970259259123,0.161560875401837,1.47042562692033,0.95,"mean","qi"
"movies","dziban_bfs","4. Exploration",28,0.775016758914057,0.135941344221896,1.42611921323577,0.95,"mean","qi"
"movies","dziban_dfs","1. Find Extremum",29,0.428205620692389,-0.169732066262654,1.01656277870114,0.95,"mean","qi"
"movies","dziban_dfs","2. Retrieve Value",30,0.608357562222454,-0.0307515277877337,1.2558491378065,0.95,"mean","qi"
"movies","dziban_dfs","3. Prediction",31,0.864512001267458,0.209599068669649,1.51547096249276,0.95,"mean","qi"
"movies","dziban_dfs","4. Exploration",32,1.17410277410609,0.517194183371323,1.82793654289671,0.95,"mean","qi"
