"x1","x2","x3",".value",".lower",".upper",".width",".point",".interval"
"Focused","compassql","bfs",0.800772170608025,0.458206000926718,1.13841387153497,0.95,"mean","qi"
"Focused","compassql","dfs",0.0572033571882836,-0.268837860695139,0.399957555584351,0.95,"mean","qi"
"Focused","dziban","bfs",0.700700560951825,0.354905875247823,1.03605678180014,0.95,"mean","qi"
"Focused","dziban","dfs",0.297692270514442,-0.0412384109359032,0.637246725203559,0.95,"mean","qi"
"Open-Ended","compassql","bfs",1.01199654766134,0.6675192673384,1.34735403089994,0.95,"mean","qi"
"Open-Ended","compassql","dfs",0.208783163412193,-0.13079560252111,0.558819603621934,0.95,"mean","qi"
"Open-Ended","dziban","bfs",0.873310866763736,0.529650308998472,1.21147572447842,0.95,"mean","qi"
"Open-Ended","dziban","dfs",0.652707410694516,0.295619538566319,0.997679091213474,0.95,"mean","qi"
"Focused","compassql","bfs",0.800772170608025,0.681543529691767,0.921342364878115,0.5,"mean","qi"
"Focused","compassql","dfs",0.0572033571882836,-0.0561626427566544,0.169077524687707,0.5,"mean","qi"
"Focused","dziban","bfs",0.700700560951825,0.58111830224732,0.819568123508931,0.5,"mean","qi"
"Focused","dziban","dfs",0.297692270514442,0.18147443923318,0.419008836102357,0.5,"mean","qi"
"Open-Ended","compassql","bfs",1.01199654766134,0.900941124398144,1.12600590430744,0.5,"mean","qi"
"Open-Ended","compassql","dfs",0.208783163412193,0.0857461805670695,0.328879601211387,0.5,"mean","qi"
"Open-Ended","dziban","bfs",0.873310866763736,0.75366458060932,0.992573604961654,0.5,"mean","qi"
"Open-Ended","dziban","dfs",0.652707410694516,0.535659778030876,0.776958200072477,0.5,"mean","qi"
