"x1","x2","x3",".row",".value",".lower",".upper",".width",".point",".interval"
"birdstrikes","compassql_bfs","1. Find Extremum",1,0.728520481061764,0.184354929870631,1.2625300846903,0.95,"mean","qi"
"birdstrikes","compassql_bfs","2. Retrieve Value",2,0.476075118645598,-0.160979476387062,1.10203062597946,0.95,"mean","qi"
"birdstrikes","compassql_bfs","3. Prediction",3,0.65919829667796,0.0283463527425257,1.29179387833216,0.95,"mean","qi"
"birdstrikes","compassql_bfs","4. Exploration",4,0.852341475632062,0.233195398788921,1.49463251350298,0.95,"mean","qi"
"birdstrikes","compassql_dfs","1. Find Extremum",5,-0.309887609178293,-0.947165577670814,0.321343709676393,0.95,"mean","qi"
"birdstrikes","compassql_dfs","2. Retrieve Value",6,-0.657853733410454,-1.42759632830784,0.0954534531449584,0.95,"mean","qi"
"birdstrikes","compassql_dfs","3. Prediction",7,-0.372182034227343,-1.16621003561906,0.382937117708283,0.95,"mean","qi"
"birdstrikes","compassql_dfs","4. Exploration",8,0.0769008711189486,-0.683420185077434,0.832553287295564,0.95,"mean","qi"
"birdstrikes","dziban_bfs","1. Find Extremum",9,0.734445597359481,0.109341954827361,1.38092296863739,0.95,"mean","qi"
"birdstrikes","dziban_bfs","2. Retrieve Value",10,0.577391950722726,-0.208513116769274,1.33773413350459,0.95,"mean","qi"
"birdstrikes","dziban_bfs","3. Prediction",11,1.14407046035762,0.41205305050633,1.88449035935126,0.95,"mean","qi"
"birdstrikes","dziban_bfs","4. Exploration",12,1.03191179400298,0.285893647791917,1.78682663169419,0.95,"mean","qi"
"birdstrikes","dziban_dfs","1. Find Extremum",13,0.20539696176495,-0.424145929254272,0.844395937225968,0.95,"mean","qi"
"birdstrikes","dziban_dfs","2. Retrieve Value",14,-0.216117271607446,-0.978368801488363,0.537758597896462,0.95,"mean","qi"
"birdstrikes","dziban_dfs","3. Prediction",15,0.157921231069118,-0.602282655914059,0.906439196827529,0.95,"mean","qi"
"birdstrikes","dziban_dfs","4. Exploration",16,0.169088495283709,-0.600245992761771,0.927306967254379,0.95,"mean","qi"
"movies","compassql_bfs","1. Find Extremum",17,0.519455385886401,-0.067360316623659,1.09838099936966,0.95,"mean","qi"
"movies","compassql_bfs","2. Retrieve Value",18,0.262814665904427,-0.455481411526663,0.973017970615407,0.95,"mean","qi"
"movies","compassql_bfs","3. Prediction",19,0.468293630727332,-0.240469921570448,1.17983835671855,0.95,"mean","qi"
"movies","compassql_bfs","4. Exploration",20,0.606702001573425,-0.103647462307473,1.32793384505947,0.95,"mean","qi"
"movies","compassql_dfs","1. Find Extremum",21,-0.0234470249892661,-0.690372186991103,0.694974939858146,0.95,"mean","qi"
"movies","compassql_dfs","2. Retrieve Value",22,-0.175610914289937,-0.937965803238098,0.595952659613339,0.95,"mean","qi"
"movies","compassql_dfs","3. Prediction",23,0.202367442687233,-0.57966877156097,0.990444939994378,0.95,"mean","qi"
"movies","compassql_dfs","4. Exploration",24,0.265008835373978,-0.486209060287023,1.01657727304825,0.95,"mean","qi"
"movies","dziban_bfs","1. Find Extremum",25,0.105202648673547,-0.573606904595308,0.797668207906022,0.95,"mean","qi"
"movies","dziban_bfs","2. Retrieve Value",26,0.109879896995735,-0.647273338156587,0.881732781938035,0.95,"mean","qi"
"movies","dziban_bfs","3. Prediction",27,1.03670001888064,0.268235845322886,1.79888932234205,0.95,"mean","qi"
"movies","dziban_bfs","4. Exploration",28,0.692791216115667,-0.0758094009272392,1.43745127735628,0.95,"mean","qi"
"movies","dziban_dfs","1. Find Extremum",29,0.475960007961262,-0.188050247811522,1.15115583807711,0.95,"mean","qi"
"movies","dziban_dfs","2. Retrieve Value",30,0.319968196492969,-0.427230339383122,1.07638206536263,0.95,"mean","qi"
"movies","dziban_dfs","3. Prediction",31,0.596999613959941,-0.152159213834114,1.38787549390158,0.95,"mean","qi"
"movies","dziban_dfs","4. Exploration",32,1.12456511929089,0.36793585930092,1.90937332188354,0.95,"mean","qi"
