"alg","diff_in_rating",".lower",".upper",".width",".point",".interval","task"
"bfs dziban - bfs compassql",0.135025396825397,-0.225,0.495267857142857,0.95,"mean","qi","confidence.udata"
"dfs compassql - bfs compassql",-0.133174603174603,-0.497619047619048,0.246458333333333,0.95,"mean","qi","confidence.udata"
"dfs compassql - bfs dziban",-0.2682,-0.633333333333333,0.0833333333333335,0.95,"mean","qi","confidence.udata"
"dfs dziban - bfs compassql",0.204469841269841,-0.155952380952381,0.563125,0.95,"mean","qi","confidence.udata"
"dfs dziban - bfs dziban",0.0694444444444444,-0.266666666666667,0.416666666666667,0.95,"mean","qi","confidence.udata"
"dfs dziban - dfs compassql",0.337644444444444,-0.0166666666666666,0.7,0.95,"mean","qi","confidence.udata"
"bfs dziban - bfs compassql",0.135025396825397,0.0119047619047619,0.257142857142857,0.5,"mean","qi","confidence.udata"
"dfs compassql - bfs compassql",-0.133174603174603,-0.264285714285714,-0.00119047619047619,0.5,"mean","qi","confidence.udata"
"dfs compassql - bfs dziban",-0.2682,-0.383333333333333,-0.15,0.5,"mean","qi","confidence.udata"
"dfs dziban - bfs compassql",0.204469841269841,0.075892857142857,0.330952380952381,0.5,"mean","qi","confidence.udata"
"dfs dziban - bfs dziban",0.0694444444444444,-0.0500000000000003,0.183333333333334,0.5,"mean","qi","confidence.udata"
"dfs dziban - dfs compassql",0.337644444444444,0.216666666666667,0.466666666666666,0.5,"mean","qi","confidence.udata"
"bfs dziban - bfs compassql",0.212473412698413,-0.160744047619047,0.577410714285715,0.95,"mean","qi","confidence.ans"
"dfs compassql - bfs compassql",0.0663456349206349,-0.304761904761905,0.44764880952381,0.95,"mean","qi","confidence.ans"
"dfs compassql - bfs dziban",-0.146127777777778,-0.516666666666667,0.216666666666666,0.95,"mean","qi","confidence.ans"
"dfs dziban - bfs compassql",0.234156746031746,-0.145238095238095,0.607202380952381,0.95,"mean","qi","confidence.ans"
"dfs dziban - bfs dziban",0.0216833333333333,-0.333333333333333,0.366666666666667,0.95,"mean","qi","confidence.ans"
"dfs dziban - dfs compassql",0.167811111111111,-0.2,0.533333333333333,0.95,"mean","qi","confidence.ans"
"bfs dziban - bfs compassql",0.212473412698413,0.0869047619047619,0.340476190476191,0.5,"mean","qi","confidence.ans"
"dfs compassql - bfs compassql",0.0663456349206349,-0.068154761904762,0.198809523809524,0.5,"mean","qi","confidence.ans"
"dfs compassql - bfs dziban",-0.146127777777778,-0.283333333333333,-0.0166666666666666,0.5,"mean","qi","confidence.ans"
"dfs dziban - bfs compassql",0.234156746031746,0.101190476190476,0.363095238095238,0.5,"mean","qi","confidence.ans"
"dfs dziban - bfs dziban",0.0216833333333333,-0.0999999999999996,0.149999999999999,0.5,"mean","qi","confidence.ans"
"dfs dziban - dfs compassql",0.167811111111111,0.0333333333333341,0.3,0.5,"mean","qi","confidence.ans"
"bfs dziban - bfs compassql",0.0868789682539683,-0.438095238095238,0.610803571428572,0.95,"mean","qi","efficiency"
"dfs compassql - bfs compassql",-0.72139880952381,-1.26666666666667,-0.177321428571428,0.95,"mean","qi","efficiency"
"dfs compassql - bfs dziban",-0.808277777777778,-1.36666666666667,-0.283333333333333,0.95,"mean","qi","efficiency"
"dfs dziban - bfs compassql",-0.255209920634921,-0.804851190476191,0.284553571428571,0.95,"mean","qi","efficiency"
"dfs dziban - bfs dziban",-0.342088888888889,-0.9,0.2,0.95,"mean","qi","efficiency"
"dfs dziban - dfs compassql",0.466188888888889,-0.0833333333333335,1.03333333333333,0.95,"mean","qi","efficiency"
"bfs dziban - bfs compassql",0.0868789682539683,-0.102380952380952,0.273809523809524,0.5,"mean","qi","efficiency"
"dfs compassql - bfs compassql",-0.72139880952381,-0.914583333333334,-0.528571428571428,0.5,"mean","qi","efficiency"
"dfs compassql - bfs dziban",-0.808277777777778,-0.983333333333333,-0.616666666666667,0.5,"mean","qi","efficiency"
"dfs dziban - bfs compassql",-0.255209920634921,-0.446428571428572,-0.0630952380952383,0.5,"mean","qi","efficiency"
"dfs dziban - bfs dziban",-0.342088888888889,-0.533333333333333,-0.15,0.5,"mean","qi","efficiency"
"dfs dziban - dfs compassql",0.466188888888889,0.283333333333333,0.65,0.5,"mean","qi","efficiency"
"bfs dziban - bfs compassql",-0.0838765873015873,-0.540535714285714,0.375029761904762,0.95,"mean","qi","ease.of.use"
"dfs compassql - bfs compassql",-0.752354365079365,-1.22264880952381,-0.264196428571428,0.95,"mean","qi","ease.of.use"
"dfs compassql - bfs dziban",-0.668477777777778,-1.15,-0.183333333333333,0.95,"mean","qi","ease.of.use"
"dfs dziban - bfs compassql",-0.419259920634921,-0.87625,0.0453273809523811,0.95,"mean","qi","ease.of.use"
"dfs dziban - bfs dziban",-0.335383333333333,-0.8,0.133333333333333,0.95,"mean","qi","ease.of.use"
"dfs dziban - dfs compassql",0.333094444444444,-0.166666666666667,0.85,0.95,"mean","qi","ease.of.use"
"bfs dziban - bfs compassql",-0.0838765873015873,-0.241964285714286,0.073809523809524,0.5,"mean","qi","ease.of.use"
"dfs compassql - bfs compassql",-0.752354365079365,-0.914285714285715,-0.588988095238095,0.5,"mean","qi","ease.of.use"
"dfs compassql - bfs dziban",-0.668477777777778,-0.833333333333333,-0.5,0.5,"mean","qi","ease.of.use"
"dfs dziban - bfs compassql",-0.419259920634921,-0.580952380952381,-0.259523809523809,0.5,"mean","qi","ease.of.use"
"dfs dziban - bfs dziban",-0.335383333333333,-0.5,-0.183333333333333,0.5,"mean","qi","ease.of.use"
"dfs dziban - dfs compassql",0.333094444444444,0.166666666666667,0.5,0.5,"mean","qi","ease.of.use"
"bfs dziban - bfs compassql",0.183947619047619,-0.384732142857142,0.741755952380953,0.95,"mean","qi","utility"
"dfs compassql - bfs compassql",-0.481957936507937,-1.07383928571429,0.126190476190476,0.95,"mean","qi","utility"
"dfs compassql - bfs dziban",-0.665905555555556,-1.25,-0.0999999999999996,0.95,"mean","qi","utility"
"dfs dziban - bfs compassql",-0.0841468253968254,-0.678720238095238,0.507142857142857,0.95,"mean","qi","utility"
"dfs dziban - bfs dziban",-0.268094444444444,-0.85,0.300416666666668,0.95,"mean","qi","utility"
"dfs dziban - dfs compassql",0.397811111111111,-0.2,0.983750000000002,0.95,"mean","qi","utility"
"bfs dziban - bfs compassql",0.183947619047619,-0.0145833333333333,0.390773809523809,0.5,"mean","qi","utility"
"dfs compassql - bfs compassql",-0.481957936507937,-0.680952380952381,-0.279464285714286,0.5,"mean","qi","utility"
"dfs compassql - bfs dziban",-0.665905555555556,-0.866666666666667,-0.466666666666667,0.5,"mean","qi","utility"
"dfs dziban - bfs compassql",-0.0841468253968254,-0.293154761904762,0.126190476190476,0.5,"mean","qi","utility"
"dfs dziban - bfs dziban",-0.268094444444444,-0.466666666666667,-0.0666666666666669,0.5,"mean","qi","utility"
"dfs dziban - dfs compassql",0.397811111111111,0.2,0.6,0.5,"mean","qi","utility"
"bfs dziban - bfs compassql",0.0529313492063492,-0.423869047619048,0.503601190476191,0.95,"mean","qi","overall"
"dfs compassql - bfs compassql",-0.377301984126984,-0.864315476190476,0.102440476190476,0.95,"mean","qi","overall"
"dfs compassql - bfs dziban",-0.430233333333333,-0.916666666666667,0.0166666666666666,0.95,"mean","qi","overall"
"dfs dziban - bfs compassql",-0.124346428571429,-0.598839285714286,0.340505952380953,0.95,"mean","qi","overall"
"dfs dziban - bfs dziban",-0.177277777777778,-0.65,0.283333333333333,0.95,"mean","qi","overall"
"dfs dziban - dfs compassql",0.252955555555556,-0.25,0.75,0.95,"mean","qi","overall"
"bfs dziban - bfs compassql",0.0529313492063492,-0.108333333333333,0.213392857142857,0.5,"mean","qi","overall"
"dfs compassql - bfs compassql",-0.377301984126984,-0.541666666666667,-0.212797619047619,0.5,"mean","qi","overall"
"dfs compassql - bfs dziban",-0.430233333333333,-0.583333333333333,-0.266666666666667,0.5,"mean","qi","overall"
"dfs dziban - bfs compassql",-0.124346428571429,-0.29047619047619,0.0416666666666665,0.5,"mean","qi","overall"
"dfs dziban - bfs dziban",-0.177277777777778,-0.333333333333333,-0.0166666666666666,0.5,"mean","qi","overall"
"dfs dziban - dfs compassql",0.252955555555556,0.0833333333333335,0.416666666666667,0.5,"mean","qi","overall"
