"search","oracle","task_type","rating",".lower",".upper",".width",".point",".interval"
"bfs","compassql","Focused",0.977732142857143,0.678571428571429,1.25,0.95,"mean","qi"
"bfs","compassql","Open-Ended",0.977732142857143,0.678571428571429,1.25,0.95,"mean","qi"
"bfs","dziban","Focused",1.19020555555556,0.916666666666667,1.43333333333333,0.95,"mean","qi"
"bfs","dziban","Open-Ended",1.19020555555556,0.916666666666667,1.43333333333333,0.95,"mean","qi"
"dfs","compassql","Focused",1.04407777777778,0.766666666666667,1.3,0.95,"mean","qi"
"dfs","compassql","Open-Ended",1.04407777777778,0.766666666666667,1.3,0.95,"mean","qi"
"dfs","dziban","Focused",1.21188888888889,0.95,1.45,0.95,"mean","qi"
"dfs","dziban","Open-Ended",1.21188888888889,0.95,1.45,0.95,"mean","qi"
"bfs","compassql","Focused",0.977732142857143,0.892857142857143,1.07142857142857,0.5,"mean","qi"
"bfs","compassql","Open-Ended",0.977732142857143,0.892857142857143,1.07142857142857,0.5,"mean","qi"
"bfs","dziban","Focused",1.19020555555556,1.1,1.28333333333333,0.5,"mean","qi"
"bfs","dziban","Open-Ended",1.19020555555556,1.1,1.28333333333333,0.5,"mean","qi"
"dfs","compassql","Focused",1.04407777777778,0.95,1.13333333333333,0.5,"mean","qi"
"dfs","compassql","Open-Ended",1.04407777777778,0.95,1.13333333333333,0.5,"mean","qi"
"dfs","dziban","Focused",1.21188888888889,1.13333333333333,1.3,0.5,"mean","qi"
"dfs","dziban","Open-Ended",1.21188888888889,1.13333333333333,1.3,0.5,"mean","qi"
