"search","oracle","task_type","rating",".lower",".upper",".width",".point",".interval"
"bfs","compassql","Focused",0.882232142857143,0.535714285714286,1.17857142857143,0.95,"mean","qi"
"bfs","compassql","Open-Ended",0.882232142857143,0.535714285714286,1.17857142857143,0.95,"mean","qi"
"bfs","dziban","Focused",0.798355555555556,0.45,1.1,0.95,"mean","qi"
"bfs","dziban","Open-Ended",0.798355555555556,0.45,1.1,0.95,"mean","qi"
"dfs","compassql","Focused",0.129877777777778,-0.233333333333333,0.483333333333333,0.95,"mean","qi"
"dfs","compassql","Open-Ended",0.129877777777778,-0.233333333333333,0.483333333333333,0.95,"mean","qi"
"dfs","dziban","Focused",0.462972222222222,0.116666666666667,0.8,0.95,"mean","qi"
"dfs","dziban","Open-Ended",0.462972222222222,0.116666666666667,0.8,0.95,"mean","qi"
"bfs","compassql","Focused",0.882232142857143,0.785714285714286,1,0.5,"mean","qi"
"bfs","compassql","Open-Ended",0.882232142857143,0.785714285714286,1,0.5,"mean","qi"
"bfs","dziban","Focused",0.798355555555556,0.7,0.916666666666667,0.5,"mean","qi"
"bfs","dziban","Open-Ended",0.798355555555556,0.7,0.916666666666667,0.5,"mean","qi"
"dfs","compassql","Focused",0.129877777777778,0,0.25,0.5,"mean","qi"
"dfs","compassql","Open-Ended",0.129877777777778,0,0.25,0.5,"mean","qi"
"dfs","dziban","Focused",0.462972222222222,0.35,0.583333333333333,0.5,"mean","qi"
"dfs","dziban","Open-Ended",0.462972222222222,0.35,0.583333333333333,0.5,"mean","qi"
