"search","oracle","task_type","rating",".lower",".upper",".width",".point",".interval"
"bfs","compassql","Focused",0.591482142857143,0.196428571428571,0.982142857142857,0.95,"mean","qi"
"bfs","compassql","Open-Ended",0.591482142857143,0.196428571428571,0.982142857142857,0.95,"mean","qi"
"bfs","dziban","Focused",0.678361111111111,0.316666666666667,1.03333333333333,0.95,"mean","qi"
"bfs","dziban","Open-Ended",0.678361111111111,0.316666666666667,1.03333333333333,0.95,"mean","qi"
"dfs","compassql","Focused",-0.129916666666667,-0.533333333333333,0.266666666666667,0.95,"mean","qi"
"dfs","compassql","Open-Ended",-0.129916666666667,-0.533333333333333,0.266666666666667,0.95,"mean","qi"
"dfs","dziban","Focused",0.336272222222222,-0.0666666666666667,0.716666666666667,0.95,"mean","qi"
"dfs","dziban","Open-Ended",0.336272222222222,-0.0666666666666667,0.716666666666667,0.95,"mean","qi"
"bfs","compassql","Focused",0.591482142857143,0.464285714285714,0.732142857142857,0.5,"mean","qi"
"bfs","compassql","Open-Ended",0.591482142857143,0.464285714285714,0.732142857142857,0.5,"mean","qi"
"bfs","dziban","Focused",0.678361111111111,0.55,0.816666666666667,0.5,"mean","qi"
"bfs","dziban","Open-Ended",0.678361111111111,0.55,0.816666666666667,0.5,"mean","qi"
"dfs","compassql","Focused",-0.129916666666667,-0.266666666666667,0,0.5,"mean","qi"
"dfs","compassql","Open-Ended",-0.129916666666667,-0.266666666666667,0,0.5,"mean","qi"
"dfs","dziban","Focused",0.336272222222222,0.2,0.466666666666667,0.5,"mean","qi"
"dfs","dziban","Open-Ended",0.336272222222222,0.2,0.466666666666667,0.5,"mean","qi"
