"participant_id","dataset","oracle","search","task","completion_time","condition","task_type",".row","exp(.value)",".lower",".upper",".width",".point",".interval"
1,"birdstrikes","compassql","bfs","4. Exploration",130.713,"compassql_bfs","Focused",42,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
1,"birdstrikes","compassql","bfs","4. Exploration",419.898,"compassql_bfs","Focused",41,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
1,"birdstrikes","compassql","bfs","4. Exploration",529.136,"compassql_bfs","Open-Ended",43,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
1,"birdstrikes","compassql","bfs","4. Exploration",764.832,"compassql_bfs","Open-Ended",44,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
2,"birdstrikes","compassql","bfs","4. Exploration",182.05,"compassql_bfs","Focused",86,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
2,"birdstrikes","compassql","bfs","4. Exploration",365.038,"compassql_bfs","Focused",85,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
2,"birdstrikes","compassql","bfs","4. Exploration",558.253,"compassql_bfs","Open-Ended",87,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
2,"birdstrikes","compassql","bfs","4. Exploration",682.492,"compassql_bfs","Open-Ended",88,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
3,"birdstrikes","compassql","bfs","4. Exploration",157.941,"compassql_bfs","Focused",130,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
3,"birdstrikes","compassql","bfs","4. Exploration",299.53,"compassql_bfs","Focused",129,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
3,"birdstrikes","compassql","bfs","4. Exploration",555.236,"compassql_bfs","Open-Ended",131,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
3,"birdstrikes","compassql","bfs","4. Exploration",954.624,"compassql_bfs","Open-Ended",132,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
4,"movies","compassql","dfs","4. Exploration",64.071,"compassql_dfs","Focused",173,635.272971125403,524.059605885317,766.305299797486,0.95,"mean","qi"
4,"movies","compassql","dfs","4. Exploration",274.449,"compassql_dfs","Focused",174,635.272971125403,524.059605885317,766.305299797486,0.95,"mean","qi"
4,"movies","compassql","dfs","4. Exploration",949.55,"compassql_dfs","Open-Ended",176,635.272971125403,524.059605885317,766.305299797486,0.95,"mean","qi"
4,"movies","compassql","dfs","4. Exploration",1035.578,"compassql_dfs","Open-Ended",175,635.272971125403,524.059605885317,766.305299797486,0.95,"mean","qi"
5,"movies","dziban","bfs","4. Exploration",229.185,"dziban_bfs","Focused",217,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
5,"movies","dziban","bfs","4. Exploration",241.724,"dziban_bfs","Focused",218,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
5,"movies","dziban","bfs","4. Exploration",595.646,"dziban_bfs","Open-Ended",220,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
5,"movies","dziban","bfs","4. Exploration",659.498,"dziban_bfs","Open-Ended",219,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
6,"birdstrikes","compassql","dfs","4. Exploration",189.291,"compassql_dfs","Focused",221,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
6,"birdstrikes","compassql","dfs","4. Exploration",191.305,"compassql_dfs","Focused",222,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
6,"birdstrikes","compassql","dfs","4. Exploration",591.527,"compassql_dfs","Open-Ended",223,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
6,"birdstrikes","compassql","dfs","4. Exploration",597.295,"compassql_dfs","Open-Ended",224,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
7,"movies","compassql","dfs","4. Exploration",97.353,"compassql_dfs","Focused",225,635.272971125403,524.059605885317,766.305299797486,0.95,"mean","qi"
7,"movies","compassql","dfs","4. Exploration",185.769,"compassql_dfs","Focused",226,635.272971125403,524.059605885317,766.305299797486,0.95,"mean","qi"
7,"movies","compassql","dfs","4. Exploration",537.48,"compassql_dfs","Open-Ended",227,635.272971125403,524.059605885317,766.305299797486,0.95,"mean","qi"
7,"movies","compassql","dfs","4. Exploration",670.009,"compassql_dfs","Open-Ended",228,635.272971125403,524.059605885317,766.305299797486,0.95,"mean","qi"
8,"movies","dziban","dfs","4. Exploration",374.719,"dziban_dfs","Focused",230,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
