"participant_id","dataset","oracle","search","task","completion_time","condition","task_type",".row","exp(.value)",".lower",".upper",".width",".point",".interval"
1,"birdstrikes","compassql","bfs","1. Find Extremum",130.713,"compassql_bfs","Focused",42,243.464231996995,169.161029472042,342.333860028044,0.95,"mean","qi"
1,"birdstrikes","compassql","bfs","1. Find Extremum",419.898,"compassql_bfs","Focused",41,243.464231996995,169.161029472042,342.333860028044,0.95,"mean","qi"
1,"birdstrikes","compassql","bfs","1. Find Extremum",529.136,"compassql_bfs","Open-Ended",43,243.464231996995,169.161029472042,342.333860028044,0.95,"mean","qi"
1,"birdstrikes","compassql","bfs","1. Find Extremum",764.832,"compassql_bfs","Open-Ended",44,243.464231996995,169.161029472042,342.333860028044,0.95,"mean","qi"
2,"birdstrikes","compassql","bfs","1. Find Extremum",182.05,"compassql_bfs","Focused",86,243.464231996995,169.161029472042,342.333860028044,0.95,"mean","qi"
2,"birdstrikes","compassql","bfs","1. Find Extremum",365.038,"compassql_bfs","Focused",85,243.464231996995,169.161029472042,342.333860028044,0.95,"mean","qi"
2,"birdstrikes","compassql","bfs","1. Find Extremum",558.253,"compassql_bfs","Open-Ended",87,243.464231996995,169.161029472042,342.333860028044,0.95,"mean","qi"
2,"birdstrikes","compassql","bfs","1. Find Extremum",682.492,"compassql_bfs","Open-Ended",88,243.464231996995,169.161029472042,342.333860028044,0.95,"mean","qi"
3,"birdstrikes","compassql","bfs","1. Find Extremum",157.941,"compassql_bfs","Focused",130,243.464231996995,169.161029472042,342.333860028044,0.95,"mean","qi"
3,"birdstrikes","compassql","bfs","1. Find Extremum",299.53,"compassql_bfs","Focused",129,243.464231996995,169.161029472042,342.333860028044,0.95,"mean","qi"
3,"birdstrikes","compassql","bfs","1. Find Extremum",555.236,"compassql_bfs","Open-Ended",131,243.464231996995,169.161029472042,342.333860028044,0.95,"mean","qi"
3,"birdstrikes","compassql","bfs","1. Find Extremum",954.624,"compassql_bfs","Open-Ended",132,243.464231996995,169.161029472042,342.333860028044,0.95,"mean","qi"
4,"movies","compassql","dfs","1. Find Extremum",64.071,"compassql_dfs","Focused",173,182.561972537473,124.816662499851,258.192120221252,0.95,"mean","qi"
4,"movies","compassql","dfs","1. Find Extremum",274.449,"compassql_dfs","Focused",174,182.561972537473,124.816662499851,258.192120221252,0.95,"mean","qi"
4,"movies","compassql","dfs","1. Find Extremum",949.55,"compassql_dfs","Open-Ended",176,182.561972537473,124.816662499851,258.192120221252,0.95,"mean","qi"
4,"movies","compassql","dfs","1. Find Extremum",1035.578,"compassql_dfs","Open-Ended",175,182.561972537473,124.816662499851,258.192120221252,0.95,"mean","qi"
5,"movies","dziban","bfs","1. Find Extremum",229.185,"dziban_bfs","Focused",217,218.97301848853,148.443589695056,315.096830041664,0.95,"mean","qi"
5,"movies","dziban","bfs","1. Find Extremum",241.724,"dziban_bfs","Focused",218,218.97301848853,148.443589695056,315.096830041664,0.95,"mean","qi"
5,"movies","dziban","bfs","1. Find Extremum",595.646,"dziban_bfs","Open-Ended",220,218.97301848853,148.443589695056,315.096830041664,0.95,"mean","qi"
5,"movies","dziban","bfs","1. Find Extremum",659.498,"dziban_bfs","Open-Ended",219,218.97301848853,148.443589695056,315.096830041664,0.95,"mean","qi"
6,"birdstrikes","compassql","dfs","1. Find Extremum",189.291,"compassql_dfs","Focused",221,277.403288036006,188.972493106488,392.931902203478,0.95,"mean","qi"
6,"birdstrikes","compassql","dfs","1. Find Extremum",191.305,"compassql_dfs","Focused",222,277.403288036006,188.972493106488,392.931902203478,0.95,"mean","qi"
6,"birdstrikes","compassql","dfs","1. Find Extremum",591.527,"compassql_dfs","Open-Ended",223,277.403288036006,188.972493106488,392.931902203478,0.95,"mean","qi"
6,"birdstrikes","compassql","dfs","1. Find Extremum",597.295,"compassql_dfs","Open-Ended",224,277.403288036006,188.972493106488,392.931902203478,0.95,"mean","qi"
7,"movies","compassql","dfs","1. Find Extremum",97.353,"compassql_dfs","Focused",225,182.561972537473,124.816662499851,258.192120221252,0.95,"mean","qi"
7,"movies","compassql","dfs","1. Find Extremum",185.769,"compassql_dfs","Focused",226,182.561972537473,124.816662499851,258.192120221252,0.95,"mean","qi"
7,"movies","compassql","dfs","1. Find Extremum",537.48,"compassql_dfs","Open-Ended",227,182.561972537473,124.816662499851,258.192120221252,0.95,"mean","qi"
7,"movies","compassql","dfs","1. Find Extremum",670.009,"compassql_dfs","Open-Ended",228,182.561972537473,124.816662499851,258.192120221252,0.95,"mean","qi"
8,"movies","dziban","dfs","1. Find Extremum",374.719,"dziban_dfs","Focused",230,158.56756441638,106.154814315716,227.874150708272,0.95,"mean","qi"
8,"movies","dziban","dfs","1. Find Extremum",378.739,"dziban_dfs","Focused",229,158.56756441638,106.154814315716,227.874150708272,0.95,"mean","qi"
8,"movies","dziban","dfs","1. Find Extremum",498.083,"dziban_dfs","Open-Ended",231,158.56756441638,106.154814315716,227.874150708272,0.95,"mean","qi"
8,"movies","dziban","dfs","1. Find Extremum",880.304,"dziban_dfs","Open-Ended",232,158.56756441638,106.154814315716,227.874150708272,0.95,"mean","qi"
9,"movies","dziban","bfs","1. Find Extremum",262.809,"dziban_bfs","Focused",234,218.97301848853,148.443589695056,315.096830041664,0.95,"mean","qi"
9,"movies","dziban","bfs","1. Find Extremum",399.447,"dziban_bfs","Focused",233,218.97301848853,148.443589695056,315.096830041664,0.95,"mean","qi"
9,"movies","dziban","bfs","1. Find Extremum",829.866,"dziban_bfs","Open-Ended",236,218.97301848853,148.443589695056,315.096830041664,0.95,"mean","qi"
9,"movies","dziban","bfs","1. Find Extremum",1139.979,"dziban_bfs","Open-Ended",235,218.97301848853,148.443589695056,315.096830041664,0.95,"mean","qi"
10,"birdstrikes","compassql","bfs","1. Find Extremum",80.865,"compassql_bfs","Focused",1,243.464231996995,169.161029472042,342.333860028044,0.95,"mean","qi"
10,"birdstrikes","compassql","bfs","1. Find Extremum",366.251,"compassql_bfs","Focused",2,243.464231996995,169.161029472042,342.333860028044,0.95,"mean","qi"
10,"birdstrikes","compassql","bfs","1. Find Extremum",712.305,"compassql_bfs","Open-Ended",3,243.464231996995,169.161029472042,342.333860028044,0.95,"mean","qi"
10,"birdstrikes","compassql","bfs","1. Find Extremum",914.374,"compassql_bfs","Open-Ended",4,243.464231996995,169.161029472042,342.333860028044,0.95,"mean","qi"
11,"birdstrikes","compassql","dfs","1. Find Extremum",88.641,"compassql_dfs","Focused",5,277.403288036006,188.972493106488,392.931902203478,0.95,"mean","qi"
11,"birdstrikes","compassql","dfs","1. Find Extremum",127.336,"compassql_dfs","Focused",6,277.403288036006,188.972493106488,392.931902203478,0.95,"mean","qi"
11,"birdstrikes","compassql","dfs","1. Find Extremum",778.919,"compassql_dfs","Open-Ended",7,277.403288036006,188.972493106488,392.931902203478,0.95,"mean","qi"
11,"birdstrikes","compassql","dfs","1. Find Extremum",878.045,"compassql_dfs","Open-Ended",8,277.403288036006,188.972493106488,392.931902203478,0.95,"mean","qi"
12,"movies","compassql","dfs","1. Find Extremum",286.29,"compassql_dfs","Focused",10,182.561972537473,124.816662499851,258.192120221252,0.95,"mean","qi"
12,"movies","compassql","dfs","1. Find Extremum",774.624,"compassql_dfs","Focused",9,182.561972537473,124.816662499851,258.192120221252,0.95,"mean","qi"
12,"movies","compassql","dfs","1. Find Extremum",908.271,"compassql_dfs","Open-Ended",12,182.561972537473,124.816662499851,258.192120221252,0.95,"mean","qi"
12,"movies","compassql","dfs","1. Find Extremum",977.202,"compassql_dfs","Open-Ended",11,182.561972537473,124.816662499851,258.192120221252,0.95,"mean","qi"
13,"birdstrikes","dziban","bfs","1. Find Extremum",123.751,"dziban_bfs","Focused",13,234.499267251184,157.667386787377,333.722816090413,0.95,"mean","qi"
13,"birdstrikes","dziban","bfs","1. Find Extremum",181.251,"dziban_bfs","Focused",14,234.499267251184,157.667386787377,333.722816090413,0.95,"mean","qi"
13,"birdstrikes","dziban","bfs","1. Find Extremum",382.749,"dziban_bfs","Open-Ended",15,234.499267251184,157.667386787377,333.722816090413,0.95,"mean","qi"
13,"birdstrikes","dziban","bfs","1. Find Extremum",722.972,"dziban_bfs","Open-Ended",16,234.499267251184,157.667386787377,333.722816090413,0.95,"mean","qi"
14,"movies","compassql","dfs","1. Find Extremum",365.158,"compassql_dfs","Focused",17,182.561972537473,124.816662499851,258.192120221252,0.95,"mean","qi"
14,"movies","compassql","dfs","1. Find Extremum",432.948,"compassql_dfs","Focused",18,182.561972537473,124.816662499851,258.192120221252,0.95,"mean","qi"
14,"movies","compassql","dfs","1. Find Extremum",630.24,"compassql_dfs","Open-Ended",20,182.561972537473,124.816662499851,258.192120221252,0.95,"mean","qi"
14,"movies","compassql","dfs","1. Find Extremum",671.747,"compassql_dfs","Open-Ended",19,182.561972537473,124.816662499851,258.192120221252,0.95,"mean","qi"
15,"movies","dziban","dfs","1. Find Extremum",124.763,"dziban_dfs","Focused",21,158.56756441638,106.154814315716,227.874150708272,0.95,"mean","qi"
15,"movies","dziban","dfs","1. Find Extremum",175.713,"dziban_dfs","Focused",22,158.56756441638,106.154814315716,227.874150708272,0.95,"mean","qi"
15,"movies","dziban","dfs","1. Find Extremum",804.142,"dziban_dfs","Open-Ended",23,158.56756441638,106.154814315716,227.874150708272,0.95,"mean","qi"
15,"movies","dziban","dfs","1. Find Extremum",860.832,"dziban_dfs","Open-Ended",24,158.56756441638,106.154814315716,227.874150708272,0.95,"mean","qi"
16,"birdstrikes","dziban","dfs","1. Find Extremum",152.353,"dziban_dfs","Focused",26,204.805724449785,135.194426753495,299.194649907422,0.95,"mean","qi"
16,"birdstrikes","dziban","dfs","1. Find Extremum",226.503,"dziban_dfs","Focused",25,204.805724449785,135.194426753495,299.194649907422,0.95,"mean","qi"
16,"birdstrikes","dziban","dfs","1. Find Extremum",413.259,"dziban_dfs","Open-Ended",27,204.805724449785,135.194426753495,299.194649907422,0.95,"mean","qi"
16,"birdstrikes","dziban","dfs","1. Find Extremum",1291.678,"dziban_dfs","Open-Ended",28,204.805724449785,135.194426753495,299.194649907422,0.95,"mean","qi"
17,"movies","compassql","dfs","1. Find Extremum",103.418,"compassql_dfs","Focused",30,182.561972537473,124.816662499851,258.192120221252,0.95,"mean","qi"
17,"movies","compassql","dfs","1. Find Extremum",158.68,"compassql_dfs","Focused",29,182.561972537473,124.816662499851,258.192120221252,0.95,"mean","qi"
