"dataset","oracle","search",".value",".lower",".upper",".width",".point",".interval"
"birdstrikes","compassql","bfs",5.90636888875358,5.66619924681112,6.14804650972126,0.95,"mean","qi"
"birdstrikes","compassql","dfs",6.05875679446444,5.80977849831385,6.31344766059135,0.95,"mean","qi"
"birdstrikes","dziban","bfs",5.92677949302956,5.66480884287118,6.19062241730051,0.95,"mean","qi"
"birdstrikes","dziban","dfs",5.92131893804862,5.66692355662458,6.17710210152033,0.95,"mean","qi"
"movies","compassql","bfs",5.85405001628603,5.60504777185534,6.10933992103404,0.95,"mean","qi"
"movies","compassql","dfs",5.93829497333543,5.69807340165123,6.17702676030004,0.95,"mean","qi"
"movies","dziban","bfs",5.97331555761288,5.72413607312064,6.22377246136834,0.95,"mean","qi"
"movies","dziban","dfs",5.83020814693652,5.58384162120619,6.08234605276089,0.95,"mean","qi"
"birdstrikes","compassql","bfs",5.90636888875358,5.82338727785305,5.99147991392313,0.5,"mean","qi"
"birdstrikes","compassql","dfs",6.05875679446444,5.97229396782831,6.14589739300346,0.5,"mean","qi"
"birdstrikes","dziban","bfs",5.92677949302956,5.83997416603405,6.01489509353437,0.5,"mean","qi"
"birdstrikes","dziban","dfs",5.92131893804862,5.83389693000125,6.00734180842623,0.5,"mean","qi"
"movies","compassql","bfs",5.85405001628603,5.76651415742208,5.93994372123905,0.5,"mean","qi"
"movies","compassql","dfs",5.93829497333543,5.85428322856723,6.02375673377747,0.5,"mean","qi"
"movies","dziban","bfs",5.97331555761288,5.889845779795,6.057736976669,0.5,"mean","qi"
"movies","dziban","dfs",5.83020814693652,5.74234698593495,5.91677263674678,0.5,"mean","qi"
