"x1","x2","x3",".value",".lower",".upper",".width",".point",".interval"
"1. Find Extremum","birdstrikes","compassql_bfs",0.618143834426405,0.131357262268514,1.10762371134963,0.95,"mean","qi"
"1. Find Extremum","birdstrikes","compassql_dfs",0.144256542385101,-0.435268729052896,0.722755968890578,0.95,"mean","qi"
"1. Find Extremum","birdstrikes","dziban_bfs",0.50542127671934,-0.0779508859497896,1.08312049431994,0.95,"mean","qi"
"1. Find Extremum","birdstrikes","dziban_dfs",0.354186125378907,-0.215376263999042,0.931808722660379,0.95,"mean","qi"
"1. Find Extremum","movies","compassql_bfs",0.558929927121453,0.0406565463385305,1.09673878137023,0.95,"mean","qi"
"1. Find Extremum","movies","compassql_dfs",0.319797909827117,-0.318096129316259,0.965450824878406,0.95,"mean","qi"
"1. Find Extremum","movies","dziban_bfs",0.539906579467633,-0.0674398405071622,1.15844218933739,0.95,"mean","qi"
"1. Find Extremum","movies","dziban_dfs",0.553785072598309,-0.0869281454328319,1.18036747796392,0.95,"mean","qi"
"2. Retrieve Value","birdstrikes","compassql_bfs",0.70328479162483,0.11903447529196,1.27306807443276,0.95,"mean","qi"
"2. Retrieve Value","birdstrikes","compassql_dfs",0.464698031422872,-0.232588375941551,1.15708621727759,0.95,"mean","qi"
"2. Retrieve Value","birdstrikes","dziban_bfs",0.547238708418329,-0.133398671580377,1.2365331036084,0.95,"mean","qi"
"2. Retrieve Value","birdstrikes","dziban_dfs",-0.0297654473374731,-0.701544008595321,0.659807013345342,0.95,"mean","qi"
"2. Retrieve Value","movies","compassql_bfs",0.648420289809772,0.0265327457011548,1.29218431122363,0.95,"mean","qi"
"2. Retrieve Value","movies","compassql_dfs",0.0705960065567139,-0.5608320352868,0.726613045782143,0.95,"mean","qi"
"2. Retrieve Value","movies","dziban_bfs",0.388704608455073,-0.287701362387307,1.06432272912712,0.95,"mean","qi"
"2. Retrieve Value","movies","dziban_dfs",0.565258571031733,-0.110353107709288,1.20786015338406,0.95,"mean","qi"
"3. Prediction","birdstrikes","compassql_bfs",0.85981323728116,0.261798385472479,1.43718663193267,0.95,"mean","qi"
"3. Prediction","birdstrikes","compassql_dfs",0.556229796339331,-0.13903135370426,1.23549522144476,0.95,"mean","qi"
"3. Prediction","birdstrikes","dziban_bfs",1.21562666831855,0.537013360640973,1.89760404428155,0.95,"mean","qi"
"3. Prediction","birdstrikes","dziban_dfs",0.68453522518782,0.0182800305425212,1.34128179428057,0.95,"mean","qi"
"3. Prediction","movies","compassql_bfs",0.348437223961646,-0.302329196379632,0.989228233639174,0.95,"mean","qi"
"3. Prediction","movies","compassql_dfs",0.357372538266387,-0.295668038336723,1.02894911474974,0.95,"mean","qi"
"3. Prediction","movies","dziban_bfs",0.756079299764261,0.10470589092809,1.38904336795143,0.95,"mean","qi"
"3. Prediction","movies","dziban_dfs",0.384282282869281,-0.257939535415526,1.0419534209968,0.95,"mean","qi"
"4. Exploration","birdstrikes","compassql_bfs",1.02862487478334,0.464300872598499,1.62917392524646,0.95,"mean","qi"
"4. Exploration","birdstrikes","compassql_dfs",0.348771670408966,-0.321631792226474,1.05116088087039,0.95,"mean","qi"
"4. Exploration","birdstrikes","dziban_bfs",1.3168990288924,0.627938414040272,2.0058165873738,0.95,"mean","qi"
"4. Exploration","birdstrikes","dziban_dfs",0.762361379335689,0.100416692341005,1.4580145297357,0.95,"mean","qi"
"4. Exploration","movies","compassql_bfs",0.655771015023049,0.0141835040622563,1.3208993797986,0.95,"mean","qi"
"4. Exploration","movies","compassql_dfs",0.462509985533002,-0.200320403474048,1.13984359025749,0.95,"mean","qi"
"4. Exploration","movies","dziban_bfs",0.671168826557041,0.0226024316763632,1.31406338655564,0.95,"mean","qi"
"4. Exploration","movies","dziban_dfs",1.07305720330401,0.412190069058365,1.7363845802113,0.95,"mean","qi"
"1. Find Extremum","birdstrikes","compassql_bfs",0.618143834426405,0.458169545414979,0.782451339291298,0.5,"mean","qi"
"1. Find Extremum","birdstrikes","compassql_dfs",0.144256542385101,-0.0569279552660389,0.347061919094454,0.5,"mean","qi"
"1. Find Extremum","birdstrikes","dziban_bfs",0.50542127671934,0.30805746556651,0.707754309026876,0.5,"mean","qi"
"1. Find Extremum","birdstrikes","dziban_dfs",0.354186125378907,0.149663864713574,0.55540388598122,0.5,"mean","qi"
"1. Find Extremum","movies","compassql_bfs",0.558929927121453,0.372714853942535,0.743787079447026,0.5,"mean","qi"
"1. Find Extremum","movies","compassql_dfs",0.319797909827117,0.107436832347851,0.530912961595523,0.5,"mean","qi"
"1. Find Extremum","movies","dziban_bfs",0.539906579467633,0.33224810673382,0.745982125498318,0.5,"mean","qi"
"1. Find Extremum","movies","dziban_dfs",0.553785072598309,0.351708590473071,0.761396098923582,0.5,"mean","qi"
"2. Retrieve Value","birdstrikes","compassql_bfs",0.70328479162483,0.501592759770149,0.902770504564498,0.5,"mean","qi"
"2. Retrieve Value","birdstrikes","compassql_dfs",0.464698031422872,0.23434352587248,0.696247576480874,0.5,"mean","qi"
"2. Retrieve Value","birdstrikes","dziban_bfs",0.547238708418329,0.308096774724457,0.785333096359734,0.5,"mean","qi"
"2. Retrieve Value","birdstrikes","dziban_dfs",-0.0297654473374731,-0.263581246548699,0.208471328643513,0.5,"mean","qi"
"2. Retrieve Value","movies","compassql_bfs",0.648420289809772,0.4277679685493,0.870170673334939,0.5,"mean","qi"
"2. Retrieve Value","movies","compassql_dfs",0.0705960065567139,-0.161360457707637,0.289259261152782,0.5,"mean","qi"
"2. Retrieve Value","movies","dziban_bfs",0.388704608455073,0.160710843043555,0.615750156851749,0.5,"mean","qi"
"2. Retrieve Value","movies","dziban_dfs",0.565258571031733,0.32813130265066,0.80117618925661,0.5,"mean","qi"
"3. Prediction","birdstrikes","compassql_bfs",0.85981323728116,0.661424836328817,1.05731123649926,0.5,"mean","qi"
"3. Prediction","birdstrikes","compassql_dfs",0.556229796339331,0.319393672913363,0.792481861787882,0.5,"mean","qi"
"3. Prediction","birdstrikes","dziban_bfs",1.21562666831855,0.984298962353805,1.44426024391056,0.5,"mean","qi"
"3. Prediction","birdstrikes","dziban_dfs",0.68453522518782,0.45701900974977,0.914878939272623,0.5,"mean","qi"
"3. Prediction","movies","compassql_bfs",0.348437223961646,0.130122342804748,0.570143835351336,0.5,"mean","qi"
"3. Prediction","movies","compassql_dfs",0.357372538266387,0.121701191242159,0.587118615107395,0.5,"mean","qi"
"3. Prediction","movies","dziban_bfs",0.756079299764261,0.528108234282778,0.988565513194256,0.5,"mean","qi"
"3. Prediction","movies","dziban_dfs",0.384282282869281,0.155385020299178,0.615963149073008,0.5,"mean","qi"
"4. Exploration","birdstrikes","compassql_bfs",1.02862487478334,0.821915835872153,1.22737594461877,0.5,"mean","qi"
"4. Exploration","birdstrikes","compassql_dfs",0.348771670408966,0.107569727740642,0.587644462749901,0.5,"mean","qi"
"4. Exploration","birdstrikes","dziban_bfs",1.3168990288924,1.09280032718447,1.54142167885982,0.5,"mean","qi"
"4. Exploration","birdstrikes","dziban_dfs",0.762361379335689,0.522900205823999,0.992805943806529,0.5,"mean","qi"
"4. Exploration","movies","compassql_bfs",0.655771015023049,0.427691254455333,0.882483418011834,0.5,"mean","qi"
"4. Exploration","movies","compassql_dfs",0.462509985533002,0.233041277513392,0.686741214662025,0.5,"mean","qi"
"4. Exploration","movies","dziban_bfs",0.671168826557041,0.447328225162011,0.902354586780687,0.5,"mean","qi"
"4. Exploration","movies","dziban_dfs",1.07305720330401,0.837902419310837,1.3014203725358,0.5,"mean","qi"
