"x1","x2","x3",".value",".lower",".upper",".width",".point",".interval"
"1. Find Extremum","compassql","bfs",0.581247688966216,0.163140461350196,0.998391348545979,0.95,"mean","qi"
"1. Find Extremum","compassql","dfs",0.259276339777533,-0.172933079818129,0.703032880276791,0.95,"mean","qi"
"1. Find Extremum","dziban","bfs",0.526876561875098,0.0841086672870812,0.970667856502847,0.95,"mean","qi"
"1. Find Extremum","dziban","dfs",0.428190907940198,-0.0248017964127673,0.878936232549622,0.95,"mean","qi"
"2. Retrieve Value","compassql","bfs",0.689034494172687,0.22595552019105,1.17284944880371,0.95,"mean","qi"
"2. Retrieve Value","compassql","dfs",0.26188416909456,-0.21803680602704,0.717391562571747,0.95,"mean","qi"
"2. Retrieve Value","dziban","bfs",0.475373433095066,-0.0124042778841909,0.964932776540757,0.95,"mean","qi"
"2. Retrieve Value","dziban","dfs",0.263798128865062,-0.228285036489538,0.767345938360342,0.95,"mean","qi"
"3. Prediction","compassql","bfs",0.626258898334505,0.134272840400628,1.10446156123352,0.95,"mean","qi"
"3. Prediction","compassql","dfs",0.430756338415097,-0.0397659362419732,0.894576580305149,0.95,"mean","qi"
"3. Prediction","dziban","bfs",0.941858535689733,0.452815961633824,1.43352536258192,0.95,"mean","qi"
"3. Prediction","dziban","dfs",0.563002561263076,0.0780658964387902,1.05051830546414,0.95,"mean","qi"
"4. Exploration","compassql","bfs",0.833135901796444,0.360623872286127,1.31377505627305,0.95,"mean","qi"
"4. Exploration","compassql","dfs",0.410351156441019,-0.052724091553021,0.87741482410564,0.95,"mean","qi"
"4. Exploration","dziban","bfs",0.992424925653447,0.510195455727129,1.46188887435114,0.95,"mean","qi"
"4. Exploration","dziban","dfs",0.921730219652959,0.422231689446947,1.40619922189117,0.95,"mean","qi"
"1. Find Extremum","compassql","bfs",0.581247688966216,0.433323194385957,0.725765683283818,0.5,"mean","qi"
"1. Find Extremum","compassql","dfs",0.259276339777533,0.112935644402832,0.41040929975114,0.5,"mean","qi"
"1. Find Extremum","dziban","bfs",0.526876561875098,0.37505883232661,0.677853272680927,0.5,"mean","qi"
"1. Find Extremum","dziban","dfs",0.428190907940198,0.273370082185289,0.588259621878665,0.5,"mean","qi"
"2. Retrieve Value","compassql","bfs",0.689034494172687,0.525859606618045,0.850299022896622,0.5,"mean","qi"
"2. Retrieve Value","compassql","dfs",0.26188416909456,0.0986398749234653,0.429536564515755,0.5,"mean","qi"
"2. Retrieve Value","dziban","bfs",0.475373433095066,0.3126702906566,0.630822755994344,0.5,"mean","qi"
"2. Retrieve Value","dziban","dfs",0.263798128865062,0.089769856596327,0.433382689069608,0.5,"mean","qi"
"3. Prediction","compassql","bfs",0.626258898334505,0.458421582700259,0.796379814103619,0.5,"mean","qi"
"3. Prediction","compassql","dfs",0.430756338415097,0.26638235182785,0.596231363381804,0.5,"mean","qi"
"3. Prediction","dziban","bfs",0.941858535689733,0.778581526600543,1.10169479164055,0.5,"mean","qi"
"3. Prediction","dziban","dfs",0.563002561263076,0.396843937065684,0.734147676965485,0.5,"mean","qi"
"4. Exploration","compassql","bfs",0.833135901796444,0.669338152100164,0.996650558510497,0.5,"mean","qi"
"4. Exploration","compassql","dfs",0.410351156441019,0.249017995304555,0.573103065156078,0.5,"mean","qi"
"4. Exploration","dziban","bfs",0.992424925653447,0.822550450885246,1.15966488564093,0.5,"mean","qi"
"4. Exploration","dziban","dfs",0.921730219652959,0.762464009407981,1.08705162631161,0.5,"mean","qi"
