"x1","x2","x3",".value",".lower",".upper",".width",".point",".interval"
"Focused","compassql","bfs",0.634370250082166,0.295662759270391,0.959901610883498,0.95,"mean","qi"
"Focused","compassql","dfs",0.256800684733183,-0.0742064293386926,0.596149491458868,0.95,"mean","qi"
"Focused","dziban","bfs",0.494980366347144,0.162059262441426,0.840254830151611,0.95,"mean","qi"
"Focused","dziban","dfs",0.348819791578445,-0.000415220831567253,0.686814495956158,0.95,"mean","qi"
"Open-Ended","compassql","bfs",0.726693792044871,0.385118580910959,1.07369159348989,0.95,"mean","qi"
"Open-Ended","compassql","dfs",0.4222952836791,0.0730787465288241,0.77176651297466,0.95,"mean","qi"
"Open-Ended","dziban","bfs",0.983220044960546,0.648010419885247,1.32596893543394,0.95,"mean","qi"
"Open-Ended","dziban","dfs",0.740620574551686,0.382799933782663,1.07719680257647,0.95,"mean","qi"
"Focused","compassql","bfs",0.634370250082166,0.517245302358019,0.754118380916281,0.5,"mean","qi"
"Focused","compassql","dfs",0.256800684733183,0.143737939001443,0.371737037036372,0.5,"mean","qi"
"Focused","dziban","bfs",0.494980366347144,0.381331467339581,0.610618518776122,0.5,"mean","qi"
"Focused","dziban","dfs",0.348819791578445,0.230926796526958,0.470266261414728,0.5,"mean","qi"
"Open-Ended","compassql","bfs",0.726693792044871,0.610110304267584,0.84413589752529,0.5,"mean","qi"
"Open-Ended","compassql","dfs",0.4222952836791,0.30315402050844,0.543464025066424,0.5,"mean","qi"
"Open-Ended","dziban","bfs",0.983220044960546,0.865492372873507,1.10145092311836,0.5,"mean","qi"
"Open-Ended","dziban","dfs",0.740620574551686,0.623464445863289,0.859204422416481,0.5,"mean","qi"
