"search","oracle","dataset",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","birdstrikes",0.635856366078556,0.359159339510304,0.860690195483356,0.95,"mean","qi"
"bfs","compassql","movies",0.678025171044763,0.422693132641653,0.881796073377082,0.95,"mean","qi"
"bfs","dziban","birdstrikes",0.78706299668547,0.552133988617071,0.937984972188394,0.95,"mean","qi"
"bfs","dziban","movies",0.816988536852837,0.604660977602105,0.949314549940314,0.95,"mean","qi"
"dfs","compassql","birdstrikes",0.716954977929292,0.454477979839156,0.902332246060455,0.95,"mean","qi"
"dfs","compassql","movies",0.75286906989276,0.518925907542323,0.922175911895739,0.95,"mean","qi"
"dfs","dziban","birdstrikes",0.644767167806193,0.379940738268731,0.865167983784734,0.95,"mean","qi"
"dfs","dziban","movies",0.68755958213515,0.440916254629447,0.878839834426471,0.95,"mean","qi"
"bfs","compassql","birdstrikes",0.635856366078556,0.546962418421056,0.73175687280616,0.5,"mean","qi"
"bfs","compassql","movies",0.678025171044763,0.599598418936794,0.767664273006069,0.5,"mean","qi"
"bfs","dziban","birdstrikes",0.78706299668547,0.729758341506672,0.862147653138052,0.5,"mean","qi"
"bfs","dziban","movies",0.816988536852837,0.766476649011901,0.882297909946916,0.5,"mean","qi"
"dfs","compassql","birdstrikes",0.716954977929292,0.64363469725978,0.801578330481938,0.5,"mean","qi"
"dfs","compassql","movies",0.75286906989276,0.68481913386462,0.83234553609127,0.5,"mean","qi"
"dfs","dziban","birdstrikes",0.644767167806193,0.556730905777955,0.739121869384352,0.5,"mean","qi"
"dfs","dziban","movies",0.68755958213515,0.613280899087185,0.772616331402131,0.5,"mean","qi"
