"search","oracle","dataset",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","birdstrikes",0.639755209987994,0.30329782357679,0.906942567063674,0.95,"mean","qi"
"bfs","compassql","movies",0.647777602125957,0.31523537068799,0.912537842051538,0.95,"mean","qi"
"bfs","dziban","birdstrikes",0.789716796514475,0.479033794247162,0.972410511305663,0.95,"mean","qi"
"bfs","dziban","movies",0.793207829361042,0.490798026328852,0.970520811886044,0.95,"mean","qi"
"dfs","compassql","birdstrikes",0.650908556612997,0.309431769717667,0.918911754202266,0.95,"mean","qi"
"dfs","compassql","movies",0.78679496922048,0.486947497332942,0.969062687134134,0.95,"mean","qi"
"dfs","dziban","birdstrikes",0.646106364992235,0.313502132224808,0.912889432140307,0.95,"mean","qi"
"dfs","dziban","movies",0.668945560890633,0.363286649249309,0.911600129105793,0.95,"mean","qi"
"bfs","compassql","birdstrikes",0.639755209987994,0.530893897654166,0.760170160893833,0.5,"mean","qi"
"bfs","compassql","movies",0.647777602125957,0.537014654338148,0.766620932876597,0.5,"mean","qi"
"bfs","dziban","birdstrikes",0.789716796514475,0.709606830288251,0.893772286794116,0.5,"mean","qi"
"bfs","dziban","movies",0.793207829361042,0.717197262613513,0.889347496158864,0.5,"mean","qi"
"dfs","compassql","birdstrikes",0.650908556612997,0.540922676605967,0.772435250957521,0.5,"mean","qi"
"dfs","compassql","movies",0.78679496922048,0.709840464469822,0.884742414004144,0.5,"mean","qi"
"dfs","dziban","birdstrikes",0.646106364992235,0.537443886904791,0.767879737676941,0.5,"mean","qi"
"dfs","dziban","movies",0.668945560890633,0.571623633794159,0.776221671676912,0.5,"mean","qi"
