"search","oracle","dataset",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","birdstrikes",0.785999884927818,0.454072324201151,0.973462171923115,0.95,"mean","qi"
"bfs","compassql","movies",0.503984094870171,0.172076186305367,0.823367664713171,0.95,"mean","qi"
"bfs","dziban","birdstrikes",0.784700244055515,0.460443794386815,0.975277843070021,0.95,"mean","qi"
"bfs","dziban","movies",0.662653723211783,0.345337671925141,0.918415910787279,0.95,"mean","qi"
"dfs","compassql","birdstrikes",0.787201448534936,0.470649323443786,0.971076027906957,0.95,"mean","qi"
"dfs","compassql","movies",0.785787759545928,0.495976075439623,0.967091496570061,0.95,"mean","qi"
"dfs","dziban","birdstrikes",0.637357149178851,0.305349056569128,0.908431336743843,0.95,"mean","qi"
"dfs","dziban","movies",0.661466069285647,0.34162502649714,0.912849229465602,0.95,"mean","qi"
"bfs","compassql","birdstrikes",0.785999884927818,0.706449431676631,0.892179858322696,0.5,"mean","qi"
"bfs","compassql","movies",0.503984094870171,0.377765009657288,0.629252002817745,0.5,"mean","qi"
"bfs","dziban","birdstrikes",0.784700244055515,0.701650492233263,0.892344472238815,0.5,"mean","qi"
"bfs","dziban","movies",0.662653723211783,0.560156872624669,0.77486191115127,0.5,"mean","qi"
"dfs","compassql","birdstrikes",0.787201448534936,0.705690360378992,0.894363144712031,0.5,"mean","qi"
"dfs","compassql","movies",0.785787759545928,0.709332004498799,0.884394105812136,0.5,"mean","qi"
"dfs","dziban","birdstrikes",0.637357149178851,0.521554341236221,0.759786182728631,0.5,"mean","qi"
"dfs","dziban","movies",0.661466069285647,0.561121445305559,0.773001745706759,0.5,"mean","qi"
