"search","oracle","dataset",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","birdstrikes",88.4925795295496,70.5933017663455,106.465442826074,0.95,"mean","qi"
"bfs","compassql","movies",94.5655409285657,75.3657166085533,114.064158165819,0.95,"mean","qi"
"bfs","dziban","birdstrikes",86.4833497813034,66.719550937741,105.9803975499,0.95,"mean","qi"
"bfs","dziban","movies",93.4196192313967,75.0703851965862,111.751638069571,0.95,"mean","qi"
"dfs","compassql","birdstrikes",37.3929080725889,17.5473174218973,56.7154802577494,0.95,"mean","qi"
"dfs","compassql","movies",46.8294881081048,29.3392113385497,64.2859935678385,0.95,"mean","qi"
"dfs","dziban","birdstrikes",71.0275428593681,52.4030808420953,89.6736168933678,0.95,"mean","qi"
"dfs","dziban","movies",94.6215119992811,76.3883803813077,112.710063574428,0.95,"mean","qi"
"bfs","compassql","birdstrikes",88.4925795295496,82.3467893444181,94.6789918429089,0.5,"mean","qi"
"bfs","compassql","movies",94.5655409285657,87.7453320700699,101.335599062817,0.5,"mean","qi"
"bfs","dziban","birdstrikes",86.4833497813034,79.9818825629032,92.9756185451763,0.5,"mean","qi"
"bfs","dziban","movies",93.4196192313967,87.2000666537458,99.5300409837851,0.5,"mean","qi"
"dfs","compassql","birdstrikes",37.3929080725889,30.8742763890018,44.110848856387,0.5,"mean","qi"
"dfs","compassql","movies",46.8294881081048,40.3649712719562,53.1882207075986,0.5,"mean","qi"
"dfs","dziban","birdstrikes",71.0275428593681,64.6371856846685,77.4783732900691,0.5,"mean","qi"
"dfs","dziban","movies",94.6215119992811,88.4230615071444,100.710704910294,0.5,"mean","qi"
