"search","oracle","dataset",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","birdstrikes",76.6883067076341,63.9092626941844,88.802661427078,0.95,"mean","qi"
"bfs","compassql","movies",89.841364097707,77.2140197080599,102.965445393165,0.95,"mean","qi"
"bfs","dziban","birdstrikes",78.2334651531651,65.0311186792448,90.9279626502617,0.95,"mean","qi"
"bfs","dziban","movies",91.386522543238,78.829784708027,103.991157939579,0.95,"mean","qi"
"dfs","compassql","birdstrikes",50.5132513020128,37.8621895178386,63.5038550906959,0.95,"mean","qi"
"dfs","compassql","movies",63.6663086920857,50.8158736716675,76.3260117664541,0.95,"mean","qi"
"dfs","dziban","birdstrikes",75.233399953247,62.7980326328839,88.3979190670073,0.95,"mean","qi"
"dfs","dziban","movies",88.3864573433199,75.6087695530023,101.117321776256,0.95,"mean","qi"
"bfs","compassql","birdstrikes",76.6883067076341,72.3049279305234,81.0696734057285,0.5,"mean","qi"
"bfs","compassql","movies",89.841364097707,85.3266087093848,94.1832188632164,0.5,"mean","qi"
"bfs","dziban","birdstrikes",78.2334651531651,73.9543957705454,82.7291704135547,0.5,"mean","qi"
"bfs","dziban","movies",91.386522543238,87.1300414933618,95.6966233985307,0.5,"mean","qi"
"dfs","compassql","birdstrikes",50.5132513020128,46.1687474392428,54.843027789,0.5,"mean","qi"
"dfs","compassql","movies",63.6663086920857,59.3064502807093,68.030725699138,0.5,"mean","qi"
"dfs","dziban","birdstrikes",75.233399953247,70.7419365006878,79.5902207637487,0.5,"mean","qi"
"dfs","dziban","movies",88.3864573433199,83.9171166108175,92.7187991488748,0.5,"mean","qi"
