"search","oracle","task","participant_group",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","3. Prediction","professional",65.2976416759944,46.9080188008296,83.2455848776976,0.95,"mean","qi"
"bfs","compassql","3. Prediction","student",70.807318883909,53.6381229679692,88.573755182157,0.95,"mean","qi"
"bfs","compassql","4. Exploration","professional",78.3043576030946,60.1285508314734,96.5817594973933,0.95,"mean","qi"
"bfs","compassql","4. Exploration","student",83.8140348110092,66.2445458568017,101.843746405181,0.95,"mean","qi"
"bfs","dziban","3. Prediction","professional",67.1254548010249,48.5700441334298,84.1334353620803,0.95,"mean","qi"
"bfs","dziban","3. Prediction","student",71.6615737583975,54.3016780249604,89.0482749404854,0.95,"mean","qi"
"bfs","dziban","4. Exploration","professional",80.132170728125,61.584810841578,97.2948408215882,0.95,"mean","qi"
"bfs","dziban","4. Exploration","student",84.6682896854976,67.1980962205779,101.981526964173,0.95,"mean","qi"
"dfs","compassql","3. Prediction","professional",41.3613238062248,23.0442239194228,58.0464475802594,0.95,"mean","qi"
"dfs","compassql","3. Prediction","student",45.8974427635974,28.8091970126859,62.9706158690845,0.95,"mean","qi"
"dfs","compassql","4. Exploration","professional",54.3680397333249,36.0399607435677,71.3287001290328,0.95,"mean","qi"
"dfs","compassql","4. Exploration","student",58.9041586906975,41.6130785361606,76.1504349670464,0.95,"mean","qi"
"dfs","dziban","3. Prediction","professional",63.7504511237472,45.0483735354011,82.1211796165812,0.95,"mean","qi"
"dfs","dziban","3. Prediction","student",69.2601283316618,52.0644159944642,86.7472398886743,0.95,"mean","qi"
"dfs","dziban","4. Exploration","professional",76.7571670508473,58.4897302340663,94.9421301901391,0.95,"mean","qi"
"dfs","dziban","4. Exploration","student",82.2668442587619,65.2375955624896,99.5249230212555,0.95,"mean","qi"
"bfs","compassql","3. Prediction","professional",65.2976416759944,58.0939282339046,72.5981731779398,0.5,"mean","qi"
"bfs","compassql","3. Prediction","student",70.807318883909,63.660027973069,77.854384325928,0.5,"mean","qi"
"bfs","compassql","4. Exploration","professional",78.3043576030946,71.1250713553403,85.6191798585824,0.5,"mean","qi"
"bfs","compassql","4. Exploration","student",83.8140348110092,76.7368656129153,90.9669364640004,0.5,"mean","qi"
"bfs","dziban","3. Prediction","professional",67.1254548010249,60.1282480706747,74.1674133736095,0.5,"mean","qi"
"bfs","dziban","3. Prediction","student",71.6615737583975,64.6277434384908,78.7028277605971,0.5,"mean","qi"
"bfs","dziban","4. Exploration","professional",80.132170728125,73.2331737376815,87.2134477262915,0.5,"mean","qi"
"bfs","dziban","4. Exploration","student",84.6682896854976,77.629884671351,91.8614536626458,0.5,"mean","qi"
"dfs","compassql","3. Prediction","professional",41.3613238062248,34.5736570595016,48.4044149122646,0.5,"mean","qi"
"dfs","compassql","3. Prediction","student",45.8974427635974,38.9519164134055,52.948526297484,0.5,"mean","qi"
"dfs","compassql","4. Exploration","professional",54.3680397333249,47.5459269069578,61.3344821532512,0.5,"mean","qi"
"dfs","compassql","4. Exploration","student",58.9041586906975,51.9480146430104,66.0705162913176,0.5,"mean","qi"
"dfs","dziban","3. Prediction","professional",63.7504511237472,56.5317517436561,70.9882404778853,0.5,"mean","qi"
"dfs","dziban","3. Prediction","student",69.2601283316618,62.2116909384945,76.2470661707046,0.5,"mean","qi"
"dfs","dziban","4. Exploration","professional",76.7571670508473,69.6025171707897,83.9850593482611,0.5,"mean","qi"
"dfs","dziban","4. Exploration","student",82.2668442587619,75.1742352785217,89.4121972432089,0.5,"mean","qi"
