"search","oracle","task",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","3. Prediction",69.3060950365982,52.6670154874676,86.8866387074716,0.95,"mean","qi"
"bfs","compassql","4. Exploration",82.7087551815891,65.9904021851815,100.417499595719,0.95,"mean","qi"
"bfs","dziban","3. Prediction",71.8142757018708,54.1132021973634,88.6917373876608,0.95,"mean","qi"
"bfs","dziban","4. Exploration",85.2169358468617,67.6136176712902,102.009881648744,0.95,"mean","qi"
"dfs","compassql","3. Prediction",43.8581866648406,26.6254162913511,60.6656525573718,0.95,"mean","qi"
"dfs","compassql","4. Exploration",57.2608468098315,39.6722726891347,74.0807196168743,0.95,"mean","qi"
"dfs","dziban","3. Prediction",68.6186215929577,50.9899676613344,85.5767196227724,0.95,"mean","qi"
"dfs","dziban","4. Exploration",82.0212817379486,64.7826095498344,98.8276159547672,0.95,"mean","qi"
"bfs","compassql","3. Prediction",69.3060950365982,62.3539985848766,76.2130195221692,0.5,"mean","qi"
"bfs","compassql","4. Exploration",82.7087551815891,75.7692259518963,89.5322136283114,0.5,"mean","qi"
"bfs","dziban","3. Prediction",71.8142757018708,64.9308795504205,78.5683139504716,0.5,"mean","qi"
"bfs","dziban","4. Exploration",85.2169358468617,78.3442684620503,92.1329367177086,0.5,"mean","qi"
"dfs","compassql","3. Prediction",43.8581866648406,37.0599760916642,50.8075847185725,0.5,"mean","qi"
"dfs","compassql","4. Exploration",57.2608468098315,50.3756603997455,64.1745142844864,0.5,"mean","qi"
"dfs","dziban","3. Prediction",68.6186215929577,61.8243117639823,75.4301589652209,0.5,"mean","qi"
"dfs","dziban","4. Exploration",82.0212817379486,75.1620752825531,88.8585342033483,0.5,"mean","qi"
