"search","oracle","dataset",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","birdstrikes",69.8867316766634,52.9612650711725,87.1370256098515,0.95,"mean","qi"
"bfs","compassql","movies",83.0025033175852,65.2862654419507,100.577528563179,0.95,"mean","qi"
"bfs","dziban","birdstrikes",71.5205275658747,53.8402088698669,89.0200219522004,0.95,"mean","qi"
"bfs","dziban","movies",84.6362992067965,67.4296548007101,101.83339684878,0.95,"mean","qi"
"dfs","compassql","birdstrikes",43.5644385288445,26.4468952412498,60.5221902987552,0.95,"mean","qi"
"dfs","compassql","movies",56.6802101697662,39.3554273863721,73.7404709549702,0.95,"mean","qi"
"dfs","dziban","birdstrikes",68.3248734569615,50.801254727466,85.9105704980659,0.95,"mean","qi"
"dfs","dziban","movies",81.4406450978833,64.5872785054026,98.4845093993641,0.95,"mean","qi"
"bfs","compassql","birdstrikes",69.8867316766634,62.8609624256428,76.7501760185268,0.5,"mean","qi"
"bfs","compassql","movies",83.0025033175852,76.0730371845003,89.9441598243087,0.5,"mean","qi"
"bfs","dziban","birdstrikes",71.5205275658747,64.5127204085347,78.4490107492311,0.5,"mean","qi"
"bfs","dziban","movies",84.6362992067965,77.5172800589634,91.6620427277883,0.5,"mean","qi"
"dfs","compassql","birdstrikes",43.5644385288445,36.6171100889519,50.5505393795383,0.5,"mean","qi"
"dfs","compassql","movies",56.6802101697662,49.8378996441923,63.6470061595697,0.5,"mean","qi"
"dfs","dziban","birdstrikes",68.3248734569615,61.3400723318858,75.2277821274392,0.5,"mean","qi"
"dfs","dziban","movies",81.4406450978833,74.3500527891953,88.379422666288,0.5,"mean","qi"
