"search","oracle","dataset",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","birdstrikes",82.9058099309755,68.1084537637698,97.5326318745569,0.95,"mean","qi"
"bfs","compassql","movies",96.8894106734948,82.0358769390107,112.100001743448,0.95,"mean","qi"
"bfs","dziban","birdstrikes",91.9016341865779,75.9850110287769,107.607290742978,0.95,"mean","qi"
"bfs","dziban","movies",105.885234929097,90.9000937427437,121.235206861808,0.95,"mean","qi"
"dfs","compassql","birdstrikes",51.0368691873363,35.6229609631082,67.1918325096731,0.95,"mean","qi"
"dfs","compassql","movies",65.0204699298556,49.9397437493706,80.2380144910028,0.95,"mean","qi"
"dfs","dziban","birdstrikes",91.0075236839648,75.826738371364,106.945901585736,0.95,"mean","qi"
"dfs","dziban","movies",104.991124426484,89.1723042682269,120.634403411268,0.95,"mean","qi"
"bfs","compassql","birdstrikes",82.9058099309755,77.9922109928066,87.933466228721,0.5,"mean","qi"
"bfs","compassql","movies",96.8894106734948,91.6719563016732,102.239595969865,0.5,"mean","qi"
"bfs","dziban","birdstrikes",91.9016341865779,86.6830975090024,97.3613605419781,0.5,"mean","qi"
"bfs","dziban","movies",105.885234929097,100.788456491771,111.017409505773,0.5,"mean","qi"
"dfs","compassql","birdstrikes",51.0368691873363,45.8188461721254,56.1696449425868,0.5,"mean","qi"
"dfs","compassql","movies",65.0204699298556,59.8726080734217,70.2083546488654,0.5,"mean","qi"
"dfs","dziban","birdstrikes",91.0075236839648,85.7294585635929,96.1560634394334,0.5,"mean","qi"
"dfs","dziban","movies",104.991124426484,99.796361417041,110.306320894231,0.5,"mean","qi"
