"search","oracle","task","participant_group",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","3. Prediction","professional",68.7361058047086,48.9385543665368,90.0224634686695,0.95,"mean","qi"
"bfs","compassql","3. Prediction","student",75.5665881322297,55.9754719662974,95.3954400481698,0.95,"mean","qi"
"bfs","compassql","4. Exploration","professional",83.4075492358609,63.6200530136731,104.721358062096,0.95,"mean","qi"
"bfs","compassql","4. Exploration","student",90.238031563382,70.8275459954426,110.164755143586,0.95,"mean","qi"
"bfs","dziban","3. Prediction","professional",77.9375722982036,57.245756682439,97.6940741236196,0.95,"mean","qi"
"bfs","dziban","3. Prediction","student",82.7347557523064,62.8657950457864,102.315237172153,0.95,"mean","qi"
"bfs","dziban","4. Exploration","professional",92.6090157293558,72.1436811554572,112.787980242823,0.95,"mean","qi"
"bfs","dziban","4. Exploration","student",97.4061991834586,77.6535112464205,117.092279539931,0.95,"mean","qi"
"dfs","compassql","3. Prediction","professional",39.1062169525233,19.3381496837417,59.0900351935183,0.95,"mean","qi"
"dfs","compassql","3. Prediction","student",44.9200498433353,25.6484482989624,64.2210246672664,0.95,"mean","qi"
"dfs","compassql","4. Exploration","professional",53.7776603836756,34.0865830393316,73.7902493187093,0.95,"mean","qi"
"dfs","compassql","4. Exploration","student",59.5914932744876,40.5135401184197,78.6475602779921,0.95,"mean","qi"
"dfs","dziban","3. Prediction","professional",77.6120311214171,56.3713354729094,98.0588260874874,0.95,"mean","qi"
"dfs","dziban","3. Prediction","student",83.4258640122291,63.7996683598906,103.105730840502,0.95,"mean","qi"
"dfs","dziban","4. Exploration","professional",92.2834745525694,71.1014531294102,112.689431994613,0.95,"mean","qi"
"dfs","dziban","4. Exploration","student",98.0973074433814,78.1760280032649,117.383611578372,0.95,"mean","qi"
"bfs","compassql","3. Prediction","professional",68.7361058047086,61.0248214790472,76.3901558407964,0.5,"mean","qi"
"bfs","compassql","3. Prediction","student",75.5665881322297,67.8340873256459,83.1873194903895,0.5,"mean","qi"
"bfs","compassql","4. Exploration","professional",83.4075492358609,75.7216142018045,90.944805263395,0.5,"mean","qi"
"bfs","compassql","4. Exploration","student",90.238031563382,82.6643684905085,97.6442449151884,0.5,"mean","qi"
"bfs","dziban","3. Prediction","professional",77.9375722982036,70.3344481187937,85.5314142561385,0.5,"mean","qi"
"bfs","dziban","3. Prediction","student",82.7347557523064,75.1349540059013,90.4360566136027,0.5,"mean","qi"
"bfs","dziban","4. Exploration","professional",92.6090157293558,84.9658214067604,100.299202549031,0.5,"mean","qi"
"bfs","dziban","4. Exploration","student",97.4061991834586,89.8173163190385,104.913473032091,0.5,"mean","qi"
"dfs","compassql","3. Prediction","professional",39.1062169525233,31.5242944906231,46.7615200094818,0.5,"mean","qi"
"dfs","compassql","3. Prediction","student",44.9200498433353,37.4394563139035,52.5614095892136,0.5,"mean","qi"
"dfs","compassql","4. Exploration","professional",53.7776603836756,46.1186502502538,61.2053560402834,0.5,"mean","qi"
"dfs","compassql","4. Exploration","student",59.5914932744876,52.0379608560329,67.1237895410067,0.5,"mean","qi"
"dfs","dziban","3. Prediction","professional",77.6120311214171,69.993417126784,85.5556283887244,0.5,"mean","qi"
"dfs","dziban","3. Prediction","student",83.4258640122291,75.6287690091953,91.1930566520741,0.5,"mean","qi"
"dfs","dziban","4. Exploration","professional",92.2834745525694,84.7634483086888,100.099557959493,0.5,"mean","qi"
"dfs","dziban","4. Exploration","student",98.0973074433814,90.4617370580894,105.801065274563,0.5,"mean","qi"
