"search","oracle","task",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","3. Prediction",73.5749001942094,53.6833645761152,94.0968640038388,0.95,"mean","qi"
"bfs","compassql","4. Exploration",89.6057406565229,70.7017166733103,110.430453664192,0.95,"mean","qi"
"bfs","dziban","3. Prediction",82.6180743005483,62.3205195524342,102.570774241486,0.95,"mean","qi"
"bfs","dziban","4. Exploration",98.6489147628618,78.408532238768,117.632596441161,0.95,"mean","qi"
"dfs","compassql","3. Prediction",42.2630754274924,22.4669952159443,61.6152593143742,0.95,"mean","qi"
"dfs","compassql","4. Exploration",58.2939158898059,37.8270748626874,77.8611371094298,0.95,"mean","qi"
"dfs","dziban","3. Prediction",82.558907932342,61.8886709238838,102.421738906307,0.95,"mean","qi"
"dfs","dziban","4. Exploration",98.5897483946555,78.5773454632469,118.677123720581,0.95,"mean","qi"
"bfs","compassql","3. Prediction",73.5749001942094,66.0008346145333,81.1159123689432,0.5,"mean","qi"
"bfs","compassql","4. Exploration",89.6057406565229,81.9129748441601,97.1049196955578,0.5,"mean","qi"
"bfs","dziban","3. Prediction",82.6180743005483,74.9218777048273,90.2173641548789,0.5,"mean","qi"
"bfs","dziban","4. Exploration",98.6489147628618,91.0113331590536,106.368706017181,0.5,"mean","qi"
"dfs","compassql","3. Prediction",42.2630754274924,34.6296312622201,49.9422419783548,0.5,"mean","qi"
"dfs","compassql","4. Exploration",58.2939158898059,50.7285939720708,65.9606729822583,0.5,"mean","qi"
"dfs","dziban","3. Prediction",82.558907932342,75.0346011339949,90.2215807977053,0.5,"mean","qi"
"dfs","dziban","4. Exploration",98.5897483946555,90.9601200549176,105.986028374675,0.5,"mean","qi"
