"search","oracle","dataset",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","birdstrikes",75.0156603021435,54.0354680628462,95.6553436211142,0.95,"mean","qi"
"bfs","compassql","movies",89.1042177090492,67.8410566104094,110.69514535762,0.95,"mean","qi"
"bfs","dziban","birdstrikes",83.119597248022,62.1031177775205,104.32274387976,0.95,"mean","qi"
"bfs","dziban","movies",97.2081546549277,76.473040053704,117.460126733751,0.95,"mean","qi"
"dfs","compassql","birdstrikes",42.7645983749661,22.0906803937678,63.5872371931444,0.95,"mean","qi"
"dfs","compassql","movies",56.8531557818719,36.0922283057494,77.6211742368038,0.95,"mean","qi"
"dfs","dziban","birdstrikes",83.0604308798157,61.7122020532678,103.897346653042,0.95,"mean","qi"
"dfs","dziban","movies",97.1489882867215,76.1750635110111,118.423707236027,0.95,"mean","qi"
"bfs","compassql","birdstrikes",75.0156603021435,66.7896046420999,83.2444020373222,0.5,"mean","qi"
"bfs","compassql","movies",89.1042177090492,80.6685562915476,97.5118754886333,0.5,"mean","qi"
"bfs","dziban","birdstrikes",83.119597248022,74.5768721864747,91.4717498432454,0.5,"mean","qi"
"bfs","dziban","movies",97.2081546549277,88.8369420626457,105.662848507005,0.5,"mean","qi"
"dfs","compassql","birdstrikes",42.7645983749661,34.2911353511072,51.2909659842112,0.5,"mean","qi"
"dfs","compassql","movies",56.8531557818719,48.496880145936,65.2795547713083,0.5,"mean","qi"
"dfs","dziban","birdstrikes",83.0604308798157,74.5980842637587,91.408583829982,0.5,"mean","qi"
"dfs","dziban","movies",97.1489882867215,88.8222158339711,105.429729178842,0.5,"mean","qi"
