"search","oracle","dataset",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","birdstrikes",24.6237966205844,17.3606171060635,32.0630508572422,0.95,"mean","qi"
"bfs","compassql","movies",28.3273194475477,20.1367434994313,36.2164571252738,0.95,"mean","qi"
"bfs","dziban","birdstrikes",23.9297072969146,16.01249285169,31.7949924173135,0.95,"mean","qi"
"bfs","dziban","movies",30.24073950455,23.0167840166703,37.3186473275981,0.95,"mean","qi"
"dfs","compassql","birdstrikes",19.2958572671164,11.0549821016442,26.8285654645861,0.95,"mean","qi"
"dfs","compassql","movies",19.6384818208688,12.2749632775474,26.7345420009462,0.95,"mean","qi"
"dfs","dziban","birdstrikes",25.8710627832525,17.9241302338655,34.0260169058367,0.95,"mean","qi"
"dfs","dziban","movies",24.4088100960982,16.8482859699882,31.6986927287128,0.95,"mean","qi"
"bfs","compassql","birdstrikes",24.6237966205844,22.1436450765274,27.1090998241447,0.5,"mean","qi"
"bfs","compassql","movies",28.3273194475477,25.5701844011985,31.0541783467508,0.5,"mean","qi"
"bfs","dziban","birdstrikes",23.9297072969146,21.3726831292831,26.6312902768382,0.5,"mean","qi"
"bfs","dziban","movies",30.24073950455,27.7934104940202,32.6097664582071,0.5,"mean","qi"
"dfs","compassql","birdstrikes",19.2958572671164,16.6335118162149,22.0603720616894,0.5,"mean","qi"
"dfs","compassql","movies",19.6384818208688,17.2787066615078,22.0156673592771,0.5,"mean","qi"
"dfs","dziban","birdstrikes",25.8710627832525,23.0711826379298,28.6728912547975,0.5,"mean","qi"
"dfs","dziban","movies",24.4088100960982,21.9581665691425,26.9404829277229,0.5,"mean","qi"
