"search","oracle","task","participant_group",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","3. Prediction","professional",67.9653299451361,52.1495194739442,83.9638550705429,0.95,"mean","qi"
"bfs","compassql","3. Prediction","student",70.3996295136191,55.7339068867597,85.8484794876737,0.95,"mean","qi"
"bfs","compassql","4. Exploration","professional",81.0504048656701,65.546418468839,96.45121218343,0.95,"mean","qi"
"bfs","compassql","4. Exploration","student",83.4847044341532,68.3543965236811,99.0230513922755,0.95,"mean","qi"
"bfs","dziban","3. Prediction","professional",68.0998167665405,50.7394512224699,84.4624772805446,0.95,"mean","qi"
"bfs","dziban","3. Prediction","student",69.7966700845643,53.4617070377091,86.8220695241749,0.95,"mean","qi"
"bfs","dziban","4. Exploration","professional",81.1848916870746,63.8851104080206,97.9808968321976,0.95,"mean","qi"
"bfs","dziban","4. Exploration","student",82.8817450050984,66.1738492254514,99.9646461369492,0.95,"mean","qi"
"dfs","compassql","3. Prediction","professional",43.1748582194432,26.782707748822,58.4420628824128,0.95,"mean","qi"
"dfs","compassql","3. Prediction","student",44.871711537467,30.0672103228982,59.8787112734707,0.95,"mean","qi"
"dfs","compassql","4. Exploration","professional",56.2599331399773,39.9506929686963,71.6583320767027,0.95,"mean","qi"
"dfs","compassql","4. Exploration","student",57.956786458001,42.8082486516755,73.2037790343955,0.95,"mean","qi"
"dfs","dziban","3. Prediction","professional",64.5421680618572,45.3845818232202,84.2718311322777,0.95,"mean","qi"
"dfs","dziban","3. Prediction","student",66.9764676303403,48.4981636907508,86.1166282594683,0.95,"mean","qi"
"dfs","dziban","4. Exploration","professional",77.6272429823913,58.4031297245465,97.1517666594433,0.95,"mean","qi"
"dfs","dziban","4. Exploration","student",80.0615425508744,61.1213588212583,98.8498820827136,0.95,"mean","qi"
"bfs","compassql","3. Prediction","professional",67.9653299451361,62.0988807826456,73.8308602973021,0.5,"mean","qi"
"bfs","compassql","3. Prediction","student",70.3996295136191,64.6048671391793,75.9969791553834,0.5,"mean","qi"
"bfs","compassql","4. Exploration","professional",81.0504048656701,75.2038229496248,86.9982674931605,0.5,"mean","qi"
"bfs","compassql","4. Exploration","student",83.4847044341532,77.7070512611737,89.1620955842296,0.5,"mean","qi"
"bfs","dziban","3. Prediction","professional",68.0998167665405,61.8702808063841,74.2432674735452,0.5,"mean","qi"
"bfs","dziban","3. Prediction","student",69.7966700845643,63.5459614564448,75.8040156365423,0.5,"mean","qi"
"bfs","dziban","4. Exploration","professional",81.1848916870746,75.0363957574149,87.411392156631,0.5,"mean","qi"
"bfs","dziban","4. Exploration","student",82.8817450050984,76.6061840924404,88.9860115443783,0.5,"mean","qi"
"dfs","compassql","3. Prediction","professional",43.1748582194432,37.3729710719192,49.1947365219376,0.5,"mean","qi"
"dfs","compassql","3. Prediction","student",44.871711537467,39.0892210418674,50.6539990069961,0.5,"mean","qi"
"dfs","compassql","4. Exploration","professional",56.2599331399773,50.5238960153029,62.1460708873551,0.5,"mean","qi"
"dfs","compassql","4. Exploration","student",57.956786458001,52.1173926203933,63.6127532904721,0.5,"mean","qi"
"dfs","dziban","3. Prediction","professional",64.5421680618572,57.597739942726,71.4056599187296,0.5,"mean","qi"
"dfs","dziban","3. Prediction","student",66.9764676303403,60.2247219272592,73.7505453043806,0.5,"mean","qi"
"dfs","dziban","4. Exploration","professional",77.6272429823913,70.658188070198,84.5730918914928,0.5,"mean","qi"
"dfs","dziban","4. Exploration","student",80.0615425508744,73.3907224828349,86.9726350040545,0.5,"mean","qi"
