"search","oracle","task","participant_group",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","3. Prediction","professional",71.7323845409847,54.1406348805218,90.0968096435146,0.95,"mean","qi"
"bfs","compassql","3. Prediction","student",74.0069286293285,57.3488596667669,91.625360733616,0.95,"mean","qi"
"bfs","compassql","4. Exploration","professional",87.3346260672748,69.8149670788193,105.6183719326,0.95,"mean","qi"
"bfs","compassql","4. Exploration","student",89.6091701556186,73.3876350556852,106.83953358428,0.95,"mean","qi"
"bfs","dziban","3. Prediction","professional",78.631040595058,58.6076636769503,98.2652807107994,0.95,"mean","qi"
"bfs","dziban","3. Prediction","student",80.1523147653726,60.3047172382801,99.5470561643773,0.95,"mean","qi"
"bfs","dziban","4. Exploration","professional",94.2332821213481,74.1460571252909,113.719633013034,0.95,"mean","qi"
"bfs","dziban","4. Exploration","student",95.7545562916627,76.4313239733968,115.478492195199,0.95,"mean","qi"
"dfs","compassql","3. Prediction","professional",41.7382798837352,23.4300710786708,58.9831886360529,0.95,"mean","qi"
"dfs","compassql","3. Prediction","student",43.2595540540498,25.8945032184611,60.5571942533728,0.95,"mean","qi"
"dfs","compassql","4. Exploration","professional",57.3405214100252,39.4743693731354,74.0424901255645,0.95,"mean","qi"
"dfs","compassql","4. Exploration","student",58.8617955803399,42.3121643735113,75.8003586107959,0.95,"mean","qi"
"dfs","dziban","3. Prediction","professional",78.4779920322855,54.7714068718853,102.035076638632,0.95,"mean","qi"
"dfs","dziban","3. Prediction","student",80.7525361206293,57.5515714744502,103.040197862733,0.95,"mean","qi"
"dfs","dziban","4. Exploration","professional",94.0802335585756,70.4168030793115,117.364741887856,0.95,"mean","qi"
"dfs","dziban","4. Exploration","student",96.3547776469193,72.7746820136476,118.548608566401,0.95,"mean","qi"
"bfs","compassql","3. Prediction","professional",71.7323845409847,65.261357582289,78.0194820405579,0.5,"mean","qi"
"bfs","compassql","3. Prediction","student",74.0069286293285,67.7642625217041,79.9772569626347,0.5,"mean","qi"
"bfs","compassql","4. Exploration","professional",87.3346260672748,80.9214809213495,93.651177720842,0.5,"mean","qi"
"bfs","compassql","4. Exploration","student",89.6091701556186,83.355459201155,95.6803015626636,0.5,"mean","qi"
"bfs","dziban","3. Prediction","professional",78.631040595058,71.4209938837737,85.8220341126461,0.5,"mean","qi"
"bfs","dziban","3. Prediction","student",80.1523147653726,73.2533296450977,87.1478103945668,0.5,"mean","qi"
"bfs","dziban","4. Exploration","professional",94.2332821213481,87.1011800011708,101.447140203791,0.5,"mean","qi"
"bfs","dziban","4. Exploration","student",95.7545562916627,88.8186331543262,102.736307677222,0.5,"mean","qi"
"dfs","compassql","3. Prediction","professional",41.7382798837352,35.6208809086336,47.9492237054169,0.5,"mean","qi"
"dfs","compassql","3. Prediction","student",43.2595540540498,37.0687766954796,49.4134117597348,0.5,"mean","qi"
"dfs","compassql","4. Exploration","professional",57.3405214100252,51.287299637961,63.6978296047557,0.5,"mean","qi"
"dfs","compassql","4. Exploration","student",58.8617955803399,52.6925041770588,65.0793501092512,0.5,"mean","qi"
"dfs","dziban","3. Prediction","professional",78.4779920322855,70.3932387276957,86.7090982173699,0.5,"mean","qi"
"dfs","dziban","3. Prediction","student",80.7525361206293,73.1217698936555,88.7005123135019,0.5,"mean","qi"
"dfs","dziban","4. Exploration","professional",94.0802335585756,86.174562117894,102.145788817998,0.5,"mean","qi"
"dfs","dziban","4. Exploration","student",96.3547776469193,88.7585192453522,104.223915253567,0.5,"mean","qi"
