"search","oracle","task","participant_group",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","3. Prediction","professional",22.2804861908747,15.6781974607086,28.9106504978435,0.95,"mean","qi"
"bfs","compassql","3. Prediction","student",22.0668526269991,15.9285793764136,28.3819450095588,0.95,"mean","qi"
"bfs","compassql","4. Exploration","professional",24.1768171362653,17.6720443111979,30.8691075832324,0.95,"mean","qi"
"bfs","compassql","4. Exploration","student",23.9631835723897,17.7906413747329,30.2121276577364,0.95,"mean","qi"
"bfs","dziban","3. Prediction","professional",23.206268745919,16.5378278662121,29.5019925135438,0.95,"mean","qi"
"bfs","dziban","3. Prediction","student",22.7377714577962,16.5657266926078,29.0207117249839,0.95,"mean","qi"
"bfs","dziban","4. Exploration","professional",25.1025996913096,18.3361845299815,31.3656208347994,0.95,"mean","qi"
"bfs","dziban","4. Exploration","student",24.6341024031868,18.5201491939745,30.8120510731442,0.95,"mean","qi"
"dfs","compassql","3. Prediction","professional",21.4902207443951,14.8866206763856,27.8392079321834,0.95,"mean","qi"
"dfs","compassql","3. Prediction","student",21.0217234562723,14.7751126494259,27.3074563106286,0.95,"mean","qi"
"dfs","compassql","4. Exploration","professional",23.3865516897857,16.7810636982262,29.5317138146329,0.95,"mean","qi"
"dfs","compassql","4. Exploration","student",22.9180544016629,16.7365527369352,29.1357493568184,0.95,"mean","qi"
"dfs","dziban","3. Prediction","professional",22.9758976054509,16.3410229366766,29.6086999563428,0.95,"mean","qi"
"dfs","dziban","3. Prediction","student",22.7622640415753,16.5446009251386,29.0289725088202,0.95,"mean","qi"
"dfs","dziban","4. Exploration","professional",24.8722285508415,18.2059122430801,31.5735038826854,0.95,"mean","qi"
"dfs","dziban","4. Exploration","student",24.6585949869659,18.4770536784935,30.9840283691769,0.95,"mean","qi"
"bfs","compassql","3. Prediction","professional",22.2804861908747,19.907213999671,24.6590796864171,0.5,"mean","qi"
"bfs","compassql","3. Prediction","student",22.0668526269991,19.8646783035355,24.2912949783391,0.5,"mean","qi"
"bfs","compassql","4. Exploration","professional",24.1768171362653,21.7578659794779,26.5180254551905,0.5,"mean","qi"
"bfs","compassql","4. Exploration","student",23.9631835723897,21.7098825869995,26.2130591629828,0.5,"mean","qi"
"bfs","dziban","3. Prediction","professional",23.206268745919,20.9483980936842,25.5030560184493,0.5,"mean","qi"
"bfs","dziban","3. Prediction","student",22.7377714577962,20.4931859711542,24.9516169772046,0.5,"mean","qi"
"bfs","dziban","4. Exploration","professional",25.1025996913096,22.8686908505183,27.3960512326843,0.5,"mean","qi"
"bfs","dziban","4. Exploration","student",24.6341024031868,22.4772805534437,26.8048247565285,0.5,"mean","qi"
"dfs","compassql","3. Prediction","professional",21.4902207443951,19.2011305524317,23.7725849597755,0.5,"mean","qi"
"dfs","compassql","3. Prediction","student",21.0217234562723,18.8059151238412,23.2452836510384,0.5,"mean","qi"
"dfs","compassql","4. Exploration","professional",23.3865516897857,21.1065524905551,25.7374546604087,0.5,"mean","qi"
"dfs","compassql","4. Exploration","student",22.9180544016629,20.6808061837645,25.1895199763782,0.5,"mean","qi"
"dfs","dziban","3. Prediction","professional",22.9758976054509,20.6732979621474,25.2676563714561,0.5,"mean","qi"
"dfs","dziban","3. Prediction","student",22.7622640415753,20.4783840696949,24.9824413152235,0.5,"mean","qi"
"dfs","dziban","4. Exploration","professional",24.8722285508415,22.5038848015952,27.2320003924317,0.5,"mean","qi"
"dfs","dziban","4. Exploration","student",24.6585949869659,22.3797762139663,26.9120074332261,0.5,"mean","qi"
