"search","oracle","task","participant_group",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","3. Prediction","professional",24.0292201380823,17.3637792163062,31.1183786749865,0.95,"mean","qi"
"bfs","compassql","3. Prediction","student",23.1545976984301,16.8142165982934,29.9190233813236,0.95,"mean","qi"
"bfs","compassql","4. Exploration","professional",25.7453437643431,19.036361465786,33.0906541353337,0.95,"mean","qi"
"bfs","compassql","4. Exploration","student",24.8707213246909,18.5750443479831,31.7375368312093,0.95,"mean","qi"
"bfs","dziban","3. Prediction","professional",24.9584424363355,17.6967120098064,32.3565219419129,0.95,"mean","qi"
"bfs","dziban","3. Prediction","student",23.7964631268647,16.7248166059879,31.1866578465572,0.95,"mean","qi"
"bfs","dziban","4. Exploration","professional",26.6745660625964,19.3237597950232,33.964043012204,0.95,"mean","qi"
"bfs","dziban","4. Exploration","student",25.5125867531255,18.4074159992718,32.8329338627681,0.95,"mean","qi"
"dfs","compassql","3. Prediction","professional",22.1527964831972,14.7224607223153,29.264019438234,0.95,"mean","qi"
"dfs","compassql","3. Prediction","student",20.9908171737263,14.1138013360067,27.8496587498918,0.95,"mean","qi"
"dfs","compassql","4. Exploration","professional",23.868920109458,16.4237870194816,30.8162844459826,0.95,"mean","qi"
"dfs","compassql","4. Exploration","student",22.7069407999872,15.819132948905,29.3560679415541,0.95,"mean","qi"
"dfs","dziban","3. Prediction","professional",24.7831351340014,16.5040009636772,33.2682363378971,0.95,"mean","qi"
"dfs","dziban","3. Prediction","student",23.9085126943492,16.046498071656,31.8898336296245,0.95,"mean","qi"
"dfs","dziban","4. Exploration","professional",26.4992587602622,18.1008790938887,34.8703089631288,0.95,"mean","qi"
"dfs","dziban","4. Exploration","student",25.6246363206101,17.8565969723263,33.5853542819681,0.95,"mean","qi"
"bfs","compassql","3. Prediction","professional",24.0292201380823,21.5425369260755,26.4394657788069,0.5,"mean","qi"
"bfs","compassql","3. Prediction","student",23.1545976984301,20.7569682927034,25.4835088490025,0.5,"mean","qi"
"bfs","compassql","4. Exploration","professional",25.7453437643431,23.2576426449342,28.1607270724653,0.5,"mean","qi"
"bfs","compassql","4. Exploration","student",24.8707213246909,22.4836686100105,27.1549196949818,0.5,"mean","qi"
"bfs","dziban","3. Prediction","professional",24.9584424363355,22.2940290405678,27.5753647420786,0.5,"mean","qi"
"bfs","dziban","3. Prediction","student",23.7964631268647,21.1147754588452,26.3598306960831,0.5,"mean","qi"
"bfs","dziban","4. Exploration","professional",26.6745660625964,23.99598892928,29.2950362047035,0.5,"mean","qi"
"bfs","dziban","4. Exploration","student",25.5125867531255,22.8153541679573,28.1219256253779,0.5,"mean","qi"
"dfs","compassql","3. Prediction","professional",22.1527964831972,19.7436328200512,24.6853970823754,0.5,"mean","qi"
"dfs","compassql","3. Prediction","student",20.9908171737263,18.5262728767579,23.3870752956687,0.5,"mean","qi"
"dfs","compassql","4. Exploration","professional",23.868920109458,21.4494377632179,26.4231331093989,0.5,"mean","qi"
"dfs","compassql","4. Exploration","student",22.7069407999872,20.2703139532201,25.1347188441566,0.5,"mean","qi"
"dfs","dziban","3. Prediction","professional",24.7831351340014,21.9306384172565,27.6361676961321,0.5,"mean","qi"
"dfs","dziban","3. Prediction","student",23.9085126943492,21.1419250071257,26.6876492397829,0.5,"mean","qi"
"dfs","dziban","4. Exploration","professional",26.4992587602622,23.6285006591249,29.3694851916314,0.5,"mean","qi"
"dfs","dziban","4. Exploration","student",25.6246363206101,22.8798668926231,28.3641248524017,0.5,"mean","qi"
