"search","oracle","task",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","3. Prediction",22.2486600571227,16.0401266197858,28.6777089843248,0.95,"mean","qi"
"bfs","compassql","4. Exploration",23.9970943828016,17.7953226715402,30.3518163602031,0.95,"mean","qi"
"bfs","dziban","3. Prediction",24.0489173978626,17.7278014094358,30.1490505075649,0.95,"mean","qi"
"bfs","dziban","4. Exploration",25.7973517235414,19.4217723923194,31.8307710519295,0.95,"mean","qi"
"dfs","compassql","3. Prediction",21.7738149275205,15.6692277764628,27.748609941096,0.95,"mean","qi"
"dfs","compassql","4. Exploration",23.5222492531993,17.2902175912912,29.6481710461668,0.95,"mean","qi"
"dfs","dziban","3. Prediction",23.2399982429642,16.8087053658191,29.297303201829,0.95,"mean","qi"
"dfs","dziban","4. Exploration",24.988432568643,18.6309294600752,31.0599617692266,0.95,"mean","qi"
"bfs","compassql","3. Prediction",22.2486600571227,20.0479963865136,24.4756111872916,0.5,"mean","qi"
"bfs","compassql","4. Exploration",23.9970943828016,21.729671758042,26.1830576973672,0.5,"mean","qi"
"bfs","dziban","3. Prediction",24.0489173978626,21.9138675308625,26.3689237497367,0.5,"mean","qi"
"bfs","dziban","4. Exploration",25.7973517235414,23.5802560079331,28.0011897229217,0.5,"mean","qi"
"dfs","compassql","3. Prediction",21.7738149275205,19.6034460561788,23.930340671856,0.5,"mean","qi"
"dfs","compassql","4. Exploration",23.5222492531993,21.3644270585147,25.7173756377843,0.5,"mean","qi"
"dfs","dziban","3. Prediction",23.2399982429642,21.080172361645,25.4699733067451,0.5,"mean","qi"
"dfs","dziban","4. Exploration",24.988432568643,22.7595787402746,27.2057128992241,0.5,"mean","qi"
