"search","oracle","dataset",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","birdstrikes",21.4836410685131,15.9450112785677,26.8029085577853,0.95,"mean","qi"
"bfs","compassql","movies",24.9962899644754,19.3818330185986,30.6159780073105,0.95,"mean","qi"
"bfs","dziban","birdstrikes",23.0497218161888,17.4412708390598,28.5847974929099,0.95,"mean","qi"
"bfs","dziban","movies",26.5623707121511,21.0836105275409,31.932513135878,0.95,"mean","qi"
"dfs","compassql","birdstrikes",20.7746193458466,15.2246637224443,26.2891282991476,0.95,"mean","qi"
"dfs","compassql","movies",24.2872682418089,18.9108944339322,29.746495355646,0.95,"mean","qi"
"dfs","dziban","birdstrikes",22.2408026612904,16.6131477321162,27.645425449921,0.95,"mean","qi"
"dfs","dziban","movies",25.7534515572527,20.3460260579411,31.1182100462753,0.95,"mean","qi"
"bfs","compassql","birdstrikes",21.4836410685131,19.6125672695372,23.414913104002,0.5,"mean","qi"
"bfs","compassql","movies",24.9962899644754,23.0563560901522,26.9671725818636,0.5,"mean","qi"
"bfs","dziban","birdstrikes",23.0497218161888,21.1869550805842,24.9374682389466,0.5,"mean","qi"
"bfs","dziban","movies",26.5623707121511,24.6496437402925,28.4483219617211,0.5,"mean","qi"
"dfs","compassql","birdstrikes",20.7746193458466,18.8984735994197,22.6633624043545,0.5,"mean","qi"
"dfs","compassql","movies",24.2872682418089,22.4629049664687,26.1339330471747,0.5,"mean","qi"
"dfs","dziban","birdstrikes",22.2408026612904,20.3573639931139,24.1041129851671,0.5,"mean","qi"
"dfs","dziban","movies",25.7534515572527,23.9261319057844,27.6375516824106,0.5,"mean","qi"
