"search","oracle","dataset",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","birdstrikes",24.6360193832096,16.9711205477074,32.3859626499498,0.95,"mean","qi"
"bfs","compassql","movies",29.9928333742414,21.5107276162002,38.5819767689642,0.95,"mean","qi"
"bfs","dziban","birdstrikes",24.2386818379838,16.1516019744925,32.4033078597702,0.95,"mean","qi"
"bfs","dziban","movies",33.6630665418547,25.6162119235989,41.549204515308,0.95,"mean","qi"
"dfs","compassql","birdstrikes",19.2271259771062,10.7675198128869,27.7173379377388,0.95,"mean","qi"
"dfs","compassql","movies",19.5631190084183,11.5979000695731,27.7611619929255,0.95,"mean","qi"
"dfs","dziban","birdstrikes",27.4389345490924,18.6205326434459,35.8416698633502,0.95,"mean","qi"
"dfs","dziban","movies",24.9648028682985,17.1421312986552,32.9726556657732,0.95,"mean","qi"
"bfs","compassql","birdstrikes",24.6360193832096,22.004843836217,27.2432682571878,0.5,"mean","qi"
"bfs","compassql","movies",29.9928333742414,27.053887880228,32.8679013053201,0.5,"mean","qi"
"bfs","dziban","birdstrikes",24.2386818379838,21.3468262213063,27.1656004321309,0.5,"mean","qi"
"bfs","dziban","movies",33.6630665418547,30.9529344201562,36.3972221109641,0.5,"mean","qi"
"dfs","compassql","birdstrikes",19.2271259771062,16.3316006707415,22.0980877782821,0.5,"mean","qi"
"dfs","compassql","movies",19.5631190084183,16.8798341803121,22.2412466878295,0.5,"mean","qi"
"dfs","dziban","birdstrikes",27.4389345490924,24.4901047823751,30.3997071228293,0.5,"mean","qi"
"dfs","dziban","movies",24.9648028682985,22.3262672401452,27.5399844365209,0.5,"mean","qi"
