"search","oracle","dataset",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","birdstrikes",23.2361811546296,17.3584904111316,28.7942169696647,0.95,"mean","qi"
"bfs","compassql","movies",27.3050072638601,21.6586712472655,33.3623760346058,0.95,"mean","qi"
"bfs","dziban","birdstrikes",25.5117057155003,19.6584107086385,31.5932924457277,0.95,"mean","qi"
"bfs","dziban","movies",29.5805318247309,23.8636509180835,35.3191582322631,0.95,"mean","qi"
"dfs","compassql","birdstrikes",21.2175711035089,15.4374652756351,27.0981171342834,0.95,"mean","qi"
"dfs","compassql","movies",25.2863972127395,19.5319290195844,31.1008333046191,0.95,"mean","qi"
"dfs","dziban","birdstrikes",23.8778790682731,17.8154081038991,30.1098195860793,0.95,"mean","qi"
"dfs","dziban","movies",27.9467051775036,21.8674093053456,34.0735988353438,0.95,"mean","qi"
"bfs","compassql","birdstrikes",23.2361811546296,21.2684204045484,25.1819890732705,0.5,"mean","qi"
"bfs","compassql","movies",27.3050072638601,25.1991741305843,29.3047663688122,0.5,"mean","qi"
"bfs","dziban","birdstrikes",25.5117057155003,23.4135919677307,27.4956640685906,0.5,"mean","qi"
"bfs","dziban","movies",29.5805318247309,27.6242931422818,31.5981521636551,0.5,"mean","qi"
"dfs","compassql","birdstrikes",21.2175711035089,19.1841419320806,23.2489531171824,0.5,"mean","qi"
"dfs","compassql","movies",25.2863972127395,23.2891404834908,27.3465483395964,0.5,"mean","qi"
"dfs","dziban","birdstrikes",23.8778790682731,21.7926406244109,25.9817410847711,0.5,"mean","qi"
"dfs","dziban","movies",27.9467051775036,25.9505034516801,29.8974301861154,0.5,"mean","qi"
