"search","oracle","task","participant_group",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","3. Prediction","professional",23.4737140480068,15.9773206601778,30.9043970377113,0.95,"mean","qi"
"bfs","compassql","3. Prediction","student",23.1175650512555,16.2458122246183,30.1772959369959,0.95,"mean","qi"
"bfs","compassql","4. Exploration","professional",25.1713544172881,17.7433207039764,32.6453103126262,0.95,"mean","qi"
"bfs","compassql","4. Exploration","student",24.8152054205368,17.7766293785639,31.7971643576107,0.95,"mean","qi"
"bfs","dziban","3. Prediction","professional",25.3334801815232,17.9481326269866,32.4510863997803,0.95,"mean","qi"
"bfs","dziban","3. Prediction","student",24.6980170976631,17.8914411097371,31.7384076859047,0.95,"mean","qi"
"bfs","dziban","4. Exploration","professional",27.0311205508045,19.7510433794769,34.0451745314094,0.95,"mean","qi"
"bfs","dziban","4. Exploration","student",26.3956574669444,19.5154506831321,33.3129856256812,0.95,"mean","qi"
"dfs","compassql","3. Prediction","professional",21.695773942042,14.3188912933287,28.6448881440972,0.95,"mean","qi"
"dfs","compassql","3. Prediction","student",21.0603108581818,14.2249146282162,28.0565414016888,0.95,"mean","qi"
"dfs","compassql","4. Exploration","professional",23.3934143113233,16.0830540417586,30.3746155265584,0.95,"mean","qi"
"dfs","compassql","4. Exploration","student",22.7579512274631,15.9961036332393,29.8562333203888,0.95,"mean","qi"
"dfs","dziban","3. Prediction","professional",24.4586324090022,16.9208228638177,31.7357275129707,0.95,"mean","qi"
"dfs","dziban","3. Prediction","student",24.102483412251,17.2096559315592,31.066552131002,0.95,"mean","qi"
"dfs","dziban","4. Exploration","professional",26.1562727782835,18.6996951081452,33.4584946003201,0.95,"mean","qi"
"dfs","dziban","4. Exploration","student",25.8001237815323,18.7591500244824,32.7280817670198,0.95,"mean","qi"
"bfs","compassql","3. Prediction","professional",23.4737140480068,20.9429997462013,26.0258720673512,0.5,"mean","qi"
"bfs","compassql","3. Prediction","student",23.1175650512555,20.6646017767146,25.511510651375,0.5,"mean","qi"
"bfs","compassql","4. Exploration","professional",25.1713544172881,22.6419085510604,27.7600494690436,0.5,"mean","qi"
"bfs","compassql","4. Exploration","student",24.8152054205368,22.3716572453772,27.1996204888237,0.5,"mean","qi"
"bfs","dziban","3. Prediction","professional",25.3334801815232,22.8184775958986,27.9004586432926,0.5,"mean","qi"
"bfs","dziban","3. Prediction","student",24.6980170976631,22.2600802201586,27.1218737102485,0.5,"mean","qi"
"bfs","dziban","4. Exploration","professional",27.0311205508045,24.526493836828,29.6296016918688,0.5,"mean","qi"
"bfs","dziban","4. Exploration","student",26.3956574669444,23.9211088159379,28.8461766547429,0.5,"mean","qi"
"dfs","compassql","3. Prediction","professional",21.695773942042,19.1782053501586,24.261892186321,0.5,"mean","qi"
"dfs","compassql","3. Prediction","student",21.0603108581818,18.5860250040488,23.4935231303528,0.5,"mean","qi"
"dfs","compassql","4. Exploration","professional",23.3934143113233,20.8354863004616,25.9706928659566,0.5,"mean","qi"
"dfs","compassql","4. Exploration","student",22.7579512274631,20.2420802717088,25.1736500821207,0.5,"mean","qi"
"dfs","dziban","3. Prediction","professional",24.4586324090022,21.89501407213,27.1331515512177,0.5,"mean","qi"
"dfs","dziban","3. Prediction","student",24.102483412251,21.6123516223745,26.6023865837873,0.5,"mean","qi"
"dfs","dziban","4. Exploration","professional",26.1562727782835,23.561707013566,28.7508406774214,0.5,"mean","qi"
"dfs","dziban","4. Exploration","student",25.8001237815323,23.3579989735987,28.2944395178904,0.5,"mean","qi"
