"search","oracle","task",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","3. Prediction",23.5257198845503,16.6125719800817,30.6337514310803,0.95,"mean","qi"
"bfs","compassql","4. Exploration",25.0689301098087,18.2932789383884,32.1423040649048,0.95,"mean","qi"
"bfs","dziban","3. Prediction",26.0770178622127,18.9532069238882,32.8868418426342,0.95,"mean","qi"
"bfs","dziban","4. Exploration",27.620228087471,20.5151266141847,34.4486059607821,0.95,"mean","qi"
"dfs","compassql","3. Prediction",21.6964379035139,14.823537539503,28.4400848269026,0.95,"mean","qi"
"dfs","compassql","4. Exploration",23.2396481287722,16.3017019141988,30.0040125904582,0.95,"mean","qi"
"dfs","dziban","3. Prediction",24.6057801598497,17.6880932375997,31.4294103614893,0.95,"mean","qi"
"dfs","dziban","4. Exploration",26.148990385108,19.3438776699866,32.9057593416926,0.95,"mean","qi"
"bfs","compassql","3. Prediction",23.5257198845503,21.0693629091942,26.0007274315153,0.5,"mean","qi"
"bfs","compassql","4. Exploration",25.0689301098087,22.4868867045822,27.5526402997734,0.5,"mean","qi"
"bfs","dziban","3. Prediction",26.0770178622127,23.6441101005467,28.55239390794,0.5,"mean","qi"
"bfs","dziban","4. Exploration",27.620228087471,25.1767695943662,30.1375770092981,0.5,"mean","qi"
"dfs","compassql","3. Prediction",21.6964379035139,19.1655854007584,24.1729951058423,0.5,"mean","qi"
"dfs","compassql","4. Exploration",23.2396481287722,20.7376411804759,25.7602863662604,0.5,"mean","qi"
"dfs","dziban","3. Prediction",24.6057801598497,22.1794956663063,27.1231327344193,0.5,"mean","qi"
"dfs","dziban","4. Exploration",26.148990385108,23.6827742903902,28.5956664331967,0.5,"mean","qi"
