"search","oracle","dataset",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","birdstrikes",22.4224072017293,16.4290704854267,28.4760228579442,0.95,"mean","qi"
"bfs","compassql","movies",26.4400881919798,20.3191500150661,32.5361575758192,0.95,"mean","qi"
"bfs","dziban","birdstrikes",24.7058597800416,18.5074314383279,30.7613145660463,0.95,"mean","qi"
"bfs","dziban","movies",28.7235407702921,22.6852544755844,34.5902696739601,0.95,"mean","qi"
"dfs","compassql","birdstrikes",20.3252798213428,14.2114822234755,26.4974955572284,0.95,"mean","qi"
"dfs","compassql","movies",24.3429608115933,18.4387724607762,30.1585676937167,0.95,"mean","qi"
"dfs","dziban","birdstrikes",23.2346220776786,17.321629897018,29.2368865810301,0.95,"mean","qi"
"dfs","dziban","movies",27.2523030679291,21.3612055757229,33.0588377639468,0.95,"mean","qi"
"bfs","compassql","birdstrikes",22.4224072017293,20.4360378470019,24.3892226306509,0.5,"mean","qi"
"bfs","compassql","movies",26.4400881919798,24.3588283717668,28.5298058607737,0.5,"mean","qi"
"bfs","dziban","birdstrikes",24.7058597800416,22.5434522110424,26.8473462745103,0.5,"mean","qi"
"bfs","dziban","movies",28.7235407702921,26.7294829505158,30.7668296575972,0.5,"mean","qi"
"dfs","compassql","birdstrikes",20.3252798213428,18.2174416677254,22.419064127406,0.5,"mean","qi"
"dfs","compassql","movies",24.3429608115933,22.3176974209633,26.3917329681921,0.5,"mean","qi"
"dfs","dziban","birdstrikes",23.2346220776786,21.1776488711889,25.2972475875887,0.5,"mean","qi"
"dfs","dziban","movies",27.2523030679291,25.2210277343817,29.2718465278979,0.5,"mean","qi"
