"search","oracle","dataset","task",".value",".lower",".upper",".width",".point",".interval"
"BFS","CompassQL","birdstrikes","1. Find Extremum",228.770858546419,178.545433752307,285.864389068985,0.95,"mean","qi"
"BFS","CompassQL","birdstrikes","2. Retrieve Value",238.920129178733,187.057423510005,300.595423922865,0.95,"mean","qi"
"BFS","CompassQL","movies","1. Find Extremum",201.749318676722,160.049574199851,251.673317652144,0.95,"mean","qi"
"BFS","CompassQL","movies","2. Retrieve Value",210.695760876636,164.924885853162,263.320271466383,0.95,"mean","qi"
"BFS","Dziban","birdstrikes","1. Find Extremum",229.027495790175,180.622563662862,285.718270346671,0.95,"mean","qi"
"BFS","Dziban","birdstrikes","2. Retrieve Value",239.152565050295,187.331460759863,299.146566409167,0.95,"mean","qi"
"BFS","Dziban","movies","1. Find Extremum",228.274768448071,180.503122419713,283.065581005162,0.95,"mean","qi"
"BFS","Dziban","movies","2. Retrieve Value",238.345777707928,188.887168502837,294.378860591351,0.95,"mean","qi"
"DFS","CompassQL","birdstrikes","1. Find Extremum",254.790826250619,201.961786392111,318.279366680134,0.95,"mean","qi"
"DFS","CompassQL","birdstrikes","2. Retrieve Value",266.025499951252,210.164483176993,331.318290028957,0.95,"mean","qi"
"DFS","CompassQL","movies","1. Find Extremum",217.435524902764,172.807596860555,269.950480385652,0.95,"mean","qi"
"DFS","CompassQL","movies","2. Retrieve Value",227.027441759804,180.821270825878,280.882114827481,0.95,"mean","qi"
"DFS","Dziban","birdstrikes","1. Find Extremum",229.201637514935,181.466128324748,286.534556417199,0.95,"mean","qi"
"DFS","Dziban","birdstrikes","2. Retrieve Value",239.455668586276,186.427170165232,301.955039294352,0.95,"mean","qi"
"DFS","Dziban","movies","1. Find Extremum",206.182966601998,162.264019083969,257.862483580981,0.95,"mean","qi"
"DFS","Dziban","movies","2. Retrieve Value",215.276388491641,168.939156995897,268.203167519172,0.95,"mean","qi"
"BFS","CompassQL","birdstrikes","1. Find Extremum",228.770858546419,209.925549415864,245.948177035971,0.5,"mean","qi"
"BFS","CompassQL","birdstrikes","2. Retrieve Value",238.920129178733,218.981517467461,257.274448971052,0.5,"mean","qi"
"BFS","CompassQL","movies","1. Find Extremum",201.749318676722,185.232052969825,216.751544433219,0.5,"mean","qi"
"BFS","CompassQL","movies","2. Retrieve Value",210.695760876636,192.858555590831,226.938868725726,0.5,"mean","qi"
"BFS","Dziban","birdstrikes","1. Find Extremum",229.027495790175,210.451141215027,246.270912852331,0.5,"mean","qi"
"BFS","Dziban","birdstrikes","2. Retrieve Value",239.152565050295,219.714000126551,257.290065231086,0.5,"mean","qi"
"BFS","Dziban","movies","1. Find Extremum",228.274768448071,210.083335644623,245.396743923796,0.5,"mean","qi"
"BFS","Dziban","movies","2. Retrieve Value",238.345777707928,219.606224650619,255.947509173166,0.5,"mean","qi"
"DFS","CompassQL","birdstrikes","1. Find Extremum",254.790826250619,234.333712954487,273.445890331867,0.5,"mean","qi"
"DFS","CompassQL","birdstrikes","2. Retrieve Value",266.025499951252,244.184075309371,285.978313627137,0.5,"mean","qi"
"DFS","CompassQL","movies","1. Find Extremum",217.435524902764,200.643514783404,232.738513553657,0.5,"mean","qi"
"DFS","CompassQL","movies","2. Retrieve Value",227.027441759804,209.095303145077,243.683666937737,0.5,"mean","qi"
"DFS","Dziban","birdstrikes","1. Find Extremum",229.201637514935,209.774452570764,246.385326931014,0.5,"mean","qi"
"DFS","Dziban","birdstrikes","2. Retrieve Value",239.455668586276,218.922509760739,258.715996889986,0.5,"mean","qi"
"DFS","Dziban","movies","1. Find Extremum",206.182966601998,189.483968164612,221.931750911152,0.5,"mean","qi"
"DFS","Dziban","movies","2. Retrieve Value",215.276388491641,197.369584494129,231.605677836777,0.5,"mean","qi"
