"search","oracle","dataset",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","birdstrikes",750.906257776154,624.729631442779,897.912837525244,0.95,"mean","qi"
"bfs","compassql","movies",680.248795243305,564.112902685023,806.772039751605,0.95,"mean","qi"
"bfs","dziban","birdstrikes",804.28382948297,679.378408568129,960.56860290243,0.95,"mean","qi"
"bfs","dziban","movies",728.554024921792,611.415002985321,863.563544732037,0.95,"mean","qi"
"dfs","compassql","birdstrikes",825.831177396618,688.308930288703,984.807341229389,0.95,"mean","qi"
"dfs","compassql","movies",748.073903127423,624.992599990913,883.713786640356,0.95,"mean","qi"
"dfs","dziban","birdstrikes",760.848378225125,636.942042711171,905.834694083935,0.95,"mean","qi"
"dfs","dziban","movies",689.386457432606,572.934807885985,817.233098597144,0.95,"mean","qi"
"bfs","compassql","birdstrikes",750.906257776154,703.348727725048,795.881208408878,0.5,"mean","qi"
"bfs","compassql","movies",680.248795243305,638.343207285448,719.246790393059,0.5,"mean","qi"
"bfs","dziban","birdstrikes",804.28382948297,752.697990485687,850.963143762448,0.5,"mean","qi"
"bfs","dziban","movies",728.554024921792,683.770431890585,767.807043427455,0.5,"mean","qi"
"dfs","compassql","birdstrikes",825.831177396618,774.90750736998,873.774449962578,0.5,"mean","qi"
"dfs","compassql","movies",748.073903127423,703.457712242709,790.456480093389,0.5,"mean","qi"
"dfs","dziban","birdstrikes",760.848378225125,712.761665158995,805.490616825091,0.5,"mean","qi"
"dfs","dziban","movies",689.386457432606,645.766889434685,729.141996163046,0.5,"mean","qi"
