"search","oracle","dataset",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","birdstrikes",223.870217255651,185.520495470039,269.126630036399,0.95,"mean","qi"
"bfs","compassql","movies",205.764304409124,169.933683443665,244.921649993197,0.95,"mean","qi"
"bfs","dziban","birdstrikes",229.616918116979,188.541184801798,275.535554399669,0.95,"mean","qi"
"bfs","dziban","movies",211.083177078644,173.384950022061,252.925957123771,0.95,"mean","qi"
"dfs","compassql","birdstrikes",248.393226097013,204.086749009846,299.771582705696,0.95,"mean","qi"
"dfs","compassql","movies",228.29028714039,188.059612089752,273.241827208352,0.95,"mean","qi"
"dfs","dziban","birdstrikes",228.662186194789,186.581962479235,274.512851957239,0.95,"mean","qi"
"dfs","dziban","movies",210.152925392064,173.851179285485,250.429271231819,0.95,"mean","qi"
"bfs","compassql","birdstrikes",223.870217255651,208.532671282044,237.878372510639,0.5,"mean","qi"
"bfs","compassql","movies",205.764304409124,192.238430493104,218.631606319254,0.5,"mean","qi"
"bfs","dziban","birdstrikes",229.616918116979,213.967700734255,244.414394581227,0.5,"mean","qi"
"bfs","dziban","movies",211.083177078644,196.767634712809,224.10801091711,0.5,"mean","qi"
"dfs","compassql","birdstrikes",248.393226097013,231.349057096911,264.011464848641,0.5,"mean","qi"
"dfs","compassql","movies",228.29028714039,213.621356847963,242.432323132686,0.5,"mean","qi"
"dfs","dziban","birdstrikes",228.662186194789,213.717185723977,243.017579459162,0.5,"mean","qi"
"dfs","dziban","movies",210.152925392064,196.189108294581,223.259408109268,0.5,"mean","qi"
