"search","oracle","dataset",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql","birdstrikes",238.920129178733,187.057423510005,300.595423922865,0.95,"mean","qi"
"bfs","compassql","movies",210.695760876636,164.924885853162,263.320271466383,0.95,"mean","qi"
"bfs","dziban","birdstrikes",239.152565050295,187.331460759863,299.146566409167,0.95,"mean","qi"
"bfs","dziban","movies",238.345777707928,188.887168502837,294.378860591351,0.95,"mean","qi"
"dfs","compassql","birdstrikes",266.025499951252,210.164483176993,331.318290028957,0.95,"mean","qi"
"dfs","compassql","movies",227.027441759804,180.821270825878,280.882114827481,0.95,"mean","qi"
"dfs","dziban","birdstrikes",239.455668586276,186.427170165232,301.955039294352,0.95,"mean","qi"
"dfs","dziban","movies",215.276388491641,168.939156995897,268.203167519172,0.95,"mean","qi"
"bfs","compassql","birdstrikes",238.920129178733,218.981517467461,257.274448971052,0.5,"mean","qi"
"bfs","compassql","movies",210.695760876636,192.858555590831,226.938868725726,0.5,"mean","qi"
"bfs","dziban","birdstrikes",239.152565050295,219.714000126551,257.290065231086,0.5,"mean","qi"
"bfs","dziban","movies",238.345777707928,219.606224650619,255.947509173166,0.5,"mean","qi"
"dfs","compassql","birdstrikes",266.025499951252,244.184075309371,285.978313627137,0.5,"mean","qi"
"dfs","compassql","movies",227.027441759804,209.095303145077,243.683666937737,0.5,"mean","qi"
"dfs","dziban","birdstrikes",239.455668586276,218.922509760739,258.715996889986,0.5,"mean","qi"
"dfs","dziban","movies",215.276388491641,197.369584494129,231.605677836777,0.5,"mean","qi"
