"search","oracle","task_type","rating",".lower",".upper",".width",".point",".interval"
"bfs","compassql","Focused",0.957154761904762,0.642857142857143,1.23214285714286,0.95,"mean","qi"
"bfs","compassql","Open-Ended",0.957154761904762,0.642857142857143,1.23214285714286,0.95,"mean","qi"
"bfs","dziban","Focused",1.19258888888889,0.916666666666667,1.43333333333333,0.95,"mean","qi"
"bfs","dziban","Open-Ended",1.19258888888889,0.916666666666667,1.43333333333333,0.95,"mean","qi"
"dfs","compassql","Focused",1.03535,0.75,1.3,0.95,"mean","qi"
"dfs","compassql","Open-Ended",1.03535,0.75,1.3,0.95,"mean","qi"
"dfs","dziban","Focused",1.19068888888889,0.916666666666667,1.43333333333333,0.95,"mean","qi"
"dfs","dziban","Open-Ended",1.19068888888889,0.916666666666667,1.43333333333333,0.95,"mean","qi"
"bfs","compassql","Focused",0.957154761904762,0.857142857142857,1.07142857142857,0.5,"mean","qi"
"bfs","compassql","Open-Ended",0.957154761904762,0.857142857142857,1.07142857142857,0.5,"mean","qi"
"bfs","dziban","Focused",1.19258888888889,1.1,1.28333333333333,0.5,"mean","qi"
"bfs","dziban","Open-Ended",1.19258888888889,1.1,1.28333333333333,0.5,"mean","qi"
"dfs","compassql","Focused",1.03535,0.933333333333333,1.13333333333333,0.5,"mean","qi"
"dfs","compassql","Open-Ended",1.03535,0.933333333333333,1.13333333333333,0.5,"mean","qi"
"dfs","dziban","Focused",1.19068888888889,1.1,1.28333333333333,0.5,"mean","qi"
"dfs","dziban","Open-Ended",1.19068888888889,1.1,1.28333333333333,0.5,"mean","qi"
