"search","oracle","task_type","rating",".lower",".upper",".width",".point",".interval"
"bfs","compassql","Focused",0.942398809523809,0.660714285714286,1.19642857142857,0.95,"mean","qi"
"bfs","compassql","Open-Ended",0.942398809523809,0.660714285714286,1.19642857142857,0.95,"mean","qi"
"bfs","dziban","Focused",1.07786111111111,0.816666666666667,1.31666666666667,0.95,"mean","qi"
"bfs","dziban","Open-Ended",1.07786111111111,0.816666666666667,1.31666666666667,0.95,"mean","qi"
"dfs","compassql","Focused",0.809211111111111,0.533333333333333,1.08333333333333,0.95,"mean","qi"
"dfs","compassql","Open-Ended",0.809211111111111,0.533333333333333,1.08333333333333,0.95,"mean","qi"
"dfs","dziban","Focused",1.14453333333333,0.883333333333333,1.38333333333333,0.95,"mean","qi"
"dfs","dziban","Open-Ended",1.14453333333333,0.883333333333333,1.38333333333333,0.95,"mean","qi"
"bfs","compassql","Focused",0.942398809523809,0.857142857142857,1.03571428571429,0.5,"mean","qi"
"bfs","compassql","Open-Ended",0.942398809523809,0.857142857142857,1.03571428571429,0.5,"mean","qi"
"bfs","dziban","Focused",1.07786111111111,1,1.16666666666667,0.5,"mean","qi"
"bfs","dziban","Open-Ended",1.07786111111111,1,1.16666666666667,0.5,"mean","qi"
"dfs","compassql","Focused",0.809211111111111,0.716666666666667,0.9,0.5,"mean","qi"
"dfs","compassql","Open-Ended",0.809211111111111,0.716666666666667,0.9,0.5,"mean","qi"
"dfs","dziban","Focused",1.14453333333333,1.06666666666667,1.21666666666667,0.5,"mean","qi"
"dfs","dziban","Open-Ended",1.14453333333333,1.06666666666667,1.21666666666667,0.5,"mean","qi"
