"search","oracle","task_type","rating",".lower",".upper",".width",".point",".interval"
"bfs","compassql","Focused",0.881327380952381,0.535714285714286,1.17857142857143,0.95,"mean","qi"
"bfs","compassql","Open-Ended",0.881327380952381,0.535714285714286,1.17857142857143,0.95,"mean","qi"
"bfs","dziban","Focused",0.801216666666667,0.466666666666667,1.1,0.95,"mean","qi"
"bfs","dziban","Open-Ended",0.801216666666667,0.466666666666667,1.1,0.95,"mean","qi"
"dfs","compassql","Focused",0.134916666666667,-0.233333333333333,0.483333333333333,0.95,"mean","qi"
"dfs","compassql","Open-Ended",0.134916666666667,-0.233333333333333,0.483333333333333,0.95,"mean","qi"
"dfs","dziban","Focused",0.464505555555556,0.116666666666667,0.80041666666657,0.95,"mean","qi"
"dfs","dziban","Open-Ended",0.464505555555556,0.116666666666667,0.80041666666657,0.95,"mean","qi"
"bfs","compassql","Focused",0.881327380952381,0.767857142857143,1,0.5,"mean","qi"
"bfs","compassql","Open-Ended",0.881327380952381,0.767857142857143,1,0.5,"mean","qi"
"bfs","dziban","Focused",0.801216666666667,0.683333333333333,0.916666666666667,0.5,"mean","qi"
"bfs","dziban","Open-Ended",0.801216666666667,0.683333333333333,0.916666666666667,0.5,"mean","qi"
"dfs","compassql","Focused",0.134916666666667,0.0166666666666667,0.25,0.5,"mean","qi"
"dfs","compassql","Open-Ended",0.134916666666667,0.0166666666666667,0.25,0.5,"mean","qi"
"dfs","dziban","Focused",0.464505555555556,0.35,0.583333333333333,0.5,"mean","qi"
"dfs","dziban","Open-Ended",0.464505555555556,0.35,0.583333333333333,0.5,"mean","qi"
