"search","oracle","task_type","rating",".lower",".upper",".width",".point",".interval"
"bfs","compassql","Focused",0.60714880952381,0.178571428571429,1.00044642857132,0.95,"mean","qi"
"bfs","compassql","Open-Ended",0.60714880952381,0.178571428571429,1.00044642857132,0.95,"mean","qi"
"bfs","dziban","Focused",0.668855555555556,0.283333333333333,1.05,0.95,"mean","qi"
"bfs","dziban","Open-Ended",0.668855555555556,0.283333333333333,1.05,0.95,"mean","qi"
"dfs","compassql","Focused",-0.163416666666667,-0.566666666666667,0.25,0.95,"mean","qi"
"dfs","compassql","Open-Ended",-0.163416666666667,-0.566666666666667,0.25,0.95,"mean","qi"
"dfs","dziban","Focused",0.339738888888889,-0.05,0.733333333333333,0.95,"mean","qi"
"dfs","dziban","Open-Ended",0.339738888888889,-0.05,0.733333333333333,0.95,"mean","qi"
"bfs","compassql","Focused",0.60714880952381,0.464285714285714,0.75,0.5,"mean","qi"
"bfs","compassql","Open-Ended",0.60714880952381,0.464285714285714,0.75,0.5,"mean","qi"
"bfs","dziban","Focused",0.668855555555556,0.55,0.8,0.5,"mean","qi"
"bfs","dziban","Open-Ended",0.668855555555556,0.55,0.8,0.5,"mean","qi"
"dfs","compassql","Focused",-0.163416666666667,-0.3,-0.0291666666666667,0.5,"mean","qi"
"dfs","compassql","Open-Ended",-0.163416666666667,-0.3,-0.0291666666666667,0.5,"mean","qi"
"dfs","dziban","Focused",0.339738888888889,0.2,0.483333333333333,0.5,"mean","qi"
"dfs","dziban","Open-Ended",0.339738888888889,0.2,0.483333333333333,0.5,"mean","qi"
